album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
115138|2014 Forest Hills Drive|https://images.genius.com/2f88c0a52697a42d3d0fb1e3276d2411.640x640x1.jpg|2014|12|9
408226|Bobby Tarantino II|https://images.genius.com/63c66d2062279080649c26b632183df5.1000x1000x1.jpg|2018|3|9
119674|If You're Reading This It's Too Late|https://images.genius.com/bcf01db777c6e5c46eddb1031a2008d1.1000x1000x1.jpg|2015|2|13
455554|NBA Live 19 |https://images.genius.com/62c9f7b1cf961a39eb47c92b26e15056.300x300x1.jpg|2018|None|None
109923|Kanye West Presents Good Music Cruel Summer|https://images.genius.com/8a79002727bdfaa640f2440d14e3353f.1000x1000x1.jpg|2012|9|14
420582|Scorpion|https://images.genius.com/5c677b7bfc2f696abf2e2d928301bb44.1000x1000x1.jpg|2018|6|29
438392|EVERYTHING IS LOVE|https://images.genius.com/507b4473d2cfdcd806728a8c72c63dff.1000x1000x1.jpg|2018|6|16
484805|Queen (Bonus Version)|https://images.genius.com/0cd842987c3fdf51c00c7af96576402f.939x939x1.jpg|2018|8|10
328417|American Teen|https://images.genius.com/37f9f80f9b6f43a205abc836512485fa.630x630x1.jpg|2017|3|3
338359|Huncho Jack, Jack Huncho|https://images.genius.com/20b1cc084fe667536d25241bde3aae02.903x903x1.jpg|2017|12|21
338359|Huncho Jack, Jack Huncho|https://images.genius.com/20b1cc084fe667536d25241bde3aae02.903x903x1.jpg|2017|12|21
438741|Rap or Go to the League|https://assets.genius.com/images/default_cover_art.png?1550160033|2019|None|None
289599|Moana (Original Motion Picture Soundtrack)|https://images.genius.com/20d676cfdf27ac9fbf852b6baf931d67.1000x1000x1.jpg|2016|11|19
288227|The Hamilton Mixtape|https://images.genius.com/7ddd36cfe52ebd587314cd5a5962dacb.1000x886x1.jpg|2016|12|2
|||||
347955|Luv Is Rage 2|https://images.genius.com/01ecec6354fe061901f305a6a11ee524.1000x1000x1.jpg|2017|8|25
|||||
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
342891|The Bigger Artist|https://images.genius.com/93306eca540aa9df9bf167201c7ad20d.1000x1000x1.jpg|2017|9|29
330482|FUTURE|https://images.genius.com/017aebcbc814b4a237d11e0bf31c7395.1000x1000x1.jpg|2017|2|17
28538|Crew Cuts|https://images.genius.com/3384570ff57fab58ac29c3223d94cb34.500x500x1.jpg|2013|2|20
363981|TA13OO|https://images.genius.com/83d21a9c8106d43fc6ce3d2ef877ceff.804x804x1.jpg|2018|7|27
|||||
28538|Crew Cuts|https://images.genius.com/3384570ff57fab58ac29c3223d94cb34.500x500x1.jpg|2013|2|20
326050|True to Self|https://images.genius.com/25f27b933ed193df22a7f3a349b8e081.1000x1000x1.jpg|2017|5|26
326050|True to Self|https://images.genius.com/25f27b933ed193df22a7f3a349b8e081.1000x1000x1.jpg|2017|5|26
149730|The Human Condition|https://images.genius.com/066d84271dda51144fae6a17eb96181b.1000x1000x1.jpg|2016|6|10
338146|Wins & Losses|https://images.genius.com/81840439724d85160b8680e7a021aa92.1000x1000x1.jpg|2017|7|21
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
339810|BET BackRoom Freestyles Collection|https://images.genius.com/0fd2397265910e9f72dcf0c68b690ea7.304x172x1.png|2012|None|None
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
111213|People Keep Talking|https://images.genius.com/6821e6b27db948d7d9f40c0aeefe5ae7.600x600x1.jpg|2014|10|14
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
288227|The Hamilton Mixtape|https://images.genius.com/7ddd36cfe52ebd587314cd5a5962dacb.1000x886x1.jpg|2016|12|2
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
60329|Black Water|https://images.genius.com/65fc273fcfbf40a8db55ede0becb9c7a.1000x1000x1.jpg|2013|11|26
111213|People Keep Talking|https://images.genius.com/6821e6b27db948d7d9f40c0aeefe5ae7.600x600x1.jpg|2014|10|14
438021|ChiLanta 4|https://images.genius.com/0a90df7ea55fe8afd7a209c359d63923.500x500x1.jpg|2018|3|22
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
354414|Royal Bunker|https://images.genius.com/35287fc404bcc6a48785df71fb394676.1000x1000x1.jpg|2017|9|29
26551|Black Mozart|https://images.genius.com/8b0133c1b85b24da9c4bf5cfcd750497.600x600x1.jpg|2013|None|None
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
137591|The Kanan Tape|https://images.genius.com/7fcd2b52ce6617033572ef90e82560d9.800x800x1.jpg|2015|12|9
375128|Underground Rap|https://images.genius.com/d5f6ca2eab99d0744ae8a731a62de498.270x270x1.jpg|2017|8|18
17270|The Lost Tape|https://images.genius.com/ec16b41f3ee318d52d31bf3312db8b9c.1000x1000x1.jpg|2012|5|22
35314|Hear Ye Him|https://images.genius.com/78c7288bd1d32e94845dab39ec4462ad.500x500x1.jpg|2013|None|None
338504|Andy Mineo and Wordsplayed Present Magic & Bird|https://images.genius.com/2953c37b3ddbde963d30b4da37cfd8c4.1000x1000x1.jpg|2017|8|4
407759|Book of Ryan|https://images.genius.com/ece0d83dced13a6ca8fbcbc25cfd032f.640x640x1.jpg|2018|5|4
60329|Black Water|https://images.genius.com/65fc273fcfbf40a8db55ede0becb9c7a.1000x1000x1.jpg|2013|11|26
329882|Golden|https://images.genius.com/ec63808d07f4ed3f924b35ccd16078a4.960x960x1.jpg|2017|7|21
415665|Americoustic - EP|https://images.genius.com/f9b7d5bf8db7ce6e80624914c5534af5.1000x1000x1.jpg|2013|8|13
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
103410|House Rules|https://images.genius.com/b2efa064a823e3ebb2b35712bbb26e33.1000x1000x1.jpg|2014|5|21
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
289523|The Waiting Room |https://images.genius.com/99924eea61c606cc2d8167df67e465d4.1000x1000x1.jpg|2016|12|9
387518|Hamildrops|https://images.genius.com/48ce4fffc3208dc60d2165963130a31d.1000x1000x1.png|2018|None|None
26551|Black Mozart|https://images.genius.com/8b0133c1b85b24da9c4bf5cfcd750497.600x600x1.jpg|2013|None|None
|||||
424649|SlimeBall 3|https://images.genius.com/67554ee2be879dbf1a56eefb0e65f633.1000x1000x1.jpg|2018|8|8
160369|Summertime Shootout 2: The Level Up|https://images.genius.com/dcfdc5f991af62f1b89737e50b22b921.743x743x1.jpg|2016|9|2
18933|The 4th Chapter|https://images.genius.com/243842153a6d54d4827dc0b357f6af6b.600x600x1.jpg|2012|None|None
25090|Wrath Of Caine|https://images.genius.com/17043530e499e3e3fc8faa71b9d8f74d.1000x1000x1.jpg|2013|1|28
133826|Along Came Joyner|https://images.genius.com/e0f1ef72a727167faed7990bf3663ea4.800x800x1.jpg|2015|4|1
26551|Black Mozart|https://images.genius.com/8b0133c1b85b24da9c4bf5cfcd750497.600x600x1.jpg|2013|None|None
288227|The Hamilton Mixtape|https://images.genius.com/7ddd36cfe52ebd587314cd5a5962dacb.1000x886x1.jpg|2016|12|2
221513|Broken Hearts & Bankrolls|https://images.genius.com/53bbc8b2da78eceb3924ad50c617fa16.1000x1000x1.jpg|2016|None|None
483996|28|https://images.genius.com/ec77f4ef785c621fc5f4f7c2111e9584.847x847x1.jpg|2018|11|28
127762|Uncomfortable|https://images.genius.com/9a23efdbe421de59647ed95b73952a34.1000x1000x1.jpg|2015|9|18
79671|The Infamous Mobb Deep|https://images.genius.com/d36f3c5fdf16cb402e39bef763e25bf4.1000x1000x1.jpg|2014|4|1
13691|The Big 10|https://images.genius.com/ebcbd791d9dec323345c03a3341cac73.320x285x1.jpg|2011|12|9
394215|P2|https://images.genius.com/eb0114801788fcac3e4a1ed56571cb44.1000x1000x1.jpg|2018|1|16
20048|A Dream Deferred|https://images.genius.com/90852efb09c8d3fa67280f213b56df49.225x225x1.jpg|2012|None|None
105762|House Slippers|https://images.genius.com/395ea2e5b16d956de23f038ca66f3a03.1000x1000x1.jpg|2014|9|16
119449|One Take - Volume 2|https://images.genius.com/56dc1e3cf3c41568e2bc1cfefd1e547b.640x640x1.jpg|2015|None|None
133826|Along Came Joyner|https://images.genius.com/e0f1ef72a727167faed7990bf3663ea4.800x800x1.jpg|2015|4|1
352944|Never Too Late|https://images.genius.com/f33d6670af9c2a927d01406c4cd3c32d.1000x1000x1.jpg|2017|6|29
120302|The Beast Is G-Unit|https://images.genius.com/788492aa9f7f844d450eaa7872cee15c.600x600x1.jpg|2015|3|3
17295|Ludaversal|https://images.genius.com/ac0e327179c993d15e7fd264b382b18d.500x500x1.jpg|2015|3|31
126028|Human.|https://images.genius.com/fef97bb0c9c025ae0c088514de66767f.630x630x1.jpg|2015|7|17
3614|D.I.R.T. (Da Incredible Rap Team)|https://images.genius.com/0f036f4ed86bfae8299397733fe6c258.350x350x1.jpg|2008|9|30
18933|The 4th Chapter|https://images.genius.com/243842153a6d54d4827dc0b357f6af6b.600x600x1.jpg|2012|None|None
26551|Black Mozart|https://images.genius.com/8b0133c1b85b24da9c4bf5cfcd750497.600x600x1.jpg|2013|None|None
17295|Ludaversal|https://images.genius.com/ac0e327179c993d15e7fd264b382b18d.500x500x1.jpg|2015|3|31
126028|Human.|https://images.genius.com/fef97bb0c9c025ae0c088514de66767f.630x630x1.jpg|2015|7|17
437593|Second 2 None|https://images.genius.com/4d2f075d7e6a5b62e1037a677e2b4267.750x750x1.jpg|2018|6|21
9260|Live From the Tape Deck|https://images.genius.com/b27557628b0cb6b7909c96b58dc74e65.1000x1000x1.jpg|2010|10|5
152328|KING Z3US|https://assets.genius.com/images/default_cover_art.png?1550160033|||
352944|Never Too Late|https://images.genius.com/f33d6670af9c2a927d01406c4cd3c32d.1000x1000x1.jpg|2017|6|29
20048|A Dream Deferred|https://images.genius.com/90852efb09c8d3fa67280f213b56df49.225x225x1.jpg|2012|None|None
125505|MZRT|https://images.genius.com/521ca34cd51b5ee28478eec359ceb251.600x600x1.png|2015|7|4
5050|Getback|https://images.genius.com/8f2334a342d68cfc8aee0d1068381999.640x640x1.jpg|2007|10|23
292|Balance|https://images.genius.com/9703948ee40b2385b6c79a5f9eeffec3.700x700x1.jpg|2003|None|None
9262|The Salvation|https://images.genius.com/b1a25f8655fd1cffb7cdd5d9967e4dda.630x630x1.jpg|2009|9|29
5050|Getback|https://images.genius.com/8f2334a342d68cfc8aee0d1068381999.640x640x1.jpg|2007|10|23
41532|Hip Hope|https://images.genius.com/6ef7f970948e2f91b1ecb81ff462ea78.640x640x1.jpg|2014|None|None
79671|The Infamous Mobb Deep|https://images.genius.com/d36f3c5fdf16cb402e39bef763e25bf4.1000x1000x1.jpg|2014|4|1
126028|Human.|https://images.genius.com/fef97bb0c9c025ae0c088514de66767f.630x630x1.jpg|2015|7|17
20048|A Dream Deferred|https://images.genius.com/90852efb09c8d3fa67280f213b56df49.225x225x1.jpg|2012|None|None
126028|Human.|https://images.genius.com/fef97bb0c9c025ae0c088514de66767f.630x630x1.jpg|2015|7|17
126028|Human.|https://images.genius.com/fef97bb0c9c025ae0c088514de66767f.630x630x1.jpg|2015|7|17
5050|Getback|https://images.genius.com/8f2334a342d68cfc8aee0d1068381999.640x640x1.jpg|2007|10|23
|||||
20048|A Dream Deferred|https://images.genius.com/90852efb09c8d3fa67280f213b56df49.225x225x1.jpg|2012|None|None
|||||
14232|The Great Debater|https://images.genius.com/493eb39069395f3d834d5d71ecf22daa.600x600x1.jpg|2011|None|None
