album_id,album_title,cover_art_url,album_release_year,album_release_month,album_release_day
118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,2015,2,24
74606,Beach House EP,https://images.genius.com/41775710ce877114d676a80aa7953524.600x600x1.jpg,2014,1,21
132689,ANTI,https://images.genius.com/ef1a5c940d0835c32d8337fef93625ac.1000x1000x1.jpg,2016,1,28
19604,Based on a T.R.U. Story,https://images.genius.com/0855f72cd21e5220ad89c1cc26c16d73.957x957x1.jpg,2012,8,14
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
410838,LD2,https://assets.genius.com/images/default_cover_art.png?1550179390,2019,None,None
82935,Sex Playlist,https://images.genius.com/87d4580417a4e1a8ae8b0b2b54422819.300x300x1.jpg,2014,12,2
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,2015,2,24
118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,2015,2,24
112264,Late Nights: The Album,https://images.genius.com/ab531eefeac355bc461c97ae50a92cde.600x600x1.jpg,2015,12,4
56768,My Own Lane,https://images.genius.com/7400209c296da0734e3e84e7cc488887.640x640x1.jpg,2014,1,7
110261,Aquarius ,https://images.genius.com/adbd00ffef7ac941315027a87bd5e59d.1000x1000x1.png,2014,10,7
35052,Underground Luxury,https://images.genius.com/d3cd5182aae0c27fc3ee1ef77656f879.500x500x1.jpg,2013,12,17
404420,STAY DANGEROUS,https://images.genius.com/24ab98fe71a59d22f9ac06e412c005e7.1000x1000x1.jpg,2018,8,3
434670,Championships,https://images.genius.com/74622f434a6e852420ea522d6aae36f1.1000x1000x1.jpg,2018,11,30
27321,#willpower,https://images.genius.com/d40957dcb06e5c18146bcb17384ae1bd.1000x1000x1.jpg,2013,4,19
14119,Careless World: Rise Of The Last King,https://images.genius.com/2dca83084d5e4c2a69a47aa9e26253f6.1000x1000x1.jpg,2012,2,21
463588,Ella Mai ,https://images.genius.com/45278379d649f1c5d9d24917294b4f6d.1000x1000x1.png,2018,10,12
38162,Beach House 2,https://images.genius.com/1ede42792b69f215975098aad4092774.960x960x1.jpg,2013,None,None
463588,Ella Mai ,https://images.genius.com/45278379d649f1c5d9d24917294b4f6d.1000x1000x1.png,2018,10,12
27316,Mastermind,https://images.genius.com/5a57a099fbd459798a3666e5b392c749.1000x1000x1.jpg,2014,3,3
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
,,,,,
74606,Beach House EP,https://images.genius.com/41775710ce877114d676a80aa7953524.600x600x1.jpg,2014,1,21
140468,Summer In The Winter,https://images.genius.com/c0aa03a655ce1263d1cf9dd0b975fc25.950x950x1.jpg,2015,12,25
108787,Paperwork: The Motion Picture,https://images.genius.com/0aedeee6f38d44bf87bbee70cb36cca3.640x640x1.jpg,2014,10,21
384474,Invasion of Privacy,https://images.genius.com/a434f435ffae4d8ec74dfc4ead33431b.640x640x1.jpg,2018,4,6
333023,T-Pain Presents Happy Hour: The Greatest Hits,https://images.genius.com/ef61bfd93c024f87f3339c56148d0251.600x600x1.jpg,2014,None,None
144104,Time - EP,https://images.genius.com/1dca18763e3228d1c269caf79a0a9307.500x500x1.jpg,2016,2,15
,,,,,
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,2015,2,24
104747,Trigga,https://images.genius.com/eece7996b0ee6d05295c67c213208122.1000x1000x1.png,2014,7,1
121938,The Long Way Home,https://images.genius.com/c74ab321537420fd7ccea3b428dd9730.1000x1000x1.jpg,2015,None,None
25365,It's Tha World,https://images.genius.com/8fe302531b6c0c71a4640962eee4d417.499x499x1.png,2012,12,12
61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,2014,3,18
,,,,,
364894,Tell Me You Love Me,https://images.genius.com/b9ff4f268b52c3da1e688ed35d7d5412.720x720x1.jpg,2017,9,29
116549,Full Speed,https://images.genius.com/e912ab78b65c95cdb40abf4d65180491.1000x1000x1.jpg,2015,1,30
115038,Free TC,https://images.genius.com/ea76698c9f161eb60f5466ddbfe0369e.1000x1000x1.jpg,2015,11,13
287219,I Decided.,https://images.genius.com/74cd28ef5c9f93715d79175cd8e5e81f.500x500x1.jpg,2017,2,3
404420,STAY DANGEROUS,https://images.genius.com/24ab98fe71a59d22f9ac06e412c005e7.1000x1000x1.jpg,2018,8,3
115038,Free TC,https://images.genius.com/ea76698c9f161eb60f5466ddbfe0369e.1000x1000x1.jpg,2015,11,13
220186,Cold Summer,https://images.genius.com/bbc74138e60797a9689598244050cd4b.647x643x1.png,2016,9,30
