album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
28706|Legends Never Die|https://images.genius.com/c839ae29cd32413eb20a1c6585d7d604.1000x1000x1.jpg|2013|4|30
21705|PTSD: Post Traumatic Stress Disorder|https://images.genius.com/686aab555fbbb698ceb705b0483ec393.1000x1000x1.jpg|2014|None|None
5423|Port Authority|https://images.genius.com/6c276fdbe5d9f0b3012137cab87007b5.500x500x1.jpg|2007|5|15
|||||
166075|A-F-R-O POLO|https://images.genius.com/dcf4e435e0a368e77ad41dd030567a07.800x800x1.jpg|2016|7|13
21705|PTSD: Post Traumatic Stress Disorder|https://images.genius.com/686aab555fbbb698ceb705b0483ec393.1000x1000x1.jpg|2014|None|None
29940|Newport Authority 2|https://images.genius.com/ey4sef3dcvetmtbypqfssrp54.500x500x1.jpg|2013|None|None
407078|No News Is Good News|https://images.genius.com/30200499ce58273491ea1835cc271af8.1000x1000x1.jpg|2018|3|2
45725|PA2: The Director's Cut|https://images.genius.com/eueyxqu5j4wgog00yr76iirve.640x640x1.jpg|2013|None|None
7406|W.A.R. (We Are Renegades)|https://images.genius.com/2694343eb76859336bf01cf74ae9f24b.250x250x1.jpg|2011|None|None
21705|PTSD: Post Traumatic Stress Disorder|https://images.genius.com/686aab555fbbb698ceb705b0483ec393.1000x1000x1.jpg|2014|None|None
18548|God of the Serengeti|https://images.genius.com/d3475b9836bf370c3797190ad070da1a.1000x1000x1.jpg|2012|10|22
339648|The Seven |https://images.genius.com/ff60c5225d4b3de242cc8697ee9a1bd1.630x630x1.jpg|2017|4|14
166075|A-F-R-O POLO|https://images.genius.com/dcf4e435e0a368e77ad41dd030567a07.800x800x1.jpg|2016|7|13
166075|A-F-R-O POLO|https://images.genius.com/dcf4e435e0a368e77ad41dd030567a07.800x800x1.jpg|2016|7|13
29273|KILLmatic|https://images.genius.com/cc1bd9cb956f4f1bcc3379b6b2f440f2.500x502x1.jpg|2013|None|None
467077|A Breukelen Story|https://images.genius.com/337fb3de09767c75e3d1638788f232e9.640x640x1.jpg|2018|11|9
