album_id,album_title,cover_art_url,album_release_year,album_release_month,album_release_day
334922,Freestyle YouTube ,https://assets.genius.com/images/default_cover_art.png?1550698131,,,
11218,We the Best Forever,https://images.genius.com/bd2d4328b53d5c64f92dae423b41cb7a.1000x1000x1.jpg,2011,7,19
25090,Wrath Of Caine,https://images.genius.com/17043530e499e3e3fc8faa71b9d8f74d.1000x1000x1.jpg,2013,1,28
11218,We the Best Forever,https://images.genius.com/bd2d4328b53d5c64f92dae423b41cb7a.1000x1000x1.jpg,2011,7,19
321222,Mac & Cheese 4 (Original),https://images.genius.com/8f2349ff38cc10de1c85b2f9c6cc471c.602x609x1.jpg,2014,None,None
26952,Trials & Tribulations,https://images.genius.com/fd10f6966d666486d2f60d595f5bfd2b.300x300x1.jpg,2013,7,16
,,,,,
21617,Dreams and Nightmares,https://images.genius.com/c59afafa87c6a24df220df1e2af44f8e.1000x1000x1.jpg,2012,10,30
15915,Starvation,https://images.genius.com/ee1f29169e460342b88aa5c8d75ede59.500x500x1.jpg,2012,None,None
120259,The Ratchet Superior,https://images.genius.com/eb9e0acd37ceeb5b58b745effd831781.500x500x1.jpg,2015,None,None
76013,Starvation 3 ,https://images.genius.com/155dcdf9038945b022391808dd3f0c60.500x500x1.jpg,2014,None,None
11334,Blood, Sweat & Tears,https://images.genius.com/43069cfe14bf14e83156fff65a672028.1000x1000x1.jpg,2011,8,9
22444,Mac & Cheese 3,https://images.genius.com/93791d19fa197fab86d6278641d564df.500x500x1.jpg,2012,None,None
15915,Starvation,https://images.genius.com/ee1f29169e460342b88aa5c8d75ede59.500x500x1.jpg,2012,None,None
13697,The Statement 2,https://images.genius.com/6fa5d4ea047dabc03fd8f9eabeac8677.600x600x1.jpg,2011,12,9
,,,,,
73312,Coke Boys 4,https://images.genius.com/a864efeaa33d183128c4986eaf8d5924.500x500x1.jpg,2014,1,2
13697,The Statement 2,https://images.genius.com/6fa5d4ea047dabc03fd8f9eabeac8677.600x600x1.jpg,2011,12,9
328298,Gelato,https://images.genius.com/2a7d8f443a477ef06aeb6505916fa83e.500x500x1.jpg,2017,2,3
13697,The Statement 2,https://images.genius.com/6fa5d4ea047dabc03fd8f9eabeac8677.600x600x1.jpg,2011,12,9
321222,Mac & Cheese 4 (Original),https://images.genius.com/8f2349ff38cc10de1c85b2f9c6cc471c.602x609x1.jpg,2014,None,None
15915,Starvation,https://images.genius.com/ee1f29169e460342b88aa5c8d75ede59.500x500x1.jpg,2012,None,None
13697,The Statement 2,https://images.genius.com/6fa5d4ea047dabc03fd8f9eabeac8677.600x600x1.jpg,2011,12,9
15915,Starvation,https://images.genius.com/ee1f29169e460342b88aa5c8d75ede59.500x500x1.jpg,2012,None,None
22444,Mac & Cheese 3,https://images.genius.com/93791d19fa197fab86d6278641d564df.500x500x1.jpg,2012,None,None
