album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
457633|Kamikaze|https://images.genius.com/1f415e1fd4e1f295918a7049824ee3d9.1000x1000x1.jpg|2018|8|31
122441|32 Zel/Planet Shrooms|https://images.genius.com/c5f2ae789055b7cb137cfd1dcc750a84.1000x1000x1.jpg|2015|6|9
395433|Harverd Dropout|https://images.genius.com/801bd62d84c2687a9990d257ad4766bc.1000x1000x1.jpg|2019|2|22
461649|BINGE - EP|https://images.genius.com/bbc2f4ff50db5215a3d98e26ec15b7dd.640x640x1.jpg|2018|9|21
457633|Kamikaze|https://images.genius.com/1f415e1fd4e1f295918a7049824ee3d9.1000x1000x1.jpg|2018|8|31
152502|DROWN IN DESIGNER|https://images.genius.com/73d0c8282bd196532992b77c659be248.640x640x1.jpg|2016|5|16
|||||
386503|A GHETTO CHRISTMAS CAROL! - EP|https://images.genius.com/6deaf02dd13696745c2816ed957ba43b.499x499x1.jpg|2017|12|11
393565|15|https://images.genius.com/259445f7bdc66134ae6f5f49929fc6d5.1000x1000x1.jpg|2018|9|18
335313|Deadstar|https://images.genius.com/9d32e3e51bf3f1ec221eeab19b721894.500x500x1.jpg|2017|9|29
|||||
386503|A GHETTO CHRISTMAS CAROL! - EP|https://images.genius.com/6deaf02dd13696745c2816ed957ba43b.499x499x1.jpg|2017|12|11
456145|DUMMY BOY|https://images.genius.com/16c572cee652b4b917b43149499f8731.640x640x1.jpg|2018|11|27
370526|Lil Pump|https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg|2017|10|6
370526|Lil Pump|https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg|2017|10|6
386503|A GHETTO CHRISTMAS CAROL! - EP|https://images.genius.com/6deaf02dd13696745c2816ed957ba43b.499x499x1.jpg|2017|12|11
|||||
146177|Imperial|https://images.genius.com/cc0f00e8fba8ea6d1a8d38556cc77a43.800x800x1.jpg|2016|3|9
|||||
|||||
38857|Nostalgic 64|https://images.genius.com/f28b6855343451e556086d30a3adbd16.494x494x1.png|2013|9|3
379350|Survive the Summer|https://images.genius.com/b3e54188e4ee135f52bab466d42665f9.1000x1000x1.jpg|2018|8|3
146177|Imperial|https://images.genius.com/cc0f00e8fba8ea6d1a8d38556cc77a43.800x800x1.jpg|2016|3|9
146177|Imperial|https://images.genius.com/cc0f00e8fba8ea6d1a8d38556cc77a43.800x800x1.jpg|2016|3|9
335313|Deadstar|https://images.genius.com/9d32e3e51bf3f1ec221eeab19b721894.500x500x1.jpg|2017|9|29
386503|A GHETTO CHRISTMAS CAROL! - EP|https://images.genius.com/6deaf02dd13696745c2816ed957ba43b.499x499x1.jpg|2017|12|11
146177|Imperial|https://images.genius.com/cc0f00e8fba8ea6d1a8d38556cc77a43.800x800x1.jpg|2016|3|9
|||||
|||||
465959|STOKELEY|https://images.genius.com/66707e67245fd5b934257c15027ab096.1000x1000x1.jpg|2018|11|30
335313|Deadstar|https://images.genius.com/9d32e3e51bf3f1ec221eeab19b721894.500x500x1.jpg|2017|9|29
38857|Nostalgic 64|https://images.genius.com/f28b6855343451e556086d30a3adbd16.494x494x1.png|2013|9|3
402081|BAW$KEE|https://images.genius.com/6e5910bb8132f3931137cca49c225206.1000x1000x1.jpg|2018|8|24
363981|TA13OO|https://images.genius.com/83d21a9c8106d43fc6ce3d2ef877ceff.804x804x1.jpg|2018|7|27
363981|TA13OO|https://images.genius.com/83d21a9c8106d43fc6ce3d2ef877ceff.804x804x1.jpg|2018|7|27
146177|Imperial|https://images.genius.com/cc0f00e8fba8ea6d1a8d38556cc77a43.800x800x1.jpg|2016|3|9
365818|808|https://images.genius.com/9dd1a988ebc7d65e5dac0d1fd04f5428.1000x1000x1.jpg|2018|4|13
146177|Imperial|https://images.genius.com/cc0f00e8fba8ea6d1a8d38556cc77a43.800x800x1.jpg|2016|3|9
335313|Deadstar|https://images.genius.com/9d32e3e51bf3f1ec221eeab19b721894.500x500x1.jpg|2017|9|29
370526|Lil Pump|https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg|2017|10|6
|||||
|||||
461649|BINGE - EP|https://images.genius.com/bbc2f4ff50db5215a3d98e26ec15b7dd.640x640x1.jpg|2018|9|21
149862|It Happened in Flatbush|https://images.genius.com/3f78a81db38fcb86e661beb2e3b198ec.1000x1000x1.jpg|2016|5|15
376841|OMGRONNY|https://images.genius.com/75e4ff0b1fc2d61cfe6e745a857039e0.1000x1000x1.jpg|2018|2|23
|||||
|||||
376841|OMGRONNY|https://images.genius.com/75e4ff0b1fc2d61cfe6e745a857039e0.1000x1000x1.jpg|2018|2|23
|||||
335313|Deadstar|https://images.genius.com/9d32e3e51bf3f1ec221eeab19b721894.500x500x1.jpg|2017|9|29
432250|Life In Hell - EP|https://assets.genius.com/images/default_cover_art.png?1550608980|2018|5|31
122441|32 Zel/Planet Shrooms|https://images.genius.com/c5f2ae789055b7cb137cfd1dcc750a84.1000x1000x1.jpg|2015|6|9
38857|Nostalgic 64|https://images.genius.com/f28b6855343451e556086d30a3adbd16.494x494x1.png|2013|9|3
347078|13|https://images.genius.com/2dc10b6a8fcd8939c6363672769b5e01.1000x1000x1.jpg|2017|6|24
