album_id,album_title,cover_art_url,album_release_year,album_release_month,album_release_day
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
87848,Dreams Worth More Than Money,https://images.genius.com/9851e0b0fdd90c8d02759f23adeec8c1.600x600x1.jpg,2015,6,29
130765,The Return,https://images.genius.com/9879d574677bd3d25f853b30ff0264d7.1000x1000x1.jpg,2015,None,None
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
12560,God Forgives, I Don't,https://images.genius.com/027af374565b0eb968f1a0dba0947f58.1000x1000x1.jpg,2012,7,30
410838,LD2,https://assets.genius.com/images/default_cover_art.png?1550608980,2019,None,None
31909,Suffering from Success,https://images.genius.com/15ba797ff5bc3e098a89c3d45fa98648.1000x1000x1.jpg,2013,10,22
150899,Tours,https://images.genius.com/7825e59390dbc37d02a3bd0442e10082.1000x1000x1.jpg,2015,None,None
109923,Kanye West Presents Good Music Cruel Summer,https://images.genius.com/8a79002727bdfaa640f2440d14e3353f.1000x1000x1.jpg,2012,9,14
11218,We the Best Forever,https://images.genius.com/bd2d4328b53d5c64f92dae423b41cb7a.1000x1000x1.jpg,2011,7,19
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
107952,The Art Of Hustle,https://images.genius.com/7e9e2d9dff4f5ae810482588c9fecab2.1000x1000x1.jpg,2016,None,None
407064,Father of Asahd,https://images.genius.com/6b4663bcddc5310924361f78f2f1cab2.1000x1000x1.png,2019,None,None
144230,Wave Gods,https://images.genius.com/dd66018d36259dddbafee9dff1bd70f1.950x950x1.jpg,2016,2,19
98449,I Changed a Lot,https://images.genius.com/c9d9ffcc6699cbd6d7cdaae380e302a6.412x412x1.jpg,2015,10,23
423911,RECKLESS,https://images.genius.com/dd66e048e0dc8003d38644746c33d388.1000x1000x1.jpg,2018,5,18
407064,Father of Asahd,https://images.genius.com/6b4663bcddc5310924361f78f2f1cab2.1000x1000x1.png,2019,None,None
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
31909,Suffering from Success,https://images.genius.com/15ba797ff5bc3e098a89c3d45fa98648.1000x1000x1.jpg,2013,10,22
98449,I Changed a Lot,https://images.genius.com/c9d9ffcc6699cbd6d7cdaae380e302a6.412x412x1.jpg,2015,10,23
98449,I Changed a Lot,https://images.genius.com/c9d9ffcc6699cbd6d7cdaae380e302a6.412x412x1.jpg,2015,10,23
87848,Dreams Worth More Than Money,https://images.genius.com/9851e0b0fdd90c8d02759f23adeec8c1.600x600x1.jpg,2015,6,29
354458,Por Primera Vez,https://images.genius.com/46eb8df7a6f7d705e22bd8a8039aa080.999x999x1.jpg,2019,None,None
373487,I Still Am,https://images.genius.com/89b874139931a63275cf953eb482cc0b.1000x1000x1.png,2017,10,27
15806,Kiss the Ring,https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg,2012,8,21
98449,I Changed a Lot,https://images.genius.com/c9d9ffcc6699cbd6d7cdaae380e302a6.412x412x1.jpg,2015,10,23
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
15806,Kiss the Ring,https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg,2012,8,21
2458,Victory,https://images.genius.com/ece673cf954c13308ddb728551acb5db.220x220x1.jpg,2010,3,2
15806,Kiss the Ring,https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg,2012,8,21
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
,,,,,
168545,Culture,https://images.genius.com/73bac66d60e3a2fad0135f4dd359d2ee.1000x1000x1.jpg,2017,1,27
26952,Trials & Tribulations,https://images.genius.com/fd10f6966d666486d2f60d595f5bfd2b.300x300x1.jpg,2013,7,16
330482,FUTURE,https://images.genius.com/017aebcbc814b4a237d11e0bf31c7395.1000x1000x1.jpg,2017,2,17
31909,Suffering from Success,https://images.genius.com/15ba797ff5bc3e098a89c3d45fa98648.1000x1000x1.jpg,2013,10,22
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
15806,Kiss the Ring,https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg,2012,8,21
15806,Kiss the Ring,https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg,2012,8,21
2460,We The Best,https://images.genius.com/8bdc9dc70c0ab2bb50820e695d25c7bc.1000x1000x1.jpg,2007,6,12
148977,Major Key ,https://images.genius.com/c2a71cb6519fd58eeee43fc37d01954d.751x751x1.jpg,2016,7,29
11169,Radical,https://images.genius.com/bcabf59cc72820a365121d01e25cb996.500x500x1.jpg,2010,5,7
108226,Billionaire Minds,https://images.genius.com/3ea208505851194352b993ea4899d54e.500x500x1.jpg,2011,None,None
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
,,,,,
330126,Grateful,https://images.genius.com/c90ae8cb7ea3f842c15653ada87d68cb.1000x1000x1.jpg,2017,6,23
17522,Excuse My French,https://images.genius.com/109b2c3c96e5056c88e033069c4f2b8d.600x600x1.jpg,2013,5,21
