album_id,album_title,cover_art_url,album_release_year,album_release_month,album_release_day
116828,Professional Rapper,https://images.genius.com/14cb14f95be93a484fb28e180f91b8f7.960x955x1.jpg,2015,7,31
4345,Graduation,https://images.genius.com/db8cf20e3bf2357483e4e5b2d5921eb8.1000x1000x1.jpg,2007,9,11
150853,Coloring Book,https://images.genius.com/2e0b7d55f91e7f8402dc255e31ebebe6.750x750x1.jpg,2016,5,13
3128,Mail On Sunday,https://images.genius.com/a7bddf15d0582810be4af2e8d50aee84.600x600x1.jpg,2008,3,18
333023,T-Pain Presents Happy Hour: The Greatest Hits,https://images.genius.com/ef61bfd93c024f87f3339c56148d0251.600x600x1.jpg,2014,None,None
10768,Tha Carter IV,https://images.genius.com/36794982fcdfef6d2d2b62ec8bd80a16.1000x1000x1.jpg,2011,8,29
9695,Epiphany,https://images.genius.com/cf73b3c0367ce45f5a6bebbc8b65ed71.1000x1000x1.jpg,2007,6,5
18084,Self Made Volume 2,https://images.genius.com/13f7f384d6cea0dbe8d7258815fb54b0.500x500x1.jpg,2012,6,26
2458,Victory,https://images.genius.com/ece673cf954c13308ddb728551acb5db.220x220x1.jpg,2010,3,2
,,,,,
19137,Dat Kid From Cleveland,https://images.genius.com/474116e13af772abd6384cee03c992a6.1000x1000x1.png,2009,4,22
4339,808s & Heartbreak,https://images.genius.com/a769512d2736d6039c4592f688f1193e.1000x1000x1.jpg,2008,11,24
9701,Thr33 Ringz,https://images.genius.com/1c9a02cd6c726adaf48e44273aa15ed7.500x500x1.jpg,2008,11,11
243131,FREE 6LACK,https://images.genius.com/9f111ac21b205f296ae84413d00f14a2.1000x1000x1.jpg,2016,11,18
30150,Something Else,https://images.genius.com/9d1e1c938850d53aa216f2bec0e2ef9c.1000x1000x1.jpg,2013,7,30
1550,Exclusive,https://images.genius.com/8d74c85f105377027c717a92d47649dc.640x640x1.jpg,2007,11,6
5114,Incredibad,https://images.genius.com/2a9e1774229ece0e8b4bcfe872da3ce7.900x900x1.jpg,2009,2,10
9699,Rappa Ternt Sanga,https://images.genius.com/6113edbb29a8a06620f490327d25d59f.1000x1000x1.jpg,2005,12,6
7605,The Real Testament,https://images.genius.com/833ec3b321b44889272a33c28901ad3f.600x600x1.jpg,2007,8,7
425222,Dan Bilzerian,https://assets.genius.com/images/default_cover_art.png?1550698131,,,
9698,RevolveR,https://images.genius.com/8bd04bc09ad7c7eedd7520acce15651f.960x960x1.jpg,2011,12,6
,,,,,
335690,We Are The World,https://images.genius.com/735d739b8b90caa832502b8872ced85d.224x224x1.jpg,2010,2,12
11218,We the Best Forever,https://images.genius.com/bd2d4328b53d5c64f92dae423b41cb7a.1000x1000x1.jpg,2011,7,19
9699,Rappa Ternt Sanga,https://images.genius.com/6113edbb29a8a06620f490327d25d59f.1000x1000x1.jpg,2005,12,6
5002,Tha Carter III,https://images.genius.com/70a7ef69242915a9cd1c3f68031e4c0a.1000x1000x1.jpg,2008,6,10
9695,Epiphany,https://images.genius.com/cf73b3c0367ce45f5a6bebbc8b65ed71.1000x1000x1.jpg,2007,6,5
2458,Victory,https://images.genius.com/ece673cf954c13308ddb728551acb5db.220x220x1.jpg,2010,3,2
11218,We the Best Forever,https://images.genius.com/bd2d4328b53d5c64f92dae423b41cb7a.1000x1000x1.jpg,2011,7,19
157506,No Hard Feelings ,https://images.genius.com/48370436546c47d778a4b47c29885735.1000x1000x1.jpg,2016,7,15
,,,,,
134294,How To Rob,https://images.genius.com/5ed4b146b18340e42df9219371f3f562.650x650x1.jpg,2014,8,18
116828,Professional Rapper,https://images.genius.com/14cb14f95be93a484fb28e180f91b8f7.960x955x1.jpg,2015,7,31
11957,Intuition,https://images.genius.com/8f510317127e4020612e843f657563ad.220x220x1.jpg,2008,None,None
6039,Double Up,https://images.genius.com/d006d387bc28299b559e6b9848a770d1.1000x1000x1.jpg,2007,5,29
229460,24K Magic,https://images.genius.com/21a10d2c02741b9d9d62da8aa3d6de4f.1000x1000x1.jpg,2016,11,18
379905,Comunisti col Rolex Multiplatinum Edition,https://images.genius.com/6031810d332472763ee860663f0f25c9.640x640x1.jpg,2017,11,24
33346,The Wack Album,https://images.genius.com/656179d8e7b2e2f382efdb2887943723.658x658x1.jpg,2013,6,7
,,,,,
10856,All 6's And 7's,https://images.genius.com/7d4c4dfa3d56e3cd0f59836ef122ff24.1000x1000x1.jpg,2011,6,7
8752,Deeper Than Rap,https://images.genius.com/bc0c55e8fb1589120409532303b23172.1000x1000x1.jpg,2009,4,21
5407,If Tomorrow Comes,https://images.genius.com/ca3460c5a83c8975c4cffa0ffa364442.1000x1000x1.jpg,2009,None,None
,,,,,
,,,,,
4843,The Price of Fame,https://images.genius.com/aaeccb678c5c9313bc6b49f17af6c3b4.1000x1000x1.jpg,2006,None,None
3022,From Nothin' to Somethin',https://images.genius.com/8950eda6d686928a4bd0d69fd87a0b3a.1000x1000x1.jpg,2007,6,12
2460,We The Best,https://images.genius.com/8bdc9dc70c0ab2bb50820e695d25c7bc.1000x1000x1.jpg,2007,6,12
2462,We Global,https://images.genius.com/6fb998ad7b1f36e7c37c080b6cea4620.400x400x1.jpg,2008,9,16
9698,RevolveR,https://images.genius.com/8bd04bc09ad7c7eedd7520acce15651f.960x960x1.jpg,2011,12,6
8756,Trilla,https://images.genius.com/1d12c9a147d0fe59187aa789b1af285a.1000x1000x1.jpg,2008,3,11
372740,cybersex,https://images.genius.com/a99796b49430f4b6da3ed6d04c3caee8.1000x1000x1.jpg,2017,11,27
351415,Oblivion,https://images.genius.com/2e07889ceefef420c8694cf3c0687dae.600x600x1.jpg,2017,11,17
