album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
491200|good kid, m.A.A.d city (Deluxe Version)|https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg|2012|10|22
491200|good kid, m.A.A.d city (Deluxe Version)|https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg|2012|10|22
43437|The Marshall Mathers LP 2|https://images.genius.com/2c354260f9edc6b2e9bf6b06c935a0b8.1000x1000x1.png|2013|11|5
491200|good kid, m.A.A.d city (Deluxe Version)|https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg|2012|10|22
43437|The Marshall Mathers LP 2|https://images.genius.com/2c354260f9edc6b2e9bf6b06c935a0b8.1000x1000x1.png|2013|11|5
7242|Straight Outta Compton|https://images.genius.com/0ec6f769fde231f68fadfff699d2b94c.1000x1000x1.jpg|1988|8|8
2904|The Eminem Show|https://images.genius.com/c43578375ef2ac32c140cc35dfe2fef1.1000x1000x1.png|2002|5|26
2873|The Marshall Mathers LP|https://images.genius.com/e7f2305258d668431f8e250a41f3459f.1000x1000x1.png|2000|5|23
141|Get Rich or Die Tryin’|https://images.genius.com/17bdb55979efe915f90e0fa67b92ad61.1000x1000x1.jpg|2003|2|6
141|Get Rich or Die Tryin’|https://images.genius.com/17bdb55979efe915f90e0fa67b92ad61.1000x1000x1.jpg|2003|2|6
7242|Straight Outta Compton|https://images.genius.com/0ec6f769fde231f68fadfff699d2b94c.1000x1000x1.jpg|1988|8|8
120991|To Pimp a Butterfly|https://images.genius.com/f3e9dc7d6cadfd0202e37cde73e0022b.640x640x1.jpg|2015|3|15
491200|good kid, m.A.A.d city (Deluxe Version)|https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg|2012|10|22
43437|The Marshall Mathers LP 2|https://images.genius.com/2c354260f9edc6b2e9bf6b06c935a0b8.1000x1000x1.png|2013|11|5
2605|2001|https://images.genius.com/4f9245893e01d4b380ba6b4559d2afbf.595x595x1.jpg|1999|11|16
491200|good kid, m.A.A.d city (Deluxe Version)|https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg|2012|10|22
491200|good kid, m.A.A.d city (Deluxe Version)|https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg|2012|10|22
500844|Under Pressure (Deluxe Version)|https://images.genius.com/b1b2ef60ddf88f6137655bb426960846.1000x1000x1.jpg|2014|10|21
