album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
123757|If You Ever Think I Will Stop Going In, Ask Double R|https://images.genius.com/de2fdc28861bb7f4b83adb4771a85acc.412x412x1.jpg|2015|None|None
151107|4 Reasons|https://images.genius.com/273d640313c08ab2fea96f7d4f1a0551.500x500x1.jpg|2016|4|26
|||||
30291|Broke with Expensive Taste|https://images.genius.com/4bb9df7f0fa6fa6ee25e87e45758a634.1000x1000x1.jpg|2014|11|6
10685|New Joc City|https://images.genius.com/c8d5a7e86b7ff9f7536f527abd4fc252.500x499x1.jpg|2006|None|None
33751|Fan 4 Life|https://images.genius.com/8c0513c7d5137eed54e94b0039ccee7d.500x500x1.jpg|2012|None|None
|||||
126911|Trapology|https://images.genius.com/535a34f0af73c9284f91abe307f86e59.800x800x1.jpg|2015|7|1
1110|Boyz N Da Hood|https://images.genius.com/d7243f3707b6a02c8b41322853169c67.640x640x1.jpg|2005|6|21
3520|Trap House|https://images.genius.com/0bfb10f124aefd38f2c50ca21e9f574a.500x500x1.jpg|2005|5|24
126911|Trapology|https://images.genius.com/535a34f0af73c9284f91abe307f86e59.800x800x1.jpg|2015|7|1
12722|The Burrprint (The Movie 3D)|https://images.rapgenius.com/1ed943f18fa36c4f2afda22763e605fc.520x520x1.jpg|2009|10|10
10629|Let's Get It: Thug Motivation 101|https://images.genius.com/2373a17cd15c202522e3cc029c16e5cd.1000x1000x1.jpg|2005|7|26
3520|Trap House|https://images.genius.com/0bfb10f124aefd38f2c50ca21e9f574a.500x500x1.jpg|2005|5|24
12722|The Burrprint (The Movie 3D)|https://images.rapgenius.com/1ed943f18fa36c4f2afda22763e605fc.520x520x1.jpg|2009|10|10
3520|Trap House|https://images.genius.com/0bfb10f124aefd38f2c50ca21e9f574a.500x500x1.jpg|2005|5|24
3514|Back to the Traphouse|https://images.genius.com/1ff1aa9b4b287b01863e51b57220c59e.450x450x1.jpg|2007|12|11
2810|Almost Famous|https://images.genius.com/f905129705e1ecaccdfcb8aae9b48b74.772x768x1.jpg|2001|11|20
2810|Almost Famous|https://images.genius.com/f905129705e1ecaccdfcb8aae9b48b74.772x768x1.jpg|2001|11|20
10661|Best Thang Smokin'|https://images.genius.com/d08a6e151064244a37d938d092fc5670.640x640x1.jpg|2006|8|29
7605|The Real Testament|https://images.genius.com/833ec3b321b44889272a33c28901ad3f.600x600x1.jpg|2007|8|7
4843|The Price of Fame|https://images.genius.com/aaeccb678c5c9313bc6b49f17af6c3b4.1000x1000x1.jpg|2006|None|None
|||||
1110|Boyz N Da Hood|https://images.genius.com/d7243f3707b6a02c8b41322853169c67.640x640x1.jpg|2005|6|21
287872|Interstate Trafficking: Riding Dirty|https://images.genius.com/30883db079e2d52cb0743ca2df6a3356.360x360x1.jpg|2006|None|None
2810|Almost Famous|https://images.genius.com/f905129705e1ecaccdfcb8aae9b48b74.772x768x1.jpg|2001|11|20
91251|Lingo 4 Dummys |https://images.genius.com/769b93ef81383523aa1335caf9878345.500x500x1.jpg|2016|None|None
2810|Almost Famous|https://images.genius.com/f905129705e1ecaccdfcb8aae9b48b74.772x768x1.jpg|2001|11|20
2810|Almost Famous|https://images.genius.com/f905129705e1ecaccdfcb8aae9b48b74.772x768x1.jpg|2001|11|20
1906|The Greatest Story Ever Told|https://images.genius.com/2892f168cef4f972b3c34cde7603d0d1.300x300x1.jpg|2008|None|None
|||||
1110|Boyz N Da Hood|https://images.genius.com/d7243f3707b6a02c8b41322853169c67.640x640x1.jpg|2005|6|21
132762|Jackin' for Beats|https://assets.genius.com/images/default_cover_art.png?1550796438|||
18652|Premro|https://images.genius.com/69dc9369f542c76d6aefe3071339fa2c.500x500x1.jpg|2012|None|None
8634|Dat Type Of Gurl|https://images.genius.com/c742c32fc6bf1fdb7effd60c34579a7c.1000x1000x1.jpg|2007|None|None
381380|TILL AUGUST|https://images.genius.com/3e689d0bc3b9cb9bc8b3848a877e7a76.480x480x1.jpg|2016|7|25
36559|Magna Carta... Holy Grail|https://s3.amazonaws.com/rapgenius/MCHG_cover.jpg|2013|7|4
|||||
34024|Yeezus|https://images.genius.com/8bf8ad4e7bcd4e2d9f1d33b1bb53fe3a.1000x1000x1.jpg|2013|6|18
34024|Yeezus|https://images.genius.com/8bf8ad4e7bcd4e2d9f1d33b1bb53fe3a.1000x1000x1.jpg|2013|6|18
|||||
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
420582|Scorpion|https://images.genius.com/5c677b7bfc2f696abf2e2d928301bb44.1000x1000x1.jpg|2018|6|29
420582|Scorpion|https://images.genius.com/5c677b7bfc2f696abf2e2d928301bb44.1000x1000x1.jpg|2018|6|29
4343|My Beautiful Dark Twisted Fantasy|https://images.genius.com/31f9198f646ae211d8fe2c855e6ea4d0.998x998x1.png|2010|11|22
4343|My Beautiful Dark Twisted Fantasy|https://images.genius.com/31f9198f646ae211d8fe2c855e6ea4d0.998x998x1.png|2010|11|22
4343|My Beautiful Dark Twisted Fantasy|https://images.genius.com/31f9198f646ae211d8fe2c855e6ea4d0.998x998x1.png|2010|11|22
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
53330|Sail Out|https://images.genius.com/cf972nzptjvdouuqoap2lhlpy.1000x1000x1.jpg|2013|11|12
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
4339|808s & Heartbreak|https://images.genius.com/a769512d2736d6039c4592f688f1193e.1000x1000x1.jpg|2008|11|24
4057|The Blueprint 3|https://images.genius.com/ff10a6a0a94d002a374623bb49818293.1000x1000x1.jpg|2009|9|8
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
420582|Scorpion|https://images.genius.com/5c677b7bfc2f696abf2e2d928301bb44.1000x1000x1.jpg|2018|6|29
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
420582|Scorpion|https://images.genius.com/5c677b7bfc2f696abf2e2d928301bb44.1000x1000x1.jpg|2018|6|29
132689|ANTI|https://images.genius.com/ef1a5c940d0835c32d8337fef93625ac.1000x1000x1.jpg|2016|1|28
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
|||||
4343|My Beautiful Dark Twisted Fantasy|https://images.genius.com/31f9198f646ae211d8fe2c855e6ea4d0.998x998x1.png|2010|11|22
309814|Confessions (Special Edition)|https://images.genius.com/54e45c76910bc04a51e082b14221cb47.1000x1000x1.jpg|2004|10|5
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
13072|Souled Out|https://images.genius.com/7338cd2ea43e58c4ac27ed4e93b414b7.1000x1000x1.jpg|2014|9|9
31007|Young Sinatra: Welcome to Forever|https://images.genius.com/da76d57af3e6ee702af91bac2a18326a.1000x1000x1.jpg|2013|5|7
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
12283|Life Is Good|https://images.genius.com/45f91df35c8401e4bc8342304de2e558.1000x1000x1.jpg|2012|7|13
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
13072|Souled Out|https://images.genius.com/7338cd2ea43e58c4ac27ed4e93b414b7.1000x1000x1.jpg|2014|9|9
1682|Resurrection|https://images.genius.com/8cc4e9a4a27cf48a434a2d5800999430.500x500x1.jpg|1994|10|4
390638|Dedication 6: Reloaded|https://images.genius.com/3622689a5172c789024942436b11dce2.800x800x1.jpg|2018|1|26
4057|The Blueprint 3|https://images.genius.com/ff10a6a0a94d002a374623bb49818293.1000x1000x1.jpg|2009|9|8
11512|+ (Plus)|https://images.genius.com/7c5e284a904168073ca2da065d3a5652.1000x1000x1.jpg|2011|9|9
4343|My Beautiful Dark Twisted Fantasy|https://images.genius.com/31f9198f646ae211d8fe2c855e6ea4d0.998x998x1.png|2010|11|22
2630|Thank Me Later|https://images.genius.com/17b0bf98cd1ef082f8580b122d009885.1000x1000x1.jpg|2010|6|15
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
2630|Thank Me Later|https://images.genius.com/17b0bf98cd1ef082f8580b122d009885.1000x1000x1.jpg|2010|6|15
10956|Sailing Soul(s)|https://images.genius.com/41fd4a8cd5df014d9ba9e0dd45d7f685.500x500x1.jpg|2011|3|16
22349|My Name Is My Name|https://images.genius.com/324abe3d1e81bc03ab9ad30ec3137e50.500x500x1.jpg|2013|10|7
229163|Everybody|https://images.genius.com/1a2c364a06d2844fd9e294ee0ea798ff.1000x1000x1.jpg|2017|5|5
4057|The Blueprint 3|https://images.genius.com/ff10a6a0a94d002a374623bb49818293.1000x1000x1.jpg|2009|9|8
4428|Man on the Moon II: The Legend of Mr. Rager|https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg|2010|11|9
4339|808s & Heartbreak|https://images.genius.com/a769512d2736d6039c4592f688f1193e.1000x1000x1.jpg|2008|11|24
350432|Watch The Throne|https://images.genius.com/15bbfa64d0666f57c08a008f652204b7.1000x1000x1.jpg|2011|8|8
13072|Souled Out|https://images.genius.com/7338cd2ea43e58c4ac27ed4e93b414b7.1000x1000x1.jpg|2014|9|9
4339|808s & Heartbreak|https://images.genius.com/a769512d2736d6039c4592f688f1193e.1000x1000x1.jpg|2008|11|24
13529|Pink Friday: Roman Reloaded|https://images.genius.com/64e2ccb52c28bc1f0834a25c3fce75f3.932x932x1.jpg|2012|4|2
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
4055|American Gangster|https://images.genius.com/6673dfcb0d2b3fd2a71f96f6b8be6128.1000x1000x1.jpg|2007|11|6
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
11280|Cole World: The Sideline Story|https://images.genius.com/40e3a5c128f6db9b27cebe6606882165.1000x1000x1.jpg|2011|9|27
124171|Summertime '06|https://images.genius.com/33a9265391b2dcfc1f37a725f309746c.1000x1000x1.jpg|2015|6|30
4339|808s & Heartbreak|https://images.genius.com/a769512d2736d6039c4592f688f1193e.1000x1000x1.jpg|2008|11|24
10824|Finally Famous|https://images.genius.com/e53d18c5653e0ff1a981606d20416101.600x600x1.jpg|2011|6|29
10824|Finally Famous|https://images.genius.com/e53d18c5653e0ff1a981606d20416101.600x600x1.jpg|2011|6|29
11248|The Dreamer/The Believer|https://images.genius.com/c8aea6a11c5d9bc44d2a6101d96d5aed.1000x1000x1.jpg|2011|12|20
12283|Life Is Good|https://images.genius.com/45f91df35c8401e4bc8342304de2e558.1000x1000x1.jpg|2012|7|13
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
4057|The Blueprint 3|https://images.genius.com/ff10a6a0a94d002a374623bb49818293.1000x1000x1.jpg|2009|9|8
10824|Finally Famous|https://images.genius.com/e53d18c5653e0ff1a981606d20416101.600x600x1.jpg|2011|6|29
20147|On the House|https://images.genius.com/b82242411f97e977e3aab3c7d6b22f58.1000x1000x1.jpg|2012|8|19
|||||
4057|The Blueprint 3|https://images.genius.com/ff10a6a0a94d002a374623bb49818293.1000x1000x1.jpg|2009|9|8
13072|Souled Out|https://images.genius.com/7338cd2ea43e58c4ac27ed4e93b414b7.1000x1000x1.jpg|2014|9|9
28255|Truly Yours|https://images.genius.com/6490c45ad4867e7a4b4248258106ac10.899x899x1.jpg|2013|2|12
25154|Zero Gravity 2|https://images.genius.com/a9bc5b4fe746b1be8d76a46edd25590e.500x500x1.jpg|2014|None|None
12283|Life Is Good|https://images.genius.com/45f91df35c8401e4bc8342304de2e558.1000x1000x1.jpg|2012|7|13
|||||
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
|||||
12283|Life Is Good|https://images.genius.com/45f91df35c8401e4bc8342304de2e558.1000x1000x1.jpg|2012|7|13
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
23824|Unapologetic|https://images.genius.com/37dbb1e6785e66d939c2fb52c58c5fb8.1000x1000x1.jpg|2012|11|19
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
4428|Man on the Moon II: The Legend of Mr. Rager|https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg|2010|11|9
4057|The Blueprint 3|https://images.genius.com/ff10a6a0a94d002a374623bb49818293.1000x1000x1.jpg|2009|9|8
8754|Teflon Don|https://images.genius.com/381cffa2eea05be31a524c368cf4d6db.1000x1000x1.jpg|2010|7|20
13072|Souled Out|https://images.genius.com/7338cd2ea43e58c4ac27ed4e93b414b7.1000x1000x1.jpg|2014|9|9
13072|Souled Out|https://images.genius.com/7338cd2ea43e58c4ac27ed4e93b414b7.1000x1000x1.jpg|2014|9|9
350958|4:44|https://images.genius.com/4cf5f4f88ace021acdc18cc3cefcf2f4.1000x1000x1.jpg|2017|6|30
229163|Everybody|https://images.genius.com/1a2c364a06d2844fd9e294ee0ea798ff.1000x1000x1.jpg|2017|5|5
11248|The Dreamer/The Believer|https://images.genius.com/c8aea6a11c5d9bc44d2a6101d96d5aed.1000x1000x1.jpg|2011|12|20
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
23080|Hall of Fame|https://images.genius.com/59ed678a2cc7f73d33a26d29cd050498.600x600x1.jpg|2013|8|27
124171|Summertime '06|https://images.genius.com/33a9265391b2dcfc1f37a725f309746c.1000x1000x1.jpg|2015|6|30
