album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
10768|Tha Carter IV|https://images.genius.com/36794982fcdfef6d2d2b62ec8bd80a16.1000x1000x1.jpg|2011|8|29
8754|Teflon Don|https://images.genius.com/381cffa2eea05be31a524c368cf4d6db.1000x1000x1.jpg|2010|7|20
27316|Mastermind|https://images.genius.com/5a57a099fbd459798a3666e5b392c749.1000x1000x1.jpg|2014|3|3
12560|God Forgives, I Don't|https://images.genius.com/027af374565b0eb968f1a0dba0947f58.1000x1000x1.jpg|2012|7|30
443602|Tru|https://images.genius.com/37ba3b4b2e32498e2c5e87d76c64cb95.1000x1000x1.jpg|2018|8|31
15806|Kiss the Ring|https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg|2012|8|21
3993|Follow Me Home|https://images.genius.com/5401dd74c144153263aaeed505b5e1cc.600x600x1.jpg|2011|7|26
122463|General Admission|https://images.genius.com/bdf528b772dc4f920472ff5cec0874bc.600x600x1.jpg|2015|10|16
|||||
14167|Rich Forever|https://images.genius.com/5903bd99ee5e7d63a99dda93648f4272.1000x1000x1.jpg|2012|1|6
369778|Catch These Vibes|https://images.genius.com/52e9b889cdc0f7ac0fce301a53c4994b.1000x1000x1.jpg|2017|11|17
12283|Life Is Good|https://images.genius.com/45f91df35c8401e4bc8342304de2e558.1000x1000x1.jpg|2012|7|13
12243|Lace Up|https://images.genius.com/577ba66579d01a9eb87eeb1234cfcf02.630x630x1.jpg|2012|10|9
12560|God Forgives, I Don't|https://images.genius.com/027af374565b0eb968f1a0dba0947f58.1000x1000x1.jpg|2012|7|30
13502|TM:103 Hustlerz Ambition|https://images.genius.com/08e2d06088a8af47e984f3e82bb14cef.1000x1000x1.jpg|2011|12|20
129996|Black Dollar|https://images.genius.com/31f2d7f1c73149c1e64254c57c538bc2.600x600x1.jpg|2015|9|3
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
8752|Deeper Than Rap|https://images.genius.com/bc0c55e8fb1589120409532303b23172.1000x1000x1.jpg|2009|4|21
122463|General Admission|https://images.genius.com/bdf528b772dc4f920472ff5cec0874bc.600x600x1.jpg|2015|10|16
8756|Trilla|https://images.genius.com/1d12c9a147d0fe59187aa789b1af285a.1000x1000x1.jpg|2008|3|11
8754|Teflon Don|https://images.genius.com/381cffa2eea05be31a524c368cf4d6db.1000x1000x1.jpg|2010|7|20
|||||
5028|Rebirth|https://images.genius.com/08526a33de7f8cce1ed20370bbe174e1.1000x1000x1.jpg|2010|2|2
11243|Radioactive|https://images.genius.com/d55597aef7ddcd938a2bfc161537e7d5.1000x1000x1.jpg|2011|11|21
12560|God Forgives, I Don't|https://images.genius.com/027af374565b0eb968f1a0dba0947f58.1000x1000x1.jpg|2012|7|30
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
|||||
138666|Before the Party|https://images.genius.com/4f2e309691669f5d5f748d02bb690196.800x800x1.jpg|2015|11|27
62316|MMG Priorities Vol. 1|https://images.genius.com/b9778cf9d688df31459ad1ccea1a4d28.1000x1000x1.jpg|2013|12|3
11334|Blood, Sweat & Tears|https://images.genius.com/43069cfe14bf14e83156fff65a672028.1000x1000x1.jpg|2011|8|9
|||||
5072|H.F.M. 2 (The Hunger For More 2)|https://images.genius.com/e2f98ec3d9e5c93fc879574cb53497cf.1000x1000x1.jpg|2010|11|22
134354|RNB3|https://images.genius.com/2ae153a81de0e8de784287ae35882df3.500x500x1.jpg|2015|10|30
16539|​welcome to: OUR HOUSE|https://images.genius.com/cd1de5b189d4e226124c8cc5328a1f70.599x599x100.gif|2012|8|28
8754|Teflon Don|https://images.genius.com/381cffa2eea05be31a524c368cf4d6db.1000x1000x1.jpg|2010|7|20
8752|Deeper Than Rap|https://images.genius.com/bc0c55e8fb1589120409532303b23172.1000x1000x1.jpg|2009|4|21
15641|The Stoned Immaculate|https://images.genius.com/c98f619f33ff6fca04538368e3d14529.600x600x1.jpg|2012|6|1
8756|Trilla|https://images.genius.com/1d12c9a147d0fe59187aa789b1af285a.1000x1000x1.jpg|2008|3|11
8752|Deeper Than Rap|https://images.genius.com/bc0c55e8fb1589120409532303b23172.1000x1000x1.jpg|2009|4|21
9959|No Mercy|https://images.genius.com/f55abc725080eb05147e45ce3cd406a8.1000x1000x1.jpg|2010|12|7
8752|Deeper Than Rap|https://images.genius.com/bc0c55e8fb1589120409532303b23172.1000x1000x1.jpg|2009|4|21
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
|||||
|||||
8756|Trilla|https://images.genius.com/1d12c9a147d0fe59187aa789b1af285a.1000x1000x1.jpg|2008|3|11
36890|B.O.A.T.S. II #METIME|https://s3.amazonaws.com/rapgenius/UMG_cvrart_00602537507474_01_RGB72_1500x1500_13UAAIM70647.1200x1200-75.jpg|2013|9|9
31909|Suffering from Success|https://images.genius.com/15ba797ff5bc3e098a89c3d45fa98648.1000x1000x1.jpg|2013|10|22
129996|Black Dollar|https://images.genius.com/31f2d7f1c73149c1e64254c57c538bc2.600x600x1.jpg|2015|9|3
115202|Anybody Wanna Buy a Heart?|https://images.genius.com/f146e8e273a7c3a7a53d2e6ee3d5051b.640x640x1.jpg|2014|12|9
95|Death Before Dishonor|https://images.genius.com/a9a54dbfff6e0f3a0b8143a1234a410e.498x493x1.jpg|2008|None|None
374606|Laugh Now, Fly Later|https://images.genius.com/fcf4a167b13ca49e8ad4865ce51249a2.600x600x1.jpg|2017|11|10
10856|All 6's And 7's|https://images.genius.com/7d4c4dfa3d56e3cd0f59836ef122ff24.1000x1000x1.jpg|2011|6|7
5028|Rebirth|https://images.genius.com/08526a33de7f8cce1ed20370bbe174e1.1000x1000x1.jpg|2010|2|2
11922|Cold Day in Hell|https://images.genius.com/2b9949cfcc7ed182abfc30adf71981cd.320x320x1.jpg|2011|10|31
10625|The Inspiration|https://images.genius.com/2053ad8225fddfdf7a3b14840b227196.300x300x1.jpg|2006|12|12
10856|All 6's And 7's|https://images.genius.com/7d4c4dfa3d56e3cd0f59836ef122ff24.1000x1000x1.jpg|2011|6|7
13502|TM:103 Hustlerz Ambition|https://images.genius.com/08e2d06088a8af47e984f3e82bb14cef.1000x1000x1.jpg|2011|12|20
157019|J.U.I.C.E. EP|https://images.genius.com/25b6ea0bc7a62f35bee55b49711095ac.640x640x1.jpg|2011|None|None
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
138091|Strays with Rabies|https://images.genius.com/6eaa00964dba96a66b1118d8bd4359ac.640x645x1.jpg|2015|11|6
13697|The Statement 2|https://images.genius.com/6fa5d4ea047dabc03fd8f9eabeac8677.600x600x1.jpg|2011|12|9
138931|For My Fans|https://images.genius.com/90354df9969f8f60979687cf5b62ce4f.500x500x1.jpg|2015|None|None
4173|What the Game's Been Missing!|https://images.genius.com/d5cb1629b8de680f81346f1967120942.1000x1000x1.jpg|2005|11|22
3519|The State vs. Radric Davis|https://images.genius.com/b1d579f919289c4a4498c5418f46bf1c.450x450x1.jpg|2009|12|8
17295|Ludaversal|https://images.genius.com/ac0e327179c993d15e7fd264b382b18d.500x500x1.jpg|2015|3|31
31104|R.N.I.C (Real Nigga In Charge)|https://images.genius.com/666b1700f728e2a77086135d5e2a267c.500x500x1.jpg|2013|None|None
3025|Loso's Way|https://images.genius.com/882378e21c9d8f7f6edbe6217683d217.630x630x1.jpg|2009|7|28
11240|The Soul Tape|https://images.genius.com/1e256b984c77a353a38369347eaba4a6.500x500x1.jpg|2011|4|21
330878|The Wild|https://images.genius.com/626cb7a305bf0b1ac796a18f8df3e29a.820x820x1.jpg|2017|3|24
10629|Let's Get It: Thug Motivation 101|https://images.genius.com/2373a17cd15c202522e3cc029c16e5cd.1000x1000x1.jpg|2005|7|26
20147|On the House|https://images.genius.com/b82242411f97e977e3aab3c7d6b22f58.1000x1000x1.jpg|2012|8|19
8756|Trilla|https://images.genius.com/1d12c9a147d0fe59187aa789b1af285a.1000x1000x1.jpg|2008|3|11
15641|The Stoned Immaculate|https://images.genius.com/c98f619f33ff6fca04538368e3d14529.600x600x1.jpg|2012|6|1
132593|Black Market|https://images.genius.com/487a4105b20f7079ceec48d3c123fe9b.1000x1000x1.jpg|2015|12|4
25460|Drilluminati|https://images.genius.com/0a44e85b0ab48fa8f76a3b0817861a17.500x500x1.jpg|2012|None|None
337027|NBA 2K16 Soundtrack|https://images.genius.com/411651cec765f706ea9984baac722c9b.720x720x1.jpg|2015|None|None
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
11727|Boy In Detention|https://images.genius.com/2abe2af883011414d37ea0c2a300e9b5.500x500x1.jpg|2011|8|5
10659|Buck the World|https://images.genius.com/c575145ecec0cf746c69f02ad15139be.1000x1000x1.jpg|2007|3|27
13975|At War With Myself|https://images.genius.com/82a03cf837b30fa8b6ec076655c63213.500x500x1.jpg|2011|5|7
95|Death Before Dishonor|https://images.genius.com/a9a54dbfff6e0f3a0b8143a1234a410e.498x493x1.jpg|2008|None|None
3993|Follow Me Home|https://images.genius.com/5401dd74c144153263aaeed505b5e1cc.600x600x1.jpg|2011|7|26
10632|The Recession|https://images.genius.com/1b0e8d5c8ba78942c07465f1565ca9c0.1000x1000x1.jpg|2008|9|2
29333|M.O.|https://images.genius.com/8b85f0ed9200b8df277ffa6a0112e36e.1000x1000x1.png|2013|9|30
11013|Royal Flush 2|https://images.genius.com/3b23534289629fbda6fa7ac2abfa3c35.320x320x1.jpg|2011|None|None
11922|Cold Day in Hell|https://images.genius.com/2b9949cfcc7ed182abfc30adf71981cd.320x320x1.jpg|2011|10|31
10388|Attention Deficit|https://images.genius.com/a820f3f34251c1428eb5e289fe202b13.600x600x1.jpg|2009|11|10
41331|We Got It 4 Cheap, Vol. 3|https://images.genius.com/67118889ff20a0758a11b5b7290109b6.500x500x1.jpg|2008|None|None
370292|Rough Drafts, Pt. 1|https://images.genius.com/cb219ec83228102f8d6f58c2026468fc.1000x1000x1.jpg|2018|3|23
305234|Tru - EP|https://images.genius.com/00c7ad07bf13cbc10aefd44f911586a1.600x600x1.jpg|2016|12|9
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
334083|I'm a Hitta|https://images.genius.com/2fba92a6c632077b99f5397ca22e81cd.500x500x1.jpg|2011|8|26
1236|Trill OG|https://images.genius.com/e0d7836d6de0f23fdae08cdcc229b8a1.1000x1000x1.jpg|2010|8|3
159459|Slow Motion Vol. 2|https://images.genius.com/11ceabe7f149cde8f15bb18cf0840098.592x594x1.png|2016|7|22
351101|The Bar Exam 4|https://images.genius.com/2627cc5445030d64606928667383564b.800x800x1.jpg|2017|6|20
12319|Calling All Hearts|https://images.genius.com/98882ad26b9f35e7c811670253b613cd.1000x1000x1.jpg|2010|12|21
13467|The Layover|https://images.genius.com/30bc7032c371561bfdef1d139dc3104e.500x500x1.jpg|2011|11|20
3359|Ghostdini: Wizard of Poetry in Emerald City|https://images.genius.com/ea54fa933d61e534fbf14d9509cc7146.1000x1000x1.jpg|2009|9|29
354875|Write to Dream|https://images.genius.com/74f60b646c417267e17d4bdb325e660b.1000x1000x1.jpg|2017|7|28
|||||
6014|The Breakthrough|https://images.genius.com/7c5feda2c77c2b789142a44ed942e6f7.1000x1000x1.jpg|2005|12|20
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
32517|Guerra E Pace|https://images.genius.com/df6089f1f8c217da7899df34689fccd0.403x403x1.jpg|2013|2|5
|||||
41389|Sex|https://images.genius.com/68159643d424fa1e7195d00dabe9acb9.800x800x1.jpg|2012|None|None
13081|Black Cocaine|https://images.genius.com/5945bace329c1b4f5c6557717eb01acb.316x316x1.jpg|2011|11|21
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
|||||
16476|From Day 1|https://images.genius.com/5dba37609154a4604deb7c6bddfcc86c.220x220x1.png|2012|None|None
26444|Goon Affiliated|https://images.genius.com/c60e5b4ed82f4a6360dc7e3a3ee45282.1000x1000x1.jpg|2010|None|None
22628|When Will It Stop|https://images.genius.com/d6d7ed4eefeb610a5536ce9bf754faf8.1000x1000x1.jpg|2013|None|None
18783|Write Me Back|https://images.genius.com/11bca82398099b6a69c7c99665c5efa4.500x500x1.jpg|2012|6|26
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
13149|Life Without Shame|https://images.genius.com/e3a475ac5abe30ef0ed67353746d3aef.500x500x1.jpg|2011|None|None
142638|J.U.S.T.I.C.E. For All|https://images.genius.com/0cf1436c2da6612425d48ab25cd438fd.1000x1000x1.jpg|2016|1|26
|||||
1433|The Gatalog: A Collection of Chaos|https://images.genius.com/c436c8a52e9bd29d53e59b1725120aa1.600x600x1.jpg|2006|10|24
|||||
1236|Trill OG|https://images.genius.com/e0d7836d6de0f23fdae08cdcc229b8a1.1000x1000x1.jpg|2010|8|3
|||||
16194|The Takeover: Carte Blanche Edition|https://images.genius.com/31e2ae1431e357929cb169c45e866cd6.687x687x1.png|2010|None|None
95|Death Before Dishonor|https://images.genius.com/a9a54dbfff6e0f3a0b8143a1234a410e.498x493x1.jpg|2008|None|None
|||||
108207|Friends & Lovers|https://images.genius.com/f2a1bf1bd5036bce5f54beccdd6c06d2.500x500x1.jpg|2014|None|None
|||||
429047|Mr. 1 Verse Killah|https://images.genius.com/a8346ae55c048833daebcced98b46f6e.500x500x1.jpg|2010|12|2
112685|True Romance|https://images.genius.com/5f8224030cc751b5a413ead8e0187a06.1000x1000x1.jpg|2015|2|17
116884|Sex, Money & Hip Hop|https://images.genius.com/79c142abd5c0bb9a60796940715ed7ae.640x640x1.jpg|2014|12|16
116884|Sex, Money & Hip Hop|https://images.genius.com/79c142abd5c0bb9a60796940715ed7ae.640x640x1.jpg|2014|12|16
26444|Goon Affiliated|https://images.genius.com/c60e5b4ed82f4a6360dc7e3a3ee45282.1000x1000x1.jpg|2010|None|None
12689|Back of My Lac|https://images.genius.com/0f6eda46c4ce5ddffb3f8984b1e9db0c.700x700x1.jpg|2007|10|2
229229|Too Hood 2 Be Hollywood|https://images.genius.com/7262ed9a41c3cd75bf52fcecf776610c.558x558x1.jpg|2009|12|8
