album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
168545|Culture|https://images.genius.com/73bac66d60e3a2fad0135f4dd359d2ee.1000x1000x1.jpg|2017|1|27
330482|FUTURE|https://images.genius.com/017aebcbc814b4a237d11e0bf31c7395.1000x1000x1.jpg|2017|2|17
120604|The Life of Pablo|https://images.genius.com/389e5fd1eff885b2e7b62060869945cc.1000x1000x1.jpg|2016|2|14
160467|Stoney|https://images.genius.com/0ae927fba5115df36264c55411711d51.1000x1000x1.jpg|2016|12|9
131405|What a Time to Be Alive |https://images.genius.com/856d23cafd5a7afd935b2dba87c3140f.1000x1000x1.jpg|2015|9|20
132506|Views|https://images.genius.com/6f4b9c41ccb18485cccd6aa364ccc3b8.1000x1000x1.jpg|2016|4|29
346573|Issa Album|https://images.genius.com/ce5a634ef7f4d26a18d7cf585719cff2.1000x1000x1.jpg|2017|7|7
159573|Savage Mode|https://images.genius.com/74fd790126e1e11b02aa8a560e195859.1000x1000x1.jpg|2016|7|15
336931|Painting Pictures|https://images.genius.com/363d3bd1269fd81f992057289f62a485.1000x1000x1.jpg|2017|3|31
159573|Savage Mode|https://images.genius.com/74fd790126e1e11b02aa8a560e195859.1000x1000x1.jpg|2016|7|15
143267|EVOL|https://images.genius.com/09f49d60cdf3bfb61017d515afe301c5.1000x1000x1.jpg|2016|2|6
287219|I Decided.|https://images.genius.com/74cd28ef5c9f93715d79175cd8e5e81f.500x500x1.jpg|2017|2|3
120604|The Life of Pablo|https://images.genius.com/389e5fd1eff885b2e7b62060869945cc.1000x1000x1.jpg|2016|2|14
120604|The Life of Pablo|https://images.genius.com/389e5fd1eff885b2e7b62060869945cc.1000x1000x1.jpg|2016|2|14
377760|Without Warning|https://images.genius.com/eb77a92d9832fddde0d60dacc19a7bde.980x980x1.jpg|2017|10|31
363918|Mr. Davis|https://images.genius.com/534da4803c3535014a96c123eed6953a.1000x1000x1.jpg|2017|10|13
120604|The Life of Pablo|https://images.genius.com/389e5fd1eff885b2e7b62060869945cc.1000x1000x1.jpg|2016|2|14
127543|DS2|https://images.genius.com/6ddd131edb105578265c2473398a038a.1000x1000x1.png|2015|7|17
116719|I LOVE MAKONNEN|https://images.genius.com/e2c6cfed8938d1c97285bb5e322dde89.1000x1000x1.jpg|2014|12|15
131405|What a Time to Be Alive |https://images.genius.com/856d23cafd5a7afd935b2dba87c3140f.1000x1000x1.jpg|2015|9|20
|||||
149228|Lil Uzi Vert Vs. The World|https://images.genius.com/ae47e2a7642e50b84083e2e838fd4770.1000x1000x1.jpg|2016|4|15
247342|The Return of East Atlanta Santa|https://images.genius.com/e346585343669f785da446478e1db2aa.600x600x1.jpg|2016|12|16
131405|What a Time to Be Alive |https://images.genius.com/856d23cafd5a7afd935b2dba87c3140f.1000x1000x1.jpg|2015|9|20
41797|Honest|https://images.genius.com/954d4bfb2f1a939623e43520199dcb34.500x500x1.png|2014|4|22
131405|What a Time to Be Alive |https://images.genius.com/856d23cafd5a7afd935b2dba87c3140f.1000x1000x1.jpg|2015|9|20
131405|What a Time to Be Alive |https://images.genius.com/856d23cafd5a7afd935b2dba87c3140f.1000x1000x1.jpg|2015|9|20
127543|DS2|https://images.genius.com/6ddd131edb105578265c2473398a038a.1000x1000x1.png|2015|7|17
377760|Without Warning|https://images.genius.com/eb77a92d9832fddde0d60dacc19a7bde.980x980x1.jpg|2017|10|31
221906|Starboy|https://images.genius.com/2c1f31ee6278b9ccf7be5b6a3ab190ab.1000x1000x1.jpg|2016|11|25
491157|Rodeo (Deluxe)|https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg|2015|9|4
