album_id,album_title,cover_art_url,album_release_year,album_release_month,album_release_day
370526,Lil Pump,https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg,2017,10,6
329036,CÅSTLES II - EP,https://images.genius.com/1445a27a020d00769f90a4719550bbfb.500x500x1.jpg,2017,2,7
,,,,,
370526,Lil Pump,https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg,2017,10,6
329036,CÅSTLES II - EP,https://images.genius.com/1445a27a020d00769f90a4719550bbfb.500x500x1.jpg,2017,2,7
452568,FFM Freestyle,https://images.genius.com/c383dbcc73435213b9bcdded15b86433.190x190x1.jpg,2018,None,None
393420,Until Death Call My Name,https://images.genius.com/b45e13d0800707b1d1208692591ce552.600x600x1.jpg,2018,4,27
221656,Dexter The Robot,https://images.genius.com/32530522e0941482a49381f99c61e40b.500x500x1.jpg,2016,9,19
370526,Lil Pump,https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg,2017,10,6
,,,,,
365604,Ok Dexter,https://images.genius.com/d5e84ebbfb3245a2a3109b851cee3a43.500x500x1.jpg,2016,7,None
,,,,,
442470,Gucci Gang (Zero),https://assets.genius.com/images/default_cover_art.png?1550796438,,,
133871,Turnt Like Reese,https://assets.genius.com/images/default_cover_art.png?1550796438,,,
370526,Lil Pump,https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg,2017,10,6
370526,Lil Pump,https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg,2017,10,6
329036,CÅSTLES II - EP,https://images.genius.com/1445a27a020d00769f90a4719550bbfb.500x500x1.jpg,2017,2,7
345610,Walk on Water,https://images.genius.com/06f577caa9d1c98a11f21a0ab9a12a09.500x500x1.jpg,2017,4,16
370526,Lil Pump,https://images.genius.com/c8e73069b83572d7456a8ea846f47bcf.667x667x1.jpg,2017,10,6
221656,Dexter The Robot,https://images.genius.com/32530522e0941482a49381f99c61e40b.500x500x1.jpg,2016,9,19
,,,,,
,,,,,
390638,Dedication 6: Reloaded,https://images.genius.com/3622689a5172c789024942436b11dce2.800x800x1.jpg,2018,1,26
332888,FLY AWAY,https://images.genius.com/aff605e8b67962c216c72d1a4583754f.500x500x1.jpg,2017,2,23
151469,Don Slaughter,https://images.genius.com/f21321347743094bf00a9884b81260a8.500x500x1.jpg,2016,5,12
,,,,,
395089,Hollywood Dropout,https://images.genius.com/b0bcabec88ee9f11c95c63973af59b65.599x599x1.jpg,2017,9,16
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
221656,Dexter The Robot,https://images.genius.com/32530522e0941482a49381f99c61e40b.500x500x1.jpg,2016,9,19
,,,,,
,,,,,
,,,,,
497379,4EVERHEARTBROKE,https://images.genius.com/7b38dec5478489e68f6c1905badcf99f.630x630x1.jpg,2016,2,14
160558,714EVER,https://images.genius.com/9a11c050ec42423987adf7ac32a8a81b.1000x1000x1.jpg,2016,8,19
27323,Kindest Regards,https://images.genius.com/7d491ef5548b0e24150f3e20385d0d0a.1000x1000x1.png,2013,11,28
,,,,,
,,,,,
371926,Turn Me Up Big E 2,https://images.genius.com/d81cfdb33ef37d536071ac088a82a1c5.1000x1000x1.jpg,2017,10,1
365604,Ok Dexter,https://images.genius.com/d5e84ebbfb3245a2a3109b851cee3a43.500x500x1.jpg,2016,7,None
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
221656,Dexter The Robot,https://images.genius.com/32530522e0941482a49381f99c61e40b.500x500x1.jpg,2016,9,19
289890,TRACY'S MANGA,https://images.genius.com/7d4dec416c825ddde697d0594aa4191d.500x500x1.jpg,2017,2,1
289890,TRACY'S MANGA,https://images.genius.com/7d4dec416c825ddde697d0594aa4191d.500x500x1.jpg,2017,2,1
304999,Tundra Boy: Season Two,https://images.genius.com/7615d5359c9e3397a7b5943052a6e536.1000x1000x1.jpg,2016,11,26
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
,,,,,
360887,✧✧✧LIFE OF A POPSTAR✧✧✧,https://images.genius.com/862dd45163f9f09c0f90f1f452a2d967.496x496x1.jpg,2017,7,31
,,,,,
,,,,,
159004,Live.Shyne.Die,https://images.genius.com/f5266830cdc9b3917d9f545364099d88.1000x1000x1.jpg,2017,9,26
391946,Rich Hood,https://images.genius.com/532d67c660fda9547e38be341751537f.1000x1000x1.jpg,2018,1,5
360887,✧✧✧LIFE OF A POPSTAR✧✧✧,https://images.genius.com/862dd45163f9f09c0f90f1f452a2d967.496x496x1.jpg,2017,7,31
304999,Tundra Boy: Season Two,https://images.genius.com/7615d5359c9e3397a7b5943052a6e536.1000x1000x1.jpg,2016,11,26
,,,,,
332888,FLY AWAY,https://images.genius.com/aff605e8b67962c216c72d1a4583754f.500x500x1.jpg,2017,2,23
360887,✧✧✧LIFE OF A POPSTAR✧✧✧,https://images.genius.com/862dd45163f9f09c0f90f1f452a2d967.496x496x1.jpg,2017,7,31
160558,714EVER,https://images.genius.com/9a11c050ec42423987adf7ac32a8a81b.1000x1000x1.jpg,2016,8,19
304999,Tundra Boy: Season Two,https://images.genius.com/7615d5359c9e3397a7b5943052a6e536.1000x1000x1.jpg,2016,11,26
362219,South Dark,https://images.genius.com/441fcaf3c164c9b0cfe4a087677c2e78.1000x1000x1.jpg,2017,8,8
,,,,,
325870,Heavy Weight Champ,https://images.genius.com/9d0e17d2da142aedfbd8daa6a04c761e.500x500x1.jpg,2017,None,None
333500,Forgive Me,https://images.genius.com/3dfae05970010e1d5bafc61b7aaa7861.500x500x1.jpg,2017,3,1
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
221656,Dexter The Robot,https://images.genius.com/32530522e0941482a49381f99c61e40b.500x500x1.jpg,2016,9,19
387930,G.O.A.T.,https://images.genius.com/17fe43f9da145e3408e4f87c517d1110.600x600x1.jpg,2017,12,16
338033,XOXO,https://images.genius.com/6530fe3024077ff3ea95862a02865d37.500x500x1.jpg,2017,3,31
360887,✧✧✧LIFE OF A POPSTAR✧✧✧,https://images.genius.com/862dd45163f9f09c0f90f1f452a2d967.496x496x1.jpg,2017,7,31
385356,GOOP,https://images.genius.com/da3fdd494811fa05369cc1d82ded01db.1000x1000x1.jpg,2017,6,28
304999,Tundra Boy: Season Two,https://images.genius.com/7615d5359c9e3397a7b5943052a6e536.1000x1000x1.jpg,2016,11,26
,,,,,
20715,Trill Entertainment Presents: Survival of the Fittest,https://images.genius.com/4167b5d1cf5df5dae0c9351cc1f05c2d.640x640x1.jpg,2007,None,None
,,,,,
289890,TRACY'S MANGA,https://images.genius.com/7d4dec416c825ddde697d0594aa4191d.500x500x1.jpg,2017,2,1
,,,,,
287619,Dexter Different,https://images.genius.com/4cd993ea5ff955717f103e7ae6abcdbb.727x725x1.png,2016,10,31
,,,,,
