album_id|album_title|cover_art_url|album_release_year|album_release_month|album_release_day
4343|My Beautiful Dark Twisted Fantasy|https://images.genius.com/31f9198f646ae211d8fe2c855e6ea4d0.998x998x1.png|2010|11|22
|||||
10995|Friday Night Lights|https://images.genius.com/ae722fa8fa10d75fe4b25dfeb4b8d8d6.1000x1000x1.jpg|2010|11|12
30215|Love in the Future|https://images.genius.com/e95068be211e9b806bba3f57a14c7100.1000x994x1.jpg|2013|8|30
4058|The Blueprint|https://images.genius.com/1aebfd816914351eb7010bd441822da8.1000x1000x1.jpg|2001|9|11
128418|Compton|https://images.genius.com/7c86491b48879c1c40d6e89a3d5a03d3.600x600x1.jpg|2015|8|7
4058|The Blueprint|https://images.genius.com/1aebfd816914351eb7010bd441822da8.1000x1000x1.jpg|2001|9|11
4058|The Blueprint|https://images.genius.com/1aebfd816914351eb7010bd441822da8.1000x1000x1.jpg|2001|9|11
304312|Rather You Than Me|https://images.genius.com/d1373df4002267ed5d5750cb5b473c41.1000x1000x1.jpg|2017|3|17
27316|Mastermind|https://images.genius.com/5a57a099fbd459798a3666e5b392c749.1000x1000x1.jpg|2014|3|3
11240|The Soul Tape|https://images.genius.com/1e256b984c77a353a38369347eaba4a6.500x500x1.jpg|2011|4|21
6376|Another Level|https://images.genius.com/099c91d1b9747561b319432727e66dd2.504x500x1.jpg|1996|9|9
|||||
15641|The Stoned Immaculate|https://images.genius.com/c98f619f33ff6fca04538368e3d14529.600x600x1.jpg|2012|6|1
|||||
4066|The Dynasty: Roc La Familia|https://images.genius.com/c91a9bc0eb9aaf290224ebeaabd243a0.640x640x1.jpg|2000|10|31
7073|Music & Me|https://images.genius.com/7bd5105544956db251fdc5f82aabbb6e.450x450x1.jpg|2001|12|4
304312|Rather You Than Me|https://images.genius.com/d1373df4002267ed5d5750cb5b473c41.1000x1000x1.jpg|2017|3|17
304312|Rather You Than Me|https://images.genius.com/d1373df4002267ed5d5750cb5b473c41.1000x1000x1.jpg|2017|3|17
4066|The Dynasty: Roc La Familia|https://images.genius.com/c91a9bc0eb9aaf290224ebeaabd243a0.640x640x1.jpg|2000|10|31
5144|Love, Peace & Nappiness|https://images.genius.com/893c2bbd776465ccaec7387880c1a53c.700x700x1.jpg|1997|None|None
19933|HITstory|https://images.genius.com/86984c5345dac49e42e9a37bac2738e8.500x500x1.jpg|2012|None|None
25090|Wrath Of Caine|https://images.genius.com/17043530e499e3e3fc8faa71b9d8f74d.1000x1000x1.jpg|2013|1|28
23973|King or the Fool|https://images.genius.com/3fc4707fa8ddbdc439dbfae1441cfc37.400x400x1.jpg|2014|None|None
8752|Deeper Than Rap|https://images.genius.com/bc0c55e8fb1589120409532303b23172.1000x1000x1.jpg|2009|4|21
10828|Purp & Patron|https://images.genius.com/2ac5b9e1da222cb025aa059f64716e53.500x500x1.jpg|2011|1|24
30215|Love in the Future|https://images.genius.com/e95068be211e9b806bba3f57a14c7100.1000x994x1.jpg|2013|8|30
|||||
24843|C.A.S.H.: Cass Always Stay Hard|https://images.genius.com/e979ed50f1b2f4260ab6d85ec41a2332.560x557x1.jpg|2010|11|16
3535|Legend of the Liquid Sword|https://images.genius.com/6eec7781b61d16cab75a144ab36ff78d.500x500x1.jpg|2002|None|None
34165|TM3: Victory Lap|https://assets.genius.com/images/default_cover_art.png?1550796438|||
7073|Music & Me|https://images.genius.com/7bd5105544956db251fdc5f82aabbb6e.450x450x1.jpg|2001|12|4
|||||
|||||
|||||
6836|John P. Kelly|https://images.genius.com/6716af194798804846db733e37eca133.300x300x1.jpg|2001|None|None
17847|Blackout! 2|https://images.genius.com/db5d35ac88b2f5f657d5ef0d263732cf.480x488x1.jpg|2009|5|19
3188|Philadelphia Freeway|https://images.genius.com/2eeac9c2cd73f1c0a26e84db44f9a7a1.628x640x1.jpg|2003|2|25
12577|Prince of the City: Welcome to Pistolvania|https://images.genius.com/22079eaff0395f48f7e1891ca05897a0.1000x1000x1.jpg|2005|None|None
351101|The Bar Exam 4|https://images.genius.com/2627cc5445030d64606928667383564b.800x800x1.jpg|2017|6|20
442361|POISON|https://images.genius.com/7ad44afba9cb2f237cf4a1c28e1b1b7e.1000x1000x1.jpg|2018|11|2
12707|Best Night of My Life|https://images.genius.com/92a09f2678bd2647f3bcd611d6383054.350x350x1.jpg|2011|None|None
7073|Music & Me|https://images.genius.com/7bd5105544956db251fdc5f82aabbb6e.450x450x1.jpg|2001|12|4
7135|XXX (Music From and Inspired by the Motion Picture)|https://images.genius.com/a489689d821eeeef55bfa512e3b0e187.500x500x1.jpg|2002|8|6
8756|Trilla|https://images.genius.com/1d12c9a147d0fe59187aa789b1af285a.1000x1000x1.jpg|2008|3|11
42883|New York: A Love Story|https://images.genius.com/8baa04a10f078ce4ffdd1a7af73f17bc.700x700x1.jpg|2013|None|None
7717|H.N.I.C|https://images.genius.com/e47c62d0ceb7347dbc92ea01e662ab09.1000x1000x1.jpg|2000|11|14
4978|The Wonderful World of Cease A Leo|https://images.genius.com/2ea09b08507a6f7177da90a85daeeb94.500x500x1.jpg|1999|7|13
652|The Truth|https://images.genius.com/a5d876dd3d88aa58a26a93ff8e32c391.500x500x1.jpg|2000|2|29
3879|Escape Route|https://images.genius.com/607a1fcb47455bcc9a5f02f66001a9f4.1000x1000x1.jpg|2009|8|11
4694|Tha Streetz Iz a Mutha|https://images.genius.com/19827b73d665d135cdf903e8afe08997.1000x1000x1.jpg|1999|11|16
1396|B.A.R.S.: The Barry Adrian Reese Story|https://images.genius.com/edb2d0f406a39a4220e643d881a4dfd9.450x450x1.jpg|2007|11|6
198|Hempstead High|https://images.genius.com/47d860c7957a7fd6b1bf8dd92aafb79a.784x768x1.jpg|1999|None|None
3535|Legend of the Liquid Sword|https://images.genius.com/6eec7781b61d16cab75a144ab36ff78d.500x500x1.jpg|2002|None|None
305264|Charlie Eastern|https://images.genius.com/95bde6bce5831c5eed1b9b764afe83a9.1000x1000x1.jpg|2016|11|18
642|The B. Coming|https://images.genius.com/48c4319dfc3c978405c6c446d03d8171.500x500x1.jpg|2005|3|29
45025|JoJo|https://images.genius.com/fb9fc92b414de7ec27c7b894a5399cf7.600x600x1.png|2004|6|22
6190|Ghetto Classics|https://images.genius.com/d72af50f79fcbf5c996e7c9c6e22374f.600x600x1.jpg|2006|None|None
652|The Truth|https://images.genius.com/a5d876dd3d88aa58a26a93ff8e32c391.500x500x1.jpg|2000|2|29
4580|The Giancana Story|https://images.genius.com/6899b851929e0ce00a3ce59fe1cb1f6e.500x500x1.jpg|2002|11|26
6376|Another Level|https://images.genius.com/099c91d1b9747561b319432727e66dd2.504x500x1.jpg|1996|9|9
8445|State Property Presents Vol. II: The Chain Gang|https://assets.genius.com/images/default_cover_art.png?1550796438|||
4694|Tha Streetz Iz a Mutha|https://images.genius.com/19827b73d665d135cdf903e8afe08997.1000x1000x1.jpg|1999|11|16
20453|Year Of The Dragon|https://images.genius.com/c45e2fd5ac84651b718230013703e247.500x496x1.jpg|2012|8|21
|||||
5602|534|https://images.genius.com/60fa2ce39a813cf2d595146c1467a4a3.1000x1000x1.jpg|2005|5|17
10576|Man vs Machine|https://images.genius.com/857a416f44825b13b2e0155587142ae2.600x600x1.jpg|2002|10|1
6972|Let's Get Ready|https://images.genius.com/df1d2199e0fec5c988c1e22e6b546080.1000x981x1.jpg|2000|9|26
|||||
164820|I Love You (A Dedication To My Fans)|https://images.genius.com/fe8e21411180ff5b56c068ab9f97fac6.1000x1000x1.jpg|2011|5|23
|||||
|||||
7073|Music & Me|https://images.genius.com/7bd5105544956db251fdc5f82aabbb6e.450x450x1.jpg|2001|12|4
10828|Purp & Patron|https://images.genius.com/2ac5b9e1da222cb025aa059f64716e53.500x500x1.jpg|2011|1|24
10261|Golden Arms Redemption|https://images.genius.com/55c6bfb6928ee69fa076f8f2a3218981.700x700x1.jpg|1999|10|19
8846|The Bar Exam|https://images.genius.com/4f966eb73a81b58069fb8aff648de307.700x700x1.jpg|2007|4|7
|||||
18761|Woman to Woman|https://images.genius.com/6dfb173393a6ddc31e1f289606a9a61f.640x640x1.jpg|2012|None|None
10576|Man vs Machine|https://images.genius.com/857a416f44825b13b2e0155587142ae2.600x600x1.jpg|2002|10|1
524|S.O.S.A. (Save Our Streets AZ)|https://images.genius.com/c9eab8e9814643fc451a0437e47b8a7e.467x470x1.jpg|2000|None|None
42948|Young Forever |https://assets.genius.com/images/default_cover_art.png?1550796438|||
3188|Philadelphia Freeway|https://images.genius.com/2eeac9c2cd73f1c0a26e84db44f9a7a1.628x640x1.jpg|2003|2|25
7798|The Saga Continues...|https://images.genius.com/5bf2d92c3137d051c7e9269aa816c969.953x953x1.jpg|2001|7|10
5102|Todd Smith|https://images.genius.com/8f036bc91d1ae759df9acb3ca88e0c5f.1000x1000x1.jpg|2006|4|11
12678|War Music|https://images.genius.com/5dddfb71a6000a612e416c60f01cca6e.500x500x1.jpg|2011|None|None
|||||
4664|Snatcha Season Pt. 1|https://images.genius.com/6ab84ff5ff3e9d426e352bd8dfcb4f8a.600x600x1.jpg|1998|None|None
