producer_id,performer_id,song_id,album_id
158,158,3004837,330126
158,158,3114474,330126
158,1319,2153759,87848
158,118,2311139,130765
158,158,2486863,148977
158,88,80557,12560
158,47589,3258567,410838
158,158,140752,31909
158,34532,2332450,150899
158,72,70202,109923
158,158,50025,11218
158,158,2489998,148977
158,158,2825347,148977
158,158,2985067,330126
158,118,2417475,107952
158,158,3844672,407064
158,1583,2426099,144230
158,158,493169,98449
158,617327,3309397,423911
158,158,3556750,407064
158,158,2823876,148977
158,158,197451,31909
158,158,1780102,98449
158,158,415443,98449
158,1319,2151245,87848
158,2487,3392193,354458
158,118,3268879,373487
158,158,69473,15806
158,158,2328394,98449
158,158,2825554,148977
158,158,83921,15806
158,158,732,2458
158,158,79532,15806
158,158,3110340,330126
158,158,2825345,148977
158,425,2847967,
158,44080,2948617,168545
158,460,149003,26952
158,2197,2989248,330482
158,158,239624,31909
158,158,2982635,330126
158,158,83915,15806
158,158,83918,15806
158,158,183,2460
158,158,2825580,148977
158,1739,3495,11169
158,86,61224,108226
158,158,3117579,330126
158,780,381510,
158,158,3117593,330126
158,1583,150151,17522
158,158,3387,11218
158,158,2826385,148977
158,639521,3152605,
158,42,507496,
158,158,2825579,148977
158,158,2455009,148977
158,158,1082,2458
158,158,3117588,330126
158,158,2328400,98449
158,83,85,2460
158,158,5741,11218
158,2362,209861,31909
158,1319,58900,378165
158,158,2828371,148977
158,158,239210,31909
158,158,2825346,148977
158,158,2825584,148977
158,158,566357,98449
158,4,28616,5001
158,3,3217622,377891
158,158,3117592,330126
158,158,3117587,330126
158,83,75260,
158,158,238565,31909
158,158,3117586,330126
158,158,3117583,330126
158,88,2371930,132593
158,162126,3201366,358502
158,82,371144,400569
158,158,3117577,330126
158,158,2826274,148977
158,1583,3145464,352348
158,88,365987,27316
158,158,948,2460
158,158,871,2462
158,158,233980,31909
158,158,3117584,330126
158,1319,2152255,87848
158,86,5101,584
158,158,243990,31909
158,158,3537959,404564
158,158,2482733,148977
158,158,83922,15806
158,158,2328748,98449
158,158,3117585,330126
158,158,2399119,337027
158,438,2375831,138666
158,158,2687,2458
158,158,238460,31909
158,158,3117603,330126
158,460,98586,23611
158,158,3117604,330126
158,158,83920,15806
158,158,3117575,330126
158,158,52390,11218
158,1303,55513,11690
158,158,17360,2462
158,158,17365,2460
158,158,239029,31909
158,55920,2355581,
158,460,73671,11334
158,162126,3200417,358502
158,158,989,2460
158,1362,2904905,289293
158,158,239874,31909
158,34532,2819852,
158,34532,2849005,
158,42,2837519,
158,1362,3171365,372566
158,1583,3145465,352348
158,42,51139,15983
158,158,240139,31909
158,403,107519,30099
158,43504,177675,31104
158,158,83924,15806
158,118,3268880,373487
158,3261,2984831,326987
158,438,238579,
158,158,195334,
158,344,5227,1722
158,2362,3117598,330126
158,158,83914,15806
158,158,489121,
158,130,2344303,128797
158,158,17376,2462
158,79,24599,4114
158,780,124375,37263
158,158,3117601,330126
158,640,52602,11491
158,460,832,228
158,88,40230,8753
158,158,80320,2458
158,158,239651,31909
158,19223,3693517,421942
158,1181,32743,6541
158,2236,63644,15176
158,158,2329495,98449
158,358,3039298,229557
158,158,83923,15806
158,460,188803,26952
158,1528141,3841650,
158,1550284,3891131,
158,1362,3117599,330126
158,2362,2329212,98449
158,337,3711,9701
158,158,85046,20215
158,160,154565,
158,158,2329492,98449
158,158,52419,11218
158,1075634,3117594,330126
158,460,59148,13697
158,1,11,360842
158,158,17371,2458
158,1583,2841794,158551
158,158,77033,2458
158,34,2342958,134686
158,158,17370,2460
158,404115,148358,
158,118,2939561,313600
158,158,2328473,98449
158,158,52388,11218
158,1362,3262474,372566
158,6769,3117581,330126
158,158,83926,15806
158,158,17372,20215
158,745,109922,33502
158,2362,682459,
158,13188,54463,
158,118,3268877,373487
158,158,2329494,98449
158,158,52441,11218
158,1362,3262478,372566
158,158,4363,2460
158,460,61178,13697
158,158,83928,15806
158,158,52389,11218
158,158,2329497,98449
158,88,2342848,132593
158,3,19600,3029
158,158,83927,15806
158,4,3922406,
158,460,189997,26952
158,22457,3274264,
158,158,52442,11218
158,669629,3193797,362834
158,2487,409750,
158,158,196793,
158,118,3268887,373487
158,158,2329500,98449
158,158,17363,
158,2361,2824457,160595
158,233,2930674,309248
158,14832,72592,25845
158,158,2329498,98449
158,158,52423,11218
158,158,419241,2462
158,1261496,3321711,381436
158,158,52440,11218
158,118,3268882,373487
158,51632,157774,34391
158,2197,2996227,330482
158,158,17373,2462
158,2362,83939,15806
158,158,59061,2462
158,460,61215,13697
158,191,4033639,322211
158,158,51681,11218
158,115929,310951,
158,158,844375,
158,158,17364,2460
158,438,303450,1551
158,88,78789,
158,460,59585,228
158,4,99263,19372
158,535,73731,
158,16424,141483,32020
158,1550290,3885928,451608
158,607646,3724774,429733
158,158,84717,20215
158,638,64276,
158,158,17369,2460
158,148,35259,7130
158,1583,2936335,
158,38940,2886751,223529
158,72445,3153416,360847
158,624481,3005721,395791
158,51632,157766,34391
158,158,251833,31909
158,210746,3241704,385262
