producer_id|performer_id|song_id|album_id
24099|9476|75817|7712
24099|1938|67125|11411
24099|1938|72739|11179
24099|1051430|2899353|288227
24099|1021|59181|12107
24099|9476|2478509|153397
24099|9476|2478304|28577
24099|977522|2826959|159309
24099|9476|2402552|7712
24099|11771|2477280|153187
24099|11771|2477257|153181
24099|1938|159328|11176
24099|9476|884950|7712
24099|6722|3059855|340833
24099|1938|261189|11411
24099|1938|175982|11176
24099|9476|2478293|28577
24099|9476|2478284|28577
24099|9476|83261|19730
24099|40232|515939|
24099|9476|78950|7712
24099|5307|168428|34503
24099|9476|2478322|153397
24099|9476|2478308|28577
24099|11771|2474393|152595
24099|9476|2479742|7712
24099|9476|2481653|7712
24099|9476|2478321|153397
24099|11771|2477196|153167
24099|9476|2478510|28577
24099|1329302|3453896|395983
24099|9476|2481659|7712
24099|9476|2479773|7712
24099|9149|35916|7284
24099|9476|2478279|28577
24099|14832|4315027|504630
24099|9476|1799247|7712
24099|11771|2477235|153173
24099|11771|2477231|153173
24099|9476|251827|28577
24099|11771|2477254|153173
24099|9476|2478317|28577
24099|9476|251826|28577
24099|9476|2481657|7712
24099|9476|1134862|7712
24099|11771|2477250|153173
24099|9476|2478319|28577
24099|11771|2477237|153173
24099|9476|2478299|28577
24099|27446|203789|262450
24099|11771|2477194|153167
24099|11771|2477246|153173
24099|9476|2478320|153397
24099|11771|2477287|153187
24099|9476|2481663|7712
24099|24099|3298243|
24099|11771|2477259|153181
24099|11771|2477200|153167
24099|11771|2477304|153187
24099|9476|2478288|28577
24099|9476|2478507|153397
24099|11771|2477266|153185
24099|11771|2477263|153181
24099|9476|2478276|28577
24099|11771|2477191|153167
24099|11771|2477269|153185
24099|11771|2477243|153173
24099|11771|2477241|153173
24099|11771|2477233|153173
24099|11771|2477267|153185
24099|63823|4218872|405289
24099|11771|2477201|153167
24099|11771|2477190|153167
24099|11771|2476289|152595
24099|11771|2477238|153173
24099|9476|2481684|7712
24099|11771|2476685|152595
24099|21286|3181987|
24099|11771|2477272|153185
24099|11771|2477204|153167
24099|11771|2477261|153181
24099|11771|2477205|153167
24099|11771|2477197|153167
24099|11771|2477203|153167
24099|978326|2974892|328678
24099|11771|2477268|153185
24099|11771|2477251|153173
24099|978326|2974873|328678
24099|11771|2477207|153167
24099|11771|2477193|153167
24099|182819|3929715|457527
24099|182819|3929731|457527
24099|9476|4223747|495312
1553|1421|3032843|
1553|1421|3047144|337082
1553|11353|344103|30408
1553|820|151020|30268
1553|45|18924|
1553|686|133672|328570
1553|45|941|
1553|686|188769|328570
1553|22639|81458|19208
1553|4|307|5002
1553|56|34780|7006
1553|12404|706096|108940
1553|20063|94252|30095
1553|34|56|3972
1553|122|37824|7720
1553|1091|16749|2250
1553|18047|181737|34784
1553|11353|2670502|156166
1553|12404|94431|23112
1553|22639|83410|19208
1553|45|602|
1553|22639|83387|19208
1553|56|1351|7014
1553|2049|714502|41464
1553|978030|49177|10869
1553|1422|2840846|160214
1553|108|2369397|137591
1553|173|468|9273
1553|122|3840|7717
1553|11353|64125|13493
1553|34|2494|
1553|686|569132|
1553|22639|83391|19208
1553|56|34783|7006
1553|12404|727310|108940
1553|1262|66782|15119
1553|1553|7811|301
1553|42|2323567|132576
1553|162|93619|21155
1553|67|465|11976
1553|11571|148403|
1553|1022|56530|12144
1553|471|846|8850
1553|215919|911148|121084
1553|978030|49949|10869
1553|1022|3045749|381594
1553|56|34814|7014
1553|4637|1016060|121084
1553|1553|2395151|463505
1553|22639|83398|19208
1553|45|5143|
1553|1|5546|1322
1553|12404|97732|23112
1553|1421|120121|14126
1553|12404|97751|23112
1553|12404|97747|23112
1553|56|34786|7006
1553|1553|3458|306
1553|34|24056|3975
1553|22639|83388|19208
1553|12404|97728|23112
1553|12404|97883|23112
1553|12404|97740|23112
1553|34|287|3973
1553|22639|83390|19208
1553|12404|727324|108940
1553|12404|97790|23112
1553|251|3894|6722
1553|162|96585|21155
1553|978030|2422733|144002
1553|19217|147920|16143
1553|12404|97736|23112
1553|820|117377|149956
1553|251|33446|6696
1553|1583|2841773|158551
1553|43485|2385674|30632
1553|12404|97742|23112
1553|1022|19422|3001
1553|3|4139|3025
1553|12077|96710|138784
1553|1553|731540|
1553|1553|77704|18015
1553|1262|66708|15119
1553|20285|719291|121084
1553|22639|83394|19208
1553|978030|49401|10869
1553|22639|83397|19208
1553|19217|156058|16143
1553|162|3157727|336107
1553|12404|3206084|149005
1553|684|1364|7397
1553|1581|31952|5979
1553|978030|50627|10869
1553|1022|3322895|381594
1553|1183|748644|121084
1553|12404|97753|23112
1553|75|43909|9584
1553|11346|107754|18504
1553|251|33568|6722
1553|68131|748770|121084
1553|162|94387|21155
1553|978030|50973|10869
1553|12404|602902|455823
1553|12404|97759|23112
1553|122|2954840|144449
1553|22639|83389|19208
1553|1199921|165448|31856
1553|12404|97889|23112
1553|978030|49336|10869
1553|978030|51330|10869
1553|162|76327|441798
1553|1553|7823|301
1553|12404|673462|
1553|12404|3206089|149005
1553|5841|98092|23784
1553|978030|51331|10869
1553|173|85464|20147
1553|1022|3322903|381594
1553|1622973|4041710|472719
1553|1553|62243|347110
1553|12404|697016|
1553|1622973|4041698|472719
1553|1553|54326|306
1553|162|94261|21155
1553|1199921|165453|31856
1553|1173|14286|1656
1553|34|24018|3972
1553|21714|344857|76414
1553|12404|119448|23112
1553|978030|49947|10869
1553|1199921|140451|31856
1553|12077|81350|138784
1553|1553|2373427|464020
1553|11689|234004|46994
1553|12404|2849103|
