producer_id,performer_id,song_id,album_id
27472,1421,90478,491200
27472,1421,3047142,337082
27472,1421,90473,491200
27472,1421,92856,491200
27472,1421,721659,120991
27472,1421,3047141,337082
27472,1421,722278,120991
27472,1421,3047135,337082
27472,1421,3047132,337082
27472,1421,90479,491200
27472,1421,51801,11160
27472,1403568,3429382,363114
27472,1307337,3412272,363114
27472,1421,721854,120991
27472,1421,722263,120991
27472,1421,721842,120991
27472,1421,722271,120991
27472,1421,722284,120991
27472,1421,3047134,337082
27472,1421,3047140,337082
27472,1421,128497,491200
27472,1421,3047131,337082
27472,1357228,3487532,363114
27472,1421,3047145,337082
27472,11353,270020,30408
27472,11353,2472238,156166
27472,11353,2817199,156166
27472,1357232,3487546,455554
27472,1421,722279,120991
27472,1421,722287,120991
27472,1421,51805,11160
27472,69,2378981,366010
27472,1357230,3487555,363114
27472,1421,51800,11160
27472,1421,51513,11160
27472,1048935,3487573,363114
27472,1421,722288,120991
27472,1421,2433511,145606
27472,1421,51799,11160
27472,11353,192561,30408
27472,1357233,3487548,363114
27472,11353,62489,13493
27472,310,396265,103855
27472,1421,3487545,363114
27472,1421,2433509,145606
27472,11353,361655,30408
27472,1307337,3494759,363114
27472,1421,2433531,145606
27472,632912,3487561,363114
27472,1421,49215,10919
27472,1357237,3487558,363114
27472,11353,364041,30408
27472,11353,2670513,156166
27472,1357239,3487556,363114
27472,11353,2670509,156166
27472,1403,558149,
27472,160041,3096136,362481
27472,1421,50208,11342
27472,11353,67192,11712
27472,1955,63753,14372
27472,1421,49272,10919
27472,22001,349120,43302
27472,1385440,3487576,363114
27472,11353,2670494,156166
27472,4,212853,41879
27472,11353,337640,30408
27472,2049,73815,16352
27472,1421,54894,10919
27472,1421,49458,10919
27472,41579,586246,
27472,2049,73878,16352
27472,11353,2670495,156166
27472,2049,450916,103604
27472,1421,6413,11342
27472,185600,2399538,142304
27472,2049,53307,11408
27472,1421,74883,
27472,1421,49457,10919
27472,820,2305090,128662
27472,11353,2670508,156166
27472,11353,64115,13493
27472,1421,52075,11342
27472,2373,3222023,489657
27472,1421,2162382,120991
27472,11353,2670497,156166
27472,1421,52010,11342
27472,11353,2670502,156166
27472,1421,3477888,
27472,2049,2926017,287386
27472,88,113020,27007
27472,1421,52074,11342
27472,1403,3770496,429662
