producer_id,performer_id,song_id,album_id
35355,45,3930546,457633
35355,16690,711649,122441
35355,1572772,3944360,395433
35355,1665,3937522,461649
35355,45,3930563,457633
35355,396531,2475713,152502
35355,396565,2431237,
35355,396565,3361009,386503
35355,1069179,3244970,393565
35355,646901,3091079,335313
35355,566912,3078863,
35355,396565,3360875,386503
35355,1124097,3887979,456145
35355,654932,3023327,370526
35355,654932,3121471,370526
35355,396565,3249996,386503
35355,396565,3394695,
35355,16690,2416243,146177
35355,16690,2413809,
35355,1069179,3441937,
35355,16690,110341,38857
35355,14598,3798091,379350
35355,16690,2436592,146177
35355,16690,2436642,146177
35355,646901,3253905,335313
35355,396565,3299779,386503
35355,16690,2424612,146177
35355,654932,2906194,
35355,1069179,3244973,
35355,396531,4074631,465959
35355,646901,3254308,335313
35355,16690,213550,38857
35355,989525,3600862,402081
35355,16690,3285909,363981
35355,16690,3285921,363981
35355,16690,2436621,146177
35355,192744,3573702,365818
35355,16690,2436600,146177
35355,646901,3150289,335313
35355,654932,3261781,370526
35355,654932,2946868,
35355,396531,2483655,
35355,1665,3969692,461649
35355,22853,2459897,149862
35355,35355,3527768,376841
35355,1572772,3989785,
35355,646901,3405290,
35355,35355,3540407,376841
35355,396565,3491867,
35355,646901,3253521,335313
35355,1426519,3599267,432250
35355,16690,736645,122441
35355,16690,213245,38857
35355,16690,3101657,347078
35355,234513,3081228,343967
35355,16690,2411025,
35355,396531,3368091,351623
35355,72,3957716,462441
35355,1353144,2715174,
35355,646901,3328491,
35355,35355,2412572,
35355,626678,3693655,160562
35355,197704,3489510,340334
35355,646901,3044987,
35355,22853,3090980,328290
35355,646901,3253522,335313
35355,248458,3295280,369778
35355,6412,3971626,
35355,959257,2873674,309469
35355,16690,2436640,146177
35355,16690,3201248,
35355,1257119,3533396,412474
35355,396531,2862187,
35355,35355,2904217,
35355,16690,2933230,
35355,35355,3290283,376841
35355,16711,4087897,
35355,1120888,3600655,408353
35355,234513,3179953,
35355,22853,2473956,149862
35355,1409140,3560320,
35355,82581,3013674,334623
35355,646901,3253524,335313
35355,646901,3253523,335313
35355,346237,3982847,460829
35355,334508,3328843,289161
35355,22853,2473955,149862
35355,234513,3243547,368022
35355,22853,2473952,149862
35355,646901,3142919,
35355,1325180,4121800,
35355,988514,3682038,402166
35355,72,4128285,462441
35355,989525,3622500,402081
35355,328394,3264336,373382
35355,396565,3576820,
35355,16690,2808638,
35355,38638,760204,154749
35355,22853,3090992,328290
35355,22853,2473953,149862
35355,774115,709799,156788
35355,1558190,3505319,
35355,35355,3407821,
35355,16690,3245424,410674
35355,74105,686905,46442
35355,35355,3540423,376841
35355,13046,3123010,
35355,243158,2963229,
35355,579351,2960544,
35355,334508,3625163,303800
35355,74105,2846837,46442
35355,1285895,4005320,467424
35355,1285895,4005324,467424
35355,35355,3540401,376841
35355,35355,3540390,376841
35355,22853,3037070,328290
35355,35355,3540387,376841
35355,16690,2171380,
35355,192744,3829716,439553
35355,334508,3279378,
35355,1069179,3822919,
35355,243158,2393952,402721
35355,89568,291708,54665
35355,549227,2821625,378001
35355,1016187,3220583,243173
35355,35355,3540411,376841
35355,32442,2746628,
35355,35355,4087188,443058
35355,243158,2380865,402721
35355,248458,4033103,430893
35355,31861,3007418,333500
35355,234440,3034393,
35355,182312,3746413,465349
35355,35355,3540421,376841
35355,35355,3540408,376841
35355,35355,3540419,376841
35355,1001615,3148906,
35355,38638,2852885,88413
35355,11932,2858883,221052
35355,230721,3247389,
35355,1038275,3990421,
35355,1254513,3444474,379286
35355,243158,2478810,402721
35355,396565,3337816,
35355,654932,3436579,
35355,1045990,3494270,419142
35355,19084,1780374,122741
35355,1338480,3542243,
35355,31860,3707889,
35355,646901,3800542,389981
35355,520363,4182648,
35355,339757,4039072,
35355,243158,3039075,
35355,988514,3472313,
35355,19084,2830067,140882
35355,1187870,3568611,422129
35355,1375749,3520745,402762
35355,15770,3021783,335294
35355,35355,3821139,
35355,654589,4229722,402419
35355,976196,3129745,
35355,566912,3321772,493758
35355,105645,3105129,
35355,16691,2273956,126832
35355,243158,2869510,402721
35355,646901,4020370,
35355,148860,2416516,143839
35355,671323,2876716,
35355,1635995,4087061,478836
35355,15770,3016416,335294
35355,1147553,3514008,422476
35355,11932,3820910,442835
35355,557625,3573358,409262
35355,1050550,3215328,366115
35355,988514,4205920,
35355,1093943,3507905,
35355,35355,3905398,443058
35355,124117,2869496,
35355,14460,3900291,453614
35355,1194,3644541,
35355,396565,4151381,471489
35355,1257119,4047527,412474
35355,74105,2397609,46442
35355,182049,3330163,396888
35355,35355,2979186,328904
35355,1498084,3960735,461895
35355,654932,4289500,
35355,665283,3055207,340138
35355,1257119,3601803,412474
35355,204960,4079074,477827
35355,1237094,4153684,
35355,1713012,3439981,394663
35355,35355,3594937,
35355,35355,3510996,
35355,16690,3819733,442850
35355,1235738,3164563,356428
35355,35355,2976117,328904
35355,334413,3951977,
35355,1066479,4073202,
35355,1306574,3699511,
35355,124117,2918789,
35355,654932,4327319,395433
35355,1105370,3203383,
35355,1105370,3171527,
35355,31860,291542,63691
35355,243158,2906116,
35355,1016187,3734334,431206
35355,35355,3508647,
35355,51170,2166498,127382
35355,1275151,3450277,398345
35355,209139,3786783,484808
35355,35355,3821100,
35355,1258579,3315365,
35355,16690,2459327,
35355,182049,3466101,396888
35355,182049,3466103,396888
35355,396531,3854655,
