producer_id,performer_id,song_id,album_id
23132,4,5803,10768
23132,88,765,8754
23132,88,365956,27316
23132,88,80551,12560
23132,196,2468521,443602
23132,158,83921,15806
23132,1403,52025,3993
23132,1665,664599,122463
23132,88,213197,
23132,88,62989,14167
23132,248458,3295275,369778
23132,56,78860,12283
23132,1665,69085,12243
23132,88,80558,12560
23132,67,56503,13502
23132,88,2293385,129996
23132,30192,166814,142638
23132,88,720,8752
23132,1665,2025369,122463
23132,88,719,8756
23132,88,1907,8754
23132,88,161011,
23132,4,2788,5028
23132,182,59232,11243
23132,88,80550,12560
23132,2197,217110,142638
23132,20065,718416,
23132,438,2379069,138666
23132,88,285937,62316
23132,460,53473,11334
23132,88,40241,
23132,255,2199,5072
23132,248458,2374473,134354
23132,173,83906,16539
23132,88,1337,8754
23132,88,912,8752
23132,1183,76316,15641
23132,88,3668,8756
23132,88,40222,8752
23132,85,4659,9959
23132,88,40220,8752
23132,130,2412876,142638
23132,310,49995,
23132,88,1937,
23132,88,40249,8756
23132,14325,214338,36890
23132,158,239651,31909
23132,88,2296438,129996
23132,13346,622892,115202
23132,2751,6817,95
23132,310,3304657,374606
23132,506,51008,10856
23132,4,1940,5028
23132,939,55739,11922
23132,67,3908,10625
23132,506,54203,10856
23132,67,61455,13502
23132,249529,61551,157019
23132,147,2412878,142638
23132,39892,2392688,138091
23132,460,59148,13697
23132,216609,2381140,138931
23132,78,482,4173
23132,13,357,3519
23132,111,730938,17295
23132,43504,297598,31104
23132,3,19573,3025
23132,3,49491,11240
23132,76,2990505,330878
23132,67,48387,10629
23132,173,85463,20147
23132,88,40268,8756
23132,1183,76313,15641
23132,88,2342848,132593
23132,15829,102951,25460
23132,1665,2317574,337027
23132,23132,2412899,142638
23132,438,63808,11727
23132,402,48528,10659
23132,12051,63356,13975
23132,2751,6819,95
23132,1403,67248,3993
23132,67,89781,10632
23132,148,225812,29333
23132,758,53052,11013
23132,939,62446,11922
23132,396,3453,10388
23132,4612,199686,41331
23132,41510,3601375,370292
23132,196,2905007,305234
23132,85,2412892,142638
23132,21964,135940,334083
23132,288,12220,1236
23132,20456,2824491,159459
23132,471,3128290,351101
23132,782,780129,12319
23132,654,63329,13467
23132,20,21184,3359
23132,551106,3154806,354875
23132,1319,2459070,
23132,358,100089,6014
23132,147,2437234,142638
23132,21702,147490,32517
23132,11441,98065,
23132,25680,2222978,41389
23132,251,58733,13081
23132,88,2827163,142638
23132,23132,2430011,
23132,1355,91283,16476
23132,272,107829,26444
23132,1397,369853,22628
23132,535,105247,18783
23132,23132,2966238,142638
23132,2041,59116,13149
23132,278,2827250,142638
23132,135,1437439,
23132,450,13207,1433
23132,4,559807,
23132,288,12204,1236
23132,183146,439551,
23132,553,71064,16194
23132,2751,1977927,95
23132,2254,224992,
23132,1235,478165,108207
23132,62334,404987,
23132,1632,3717003,429047
23132,1340,707193,112685
23132,484,1789031,116884
23132,484,700722,116884
23132,272,1604084,26444
23132,2615,976207,12689
23132,1819,991227,229229
23132,81,181761,397747
23132,758,204376,11013
23132,988,923433,9160
23132,2506,2935590,289648
23132,1303,291222,
23132,1424,1566704,8780
23132,538,3700215,109782
23132,173,418255,
23132,460,430614,102361
23132,1075,2467150,20982
23132,1408,1338574,5407
23132,1917,77264,13098
23132,117,2288415,15390
23132,5249,1020016,6369
23132,151868,377524,87006
23132,622002,2402495,140078
23132,455,115734,25202
23132,2751,1960398,95
23132,23132,3475314,366387
23132,13555,482579,104159
23132,21420,475063,
23132,5249,1700281,6369
23132,214525,497175,
23132,622002,2403937,140078
23132,327185,2811116,153552
23132,53774,3410276,356006
23132,660616,2459913,149865
23132,1158674,481198,
23132,51586,2131247,116907
23132,10055,3758530,
23132,345156,3064557,341546
23132,574035,2883360,243542
23132,1620556,4062312,475509
23132,1936,2988878,328456
23132,92237,4225915,495547
23132,38884,119555,
23132,1148899,3120134,348102
23315,162126,2939983,336931
23315,980465,2820812,159573
23315,46060,128243,39811
23315,13,3200747,363918
23315,72,2399676,120604
23315,130,703732,119674
23315,2197,559003,113561
23315,13,2933001,247342
23315,158,2489998,148977
23315,72,2412664,120604
23315,568186,2311362,131405
23315,2197,728814,121868
23315,20503,293976,127266
23315,2197,2214974,127543
23315,2197,2311370,131405
23315,20503,349971,
23315,652275,52774,350432
23315,568186,2311369,131405
23315,995189,3101790,347750
23315,1202750,3001218,363918
23315,189848,2475541,243131
23315,2197,2408611,141998
23315,2197,729245,121868
23315,1665,55635,12705
23315,130,2463404,132506
23315,2197,116830,41797
23315,14325,82857,19604
23315,2197,2408590,141998
23315,13,3099469,327023
23315,20185,2290794,491157
23315,1319,2150278,87848
23315,11395,2159541,133170
23315,2197,2214983,127543
23315,989960,3280978,375408
23315,2197,2172089,127543
23315,2197,2214125,127543
23315,32397,702051,106963
23315,32397,3598513,398069
23315,2197,2214150,127543
23315,310,2304247,140822
23315,995189,3355301,347750
23315,49470,2688225,157471
23315,1043518,3386840,338359
23315,2197,728533,121868
23315,49470,2688261,157471
23315,162126,4126338,469601
23315,1043518,3386846,338359
23315,20185,499828,110716
23315,13,156120,31750
23315,2197,110224,26913
23315,1583,1787446,321222
23315,11650,102749,23681
23315,1251946,3299821,384438
23315,2197,2214964,127543
23315,980465,2820849,159573
23315,1663511,2843748,492388
23315,20185,2447082,
23315,1056415,3164219,353638
23315,257,88781,21399
23315,643,108547,25090
23315,2197,2417530,143267
23315,20185,3089195,383945
23315,1110328,3670622,419783
23315,32397,461284,
23315,339543,3439497,
23315,430404,3122882,346573
23315,1056415,3155303,353638
23315,11395,2355201,133170
23315,430404,3073772,
23315,2197,499846,113561
23315,989960,3280967,375408
23315,32397,3646019,
23315,20503,2344329,134201
23315,11353,2670500,156166
23315,1665,68643,343625
23315,88,76143,18084
23315,2197,2999463,332229
23315,21894,3209003,342116
23315,2197,2417554,143267
23315,216609,2291110,
23315,2197,2175747,127543
23315,2197,556490,113561
23315,1319,213969,26969
23315,1319,2408405,141986
23315,1319,1780118,87848
23315,2197,2214929,127543
23315,32397,3210001,350368
23315,2197,2418197,143267
23315,2197,2989253,330482
23315,639521,3170350,342891
23315,289976,3053425,335135
23315,492,87217,20819
23315,2197,2989262,330482
23315,1319,73629,14135
23315,20185,691606,345439
23315,13,3054046,
23315,430404,3147525,346573
23315,2197,2989250,330482
23315,430404,4155495,477314
23315,2197,2999441,332229
23315,13,150405,31750
23315,15792,3119662,349761
23315,20185,691607,345439
23315,158,3117588,330126
23315,2197,2913390,330482
23315,2197,2214968,127543
23315,289976,3053419,335135
23315,430404,3147476,346573
23315,2197,2989258,330482
23315,2197,2989269,330482
23315,18047,3031397,345465
23315,981801,53209,11624
23315,33238,2102593,
23315,396,56513,
23315,2197,2408568,141998
23315,2197,728784,121868
23315,989960,3280969,375408
23315,33010,4061285,475009
23315,20503,3647086,419349
23315,1537529,3137998,398069
23315,162126,398107,153556
23315,1537529,3740393,398069
23315,2197,730926,121868
23315,32397,2318725,106963
23315,72,2415045,120604
23315,2197,1914390,
23315,980465,3296801,377760
23315,20503,395225,
23315,14325,58515,12998
23315,2197,2996544,
23315,2197,2417517,143267
23315,2197,729260,121868
23315,3261,2839505,161990
23315,2197,728821,121868
23315,1537529,3849567,398069
23315,2197,558134,113561
23315,41226,2551992,157506
23315,16808,137343,461763
23315,41226,2396178,140482
23315,14325,2433242,144167
23315,1537529,3849576,398069
23315,2197,2417489,143267
23315,568186,3558196,
23315,20503,2344322,134201
23315,1537529,3849572,398069
23315,2197,2989279,330482
23315,21964,2870922,
23315,257,5256,10386
23315,2197,407664,41797
23315,2197,560152,113561
23315,485223,2102595,
23315,33010,4061278,475009
23315,462535,2851345,313612
23315,13,63908,335091
23315,16808,2370563,134908
23315,12798,2908684,295414
23315,21964,3916287,367434
23315,20503,2308072,126701
23315,2197,4230714,493501
23315,25005,2329304,133026
23315,13,3361989,386570
23315,72,2421969,141376
23315,2197,2943610,
23315,569922,3321744,
23315,2197,4203931,493501
23315,2197,2989277,330482
23315,49470,2688269,157471
23315,1537529,3849569,398069
23315,554,2388149,133981
23315,257,150957,33476
23315,1537529,3849568,398069
23315,4,748608,
23315,257,67105,10386
23315,678128,2486728,154591
23315,162126,3144818,
23315,32397,3524023,397191
23315,14545,128202,
