producer_id|performer_id|song_id|album_id
27438|72|1207|4343
27438|130|176774|
27438|69|1287|10995
27438|365|133475|30215
27438|2|174|4058
27438|123|2270734|128418
27438|2|907|4058
27438|2|3220|4058
27438|88|3019828|304312
27438|88|365964|27316
27438|3|3934|11240
27438|2598|190198|6376
27438|83|75260|
27438|1183|70131|15641
27438|88|40241|
27438|2|24439|4066
27438|149|34997|7073
27438|88|3019847|304312
27438|88|3019843|304312
27438|2|5808|4066
27438|793|1579|5144
27438|21188|77030|19933
27438|643|112956|25090
27438|951|63556|23973
27438|88|40214|8752
27438|42|4891|10828
27438|365|215359|30215
27438|1995|3176473|
27438|230|128436|24843
27438|507|22015|3535
27438|1263|156967|34165
27438|149|34992|7073
27438|397|657707|
27438|951|133594|
27438|119|2876266|
27438|2913|33993|6836
27438|714|31263|17847
27438|250|20325|3188
27438|310|82984|12577
27438|471|3128188|351101
27438|184|2938817|442361
27438|73|74951|12707
27438|149|35010|7073
27438|2913|33997|7135
27438|88|40258|8756
27438|66863|340457|42883
27438|122|37814|7717
27438|3840|28511|4978
27438|119|9339|652
27438|179|23664|3879
27438|170|27220|4694
27438|230|13041|1396
27438|1195192|7278|198
27438|507|22023|3535
27438|338263|2981409|305264
27438|119|9300|642
27438|2663|218907|45025
27438|93|76091|6190
27438|119|9337|652
27438|847|26668|4580
27438|2598|843475|6376
27438|250|39318|8445
27438|170|27221|4694
27438|338|85720|20453
27438|233|3075244|
27438|195|31158|5602
27438|291|48178|10576
27438|190|34641|6972
27438|2049|445462|
27438|34|60139|164820
27438|1955|115676|
27438|2049|444775|
27438|149|204671|7073
27438|42|210702|10828
27438|1060|46780|10261
27438|471|54780|8846
27438|83|599982|
27438|782|1753432|18761
27438|291|48184|10576
27438|81|8682|524
27438|26537|140949|42948
27438|250|20337|3188
27438|57818|38179|7798
27438|848|29126|5102
27438|1595|92133|12678
27438|33090|282773|
27438|2555|27116|4664
27438|2316|71873|11457
27438|83|19706|3050
27438|567|24634|4126
27438|745|27839|4847
27438|793|29358|5144
27438|3840|28517|4978
27438|782|1451428|18761
27438|230|767338|24843
27438|3955|11390|1091
27438|41402|128273|
27438|458|19334|2979
27438|939|296122|
27438|250|1352008|3185
27438|2663|4174315|490160
27438|2001|1834129|33020
27438|397|29805|5270
27438|2001|32152|33020
27438|2439|767036|6394
27438|26364|152091|33828
27438|793|29366|5144
27438|793|29357|5144
27438|1014|8843|542
27438|12939|3190966|362418
27438|2439|720161|108570
27438|250|140554|3185
27438|117746|2415771|142138
27438|1602614|102535|24377
27438|397|29810|5270
27438|2001|897238|33020
27438|557404|555194|113298
27438|118421|315144|108020
27438|118421|566199|108020
27438|1195192|7268|198
27438|793|29368|37848
27438|66863|709113|
27438|1396598|393505|83982
27438|997099|3057976|
27438|1195192|1939568|198
27438|682|795349|6080
27438|351501|3112546|
27438|582394|2336695|
27438|1023012|2483162|287216
27438|298982|2868815|220647
27438|13093|3260996|
27438|281744|3315755|383199
27438|1196099|3572126|409067
27259|130|3315890|420582
27259|20185|2849767|151943
27259|42|2136824|120983
27259|1421|2433534|145606
27259|20185|2849757|151943
27259|1421|3047145|337082
27259|11353|2472238|156166
27259|11353|2817199|156166
27259|1421|2433517|145606
27259|1357230|3487555|363114
27259|1319|155312|35256
27259|1403|2284250|128774
27259|639521|3073353|342891
27259|44080|2948958|168545
27259|130|2463404|132506
27259|19139|377232|84044
27259|20185|3876998|152654
27259|67|466082|107271
27259|92|601822|97218
27259|310|61625|15448
27259|1043518|3386853|338359
27259|11353|2670513|156166
27259|11353|2670499|156166
27259|1319|228995|26969
27259|1319|2150310|87848
27259|310|5235|11206
27259|820|3752062|
27259|21894|2892580|160640
27259|4|213049|41879
27259|430404|4155511|477314
27259|47131|603811|115982
27259|310|66579|15448
27259|264368|716538|
27259|25005|2302278|115038
27259|310|68234|15448
27259|1154389|3235342|369298
27259|44080|3468937|369295
27259|633|69888|11413
27259|1319|360630|400610
27259|1237094|3737578|431492
27259|820|3835472|433528
27259|396|104761|25429
27259|310|1427|11206
27259|1319|229569|26969
27259|1183|76204|15641
27259|103654|2854615|158716
27259|310|68244|15448
27259|432|89844|20544
27259|1421|3477888|
27259|633|50990|11413
27259|14157|3639|18858
