producer_id,performer_id,song_id,album_id
2260,56,89,7013
2260,22,51,7216
2260,72,171407,34024
2260,45,57098,
2260,18047,645115,108640
2260,22,263,7216
2260,130,3807749,420582
2260,72,2170,4345
2260,643,139286,22349
2260,2,14,4063
2260,56,704,7013
2260,56,498,7011
2260,156,442,6771
2260,56,730,7013
2260,18047,107655,34784
2260,158,83921,15806
2260,220,980,3398
2260,22,1183,7218
2260,2,199,4071
2260,220,4527,3398
2260,192,4651,6766
2260,56,953,7040
2260,72,25772,
2260,220,448,3386
2260,2,24460,4071
2260,72,1522,
2260,123,2270753,128418
2260,2,276,4063
2260,220,305,3398
2260,7922,62533,12430
2260,5733,29383,5147
2260,220,21325,3389
2260,2,273,4063
2260,126,38629,7896
2260,220,449,3389
2260,156,177,
2260,56,1066,7011
2260,173,566555,114275
2260,220,1738,3398
2260,1022,55232,12144
2260,7922,73320,16360
2260,1269,4034,4635
2260,16635,96415,
2260,25496,88190,21883
2260,22,35620,7211
2260,239255,577103,113503
2260,56,3150,7029
2260,239255,2153474,113503
2260,42,2309339,120983
2260,223,4617,1697
2260,305,24345,4043
2260,81,8732,517
2260,126,648,7888
2260,2,2370,4102
2260,239255,573453,113503
2260,72,50186,
2260,471,642,328457
2260,103,82391,756
2260,239255,600782,113503
2260,81,2762,506
2260,8346,57106,5982
2260,56,246265,7013
2260,861,1705,361179
2260,210,15809,2026
2260,220,21377,3398
2260,42,54095,9859
2260,239255,539443,113503
2260,103,9832,756
2260,2,338,
2260,2270,83458,6311
2260,239255,600717,113503
2260,1281,2270950,337027
2260,8346,31961,5985
2260,239255,600818,113503
2260,220,21380,3398
2260,319,93085,18548
2260,6309,21826,3498
2260,220,2190,3398
2260,11571,148403,
2260,22606,684148,127657
2260,466,57608,12077
2260,202,4181,821
2260,220,495,3401
2260,2525,2414869,141904
2260,305,3786,4043
2260,220,21383,3398
2260,220,21421,3401
2260,416,16441,2176
2260,220,54033,3398
2260,239255,600948,113503
2260,680,1460,329418
2260,103,9831,756
2260,239255,519294,113503
2260,2,2100,4071
2260,220,21332,3389
2260,6309,21833,3498
2260,220,21314,3386
2260,21510,78107,313328
2260,56,34820,7015
2260,305,24361,4045
2260,220,21423,38300
2260,396,2925785,335851
2260,103,353,756
2260,11346,79994,20258
2260,239255,600881,113503
2260,23982,2425909,144438
2260,220,21296,3385
2260,22,2054,7214
2260,239255,2388699,113503
2260,198,2575,
2260,2260,3301021,
2260,239255,2388816,126819
2260,2,24538,4100
2260,130,2916564,128797
2260,233,45119,9883
2260,305,436,4045
2260,1211,204744,42414
2260,7922,97279,
2260,220,21384,3398
2260,471,50784,10887
2260,450,806,1433
2260,220,21393,3398
2260,220,21385,3398
2260,8346,380729,5982
2260,768,392140,391221
2260,471,3567905,430156
2260,1269,26926,4630
2260,1173,14295,1656
2260,239255,2446841,397700
2260,223,3954,1678
2260,239255,2376866,113503
2260,220,21316,3409
2260,2588,238751,
2260,5264,56437,7922
2260,239255,3476970,397700
2260,5144,124193,29273
2260,220,21299,3385
2260,444,7582,268
2260,132097,3269752,380134
2260,3442,9725,732
2260,1809,4766,14857
2260,305,24342,4043
2260,240958,541785,113600
2260,21457,105380,
2260,471,40674,8853
2260,220,3592,3401
2260,173,138970,339810
2260,126,38624,7896
2260,362,32750,19545
2260,239255,2388084,113503
2260,36059,479366,108292
2260,444,7581,268
2260,1083479,2997775,
2260,72,25787,111578
2260,220,21390,3398
2260,1183,55201,11452
2260,220,6231,3398
2260,220,21312,3385
2260,132097,56760,
2260,239255,3563261,397700
2260,239255,3520440,397700
2260,305,24346,4043
2260,1269,26928,4630
2260,1780,6044,3825
2260,432,50648,10877
2260,220,21447,3409
2260,88,2384072,132593
2260,239255,3523679,397700
2260,1281,133698,11047
2260,6816,35470,7176
2260,1091,452652,109430
2260,1066210,2867576,328114
2260,7922,431279,
2260,220,21387,3398
2260,305,24365,4043
2260,220,21414,3401
2260,847,26654,4579
2260,9347,37237,7581
2260,45,232922,
2260,2,2336984,4063
2260,220,21392,3398
2260,3884,134449,
2260,1451,81627,8614
2260,46,43031,9350
2260,305,24358,4045
2260,7856,141467,45725
2260,2992,35807,7258
2260,34,24026,3972
2260,220,21427,3401
2260,225,16300,2146
2260,220,21302,3385
2260,1269,26920,4630
2260,1809,4124,8717
2260,471,1567,8867
2260,220,21382,3398
2260,220,21452,3409
2260,220,21433,
2260,46,43024,9350
2260,126,38575,7888
2260,306,60981,
2260,32,35936,7285
2260,1072,507743,15988
2260,617,5443,931
2260,220,21337,3389
2260,56,246861,7040
2260,239255,3523649,397700
2260,432,2436675,142487
2260,305,24350,4043
2260,5254,16931,2311
2260,220,21391,3398
2260,239255,3523643,397700
2260,220,21339,3389
2260,251,33544,6720
2260,1269,6325,4635
2260,471,5331,8867
2260,305,24347,4043
2260,220,21304,3385
2260,396565,3812802,
2260,438,149903,1550
2260,62632,304560,65664
2260,220,21386,3398
2260,220,21389,3398
2260,1281,396517,
