producer_id|performer_id|song_id|album_id
33699|1421|3047140|337082
33699|16751|2472236|150853
33699|14577|682507|125539
33699|34513|1926559|122873
33699|33699|2452034|148586
33699|33699|2467600|148586
33699|160041|2448865|
33699|33699|2467594|148586
33699|160041|723729|119239
33699|26793|3425329|394881
33699|34513|2254487|122873
33699|64930|3017488|335698
33699|33699|691520|148586
33699|58017|2399066|139522
33699|208656|2290160|132540
33699|64930|2845003|
33699|64930|459387|90837
33699|34513|2845709|140696
33699|33699|2467595|148586
33699|18814|492216|
33699|32626|3020862|341712
33699|26793|2376192|465701
33699|1001405|3082026|344175
33699|939|3016392|334545
33699|140332|3107348|346812
33699|34513|4013347|468895
33699|33699|2467602|148586
33699|33699|544258|148586
33699|64930|3033291|335698
33699|34513|2845712|140696
33699|14186|2444522|143057
33699|16751|3087814|
33699|33699|2467597|148586
33699|33699|2468321|148586
33699|33699|371699|219472
33699|41479|1743415|122892
33699|33699|2467603|148586
33699|34513|2314446|
33699|34513|2448220|
33699|58017|2407701|139522
33699|14022|3085547|344693
33699|64930|212418|
33699|8576|3259290|
33699|58017|2407436|139522
33699|34513|521808|
33699|388|3282001|371297
33699|939|2379518|134183
33699|148860|2853587|
33699|34513|2934181|
33699|26577|2292731|130591
33699|11242|3017474|387958
33699|41479|745882|122892
33699|33699|2467591|148586
33699|34513|4035986|468895
33699|26248|3567507|406286
33699|34513|3923171|
33699|30181|2414133|139616
33699|635395|2447720|
33699|33699|2467592|148586
33699|1031514|2904549|
33699|64930|3033293|335698
33699|33699|2467598|148586
33699|680|3236983|368896
33699|33699|2467596|148586
33699|14022|3085556|344693
33699|140332|2831735|162186
33699|358|3039313|229557
33699|33699|4124059|484330
33699|33699|2864033|
33699|1653648|4124043|484330
33699|33920|2867191|304291
33699|33699|2473780|148586
33699|939|734895|
33699|33494|2936011|321250
33699|89|2483379|386213
33699|14022|3085558|344693
33699|26577|2948404|130591
33699|32626|2490086|152694
33699|18192|3210446|364848
33699|33699|2871165|
33699|242414|3048591|
33699|18192|2387328|138889
33699|65729|3194204|
33699|18192|2388177|138889
33699|1020285|3615570|463408
33699|1020285|3122460|345272
33699|635395|2452107|
33699|65396|2962034|
33699|33699|2467599|148586
33699|14022|3085555|344693
33699|26577|2913492|130591
33699|20192|218101|39646
33699|13330|2999074|391319
33699|41645|543178|113639
33699|16503|264344|55698
33699|104211|287180|62646
33699|26248|3567509|406286
33699|14022|3085560|344693
33699|242414|3493736|
33699|33699|1957176|387838
33699|335909|3865935|448942
33699|242414|3134854|
33699|26248|3567504|406286
33699|26248|3567603|406286
33699|680|2841731|164441
33699|992512|2986747|
33699|52318|3003614|
33699|26248|3567597|406286
33699|362|2952927|
33699|1020285|3089110|345272
33699|639678|3903966|
33699|81381|3956490|461292
33699|14186|3539698|400294
33699|1172|3839200|444885
33699|8371|2880151|
33699|388|2285904|129134
33699|251|683516|79671
33699|26248|3567506|406286
33699|33920|2883619|
33699|25131|804389|242886
33699|736|4061273|477775
33699|26577|485896|
33699|44794|2333943|145347
33699|33699|3393159|389585
33699|16503|2394115|140062
33699|73239|3649936|419835
33699|33699|4124062|484330
33699|22499|3237756|326195
33699|195029|4170831|489970
33699|2122|3377100|387958
33699|27957|122845|
33699|64930|2475520|
33699|33699|2951770|
33699|1020285|3950738|463408
33699|909|3377138|387958
33699|65396|3258272|337849
33699|208656|2384130|
33699|242414|3905684|
33699|505149|2921970|
33699|1653652|4133491|
33699|1422|2942650|387958
33699|340690|3265962|
33699|140503|358372|
33699|392203|3284636|375959
33699|1117053|3116250|
33699|335818|3289656|373434
33699|35439|110610|27051
33699|187600|557527|105759
33699|33699|3298145|148586
33699|45861|139573|219472
33699|242414|3439312|
33699|664145|2925774|
33699|2439|3377126|387958
33699|33699|3375563|387838
33699|386489|3016945|
33699|152740|2496295|
33699|104211|2436583|62646
33699|1446636|3649939|419835
33699|83674|698312|
33699|138007|2846736|
33699|335818|723543|
33699|33699|3375552|219472
33699|622139|589463|140114
33699|33698|2889128|229784
33699|104211|3113692|
33699|183188|2478723|153470
33699|33920|2968114|
33699|44794|4058684|475076
33699|144165|364834|83412
33699|33699|3393152|389585
33699|1020285|3125506|345272
33699|650084|2440367|
33699|1142595|3324877|377985
33699|1385259|3527198|403403
33699|77530|3198739|223106
33699|498|3377183|387958
33699|33699|3377031|387952
33699|73239|4084287|489300
33699|33699|4126063|484330
33699|33699|3375553|219472
33699|33699|3393439|389585
33699|386489|1372679|
33699|1015416|2880376|242908
33699|33699|3393113|389585
33699|33699|3375555|219472
33699|1015416|2880377|242908
33699|1015416|2880381|242908
33699|33699|3375559|219472
33699|13945|3375568|387838
33699|183188|2476085|153470
33699|1120683|3742621|427468
33699|257136|568875|114605
33699|33699|4126064|484330
33699|43108|656977|117279
33699|1015416|2880378|242908
33699|1015416|2880379|242908
33699|979870|3535062|404241
33699|33699|3375558|219472
33699|67315|208739|
33699|19305|2880281|220465
33699|52146|155895|34618
33699|38325|3922664|456646
33699|78446|3174666|359277
33699|660075|4057925|
33699|558077|2408769|
33699|53550|3087916|344757
33699|1071035|3547270|405803
33699|179377|426812|101493
33699|660075|2482235|
33699|228582|3727945|433571
33699|641706|2652662|153513
33699|33699|3375557|219472
33699|153933|381420|
33699|24214|106808|
33699|41645|3029725|33071
33699|621980|2393239|
33699|1549193|3888784|451964
33699|43108|656976|117279
33699|24214|106806|
33699|35439|313828|53329
33699|1001487|2857396|220700
33699|243998|2267658|
33699|651401|2442494|
33699|300517|2279392|
33699|1015416|2880384|242908
33699|25199|2304675|123842
33699|1064995|3261398|
33699|33699|4237941|
33699|1183358|3173002|114110
33699|33699|3908953|389585
33699|24214|106795|
33699|24214|106811|
33699|617572|2387194|
36198|674430|3047869|
36198|1745|530222|112997
36198|16808|673444|
36198|1055462|2949473|324160
36198|44080|3656260|
36198|24823|458203|
36198|20503|2377868|
36198|979243|3532043|
36198|66722|2884182|
36198|111|93837|22897
36198|21982|3538598|
36198|20742|2329787|
36198|4168|112410|27314
36198|1486|3718093|429199
36198|36198|192368|
36198|1064438|3559640|407406
36198|183748|2838872|
36198|17560|3119155|349679
36198|1172524|3458676|398022
36198|288057|692475|116561
36198|594930|3149612|333092
36198|1064438|3561966|407406
36198|1064438|2969389|327420
36198|29745|3609253|414217
36198|1461737|3687226|424866
36198|1064438|3561880|407406
36198|36198|3984295|465177
36198|36198|3997125|
36198|1064438|3781611|437456
36198|36198|4077668|
36198|754562|3852482|447060
36198|36198|4067774|
36198|1553338|4016430|462276
1439530|1439530|3655549|392598
1439530|1439530|3655542|392598
1439530|1439530|3655551|392598
1439530|1439530|3632243|392598
1439530|1439530|3655550|392598
1439530|1439530|3655548|392598
1439530|1439530|4075787|479468
1439530|1439530|3655547|392598
1439530|1439530|3655545|392598
1439530|1439530|4091482|479468
1439530|1439530|3655553|392598
1439530|1439530|3655544|392598
1439530|1439530|3655555|392598
1439530|1439530|3655543|392598
1439530|1439530|3655546|392598
1439530|1439530|3655554|392598
1439530|1439530|3655552|392598
1439530|1439530|3984455|
1439530|1439530|4091479|479468
1439530|1439530|4091481|479468
1439530|1439530|4091480|479468
698|438|1414|19231
698|438|1406|19231
698|438|79425|13881
698|438|49040|19231
698|438|53667|11727
698|438|5306|11201
698|438|55329|11201
698|438|51603|11727
698|438|79406|13881
698|438|49222|19231
698|745|50970|18027
698|9248|3595|30107
698|438|55994|19231
698|438|5401|11201
698|322517|49984|1552
698|350633|49071|181410
698|357|80787|15289
698|438|5130|19231
698|759|5917|6086
698|438|74768|1552
698|339|3245790|
698|438|80345|13881
698|438|53932|11727
698|438|76519|
698|322517|101987|1552
698|438|57217|
698|322517|64995|1552
698|698|132129|29024
698|438|58779|12631
698|1546|50587|7151
698|438|2016244|12631
698|438|78760|11727
698|438|69009|12631
698|438|57266|11727
698|438|53708|11727
698|698|255872|44919
698|698|68984|15662
698|13|105377|20357
698|40970|184359|165680
698|322517|65000|1552
698|1190|2445008|146796
698|698|49150|11141
698|41330|2477075|332811
698|438|62387|11727
698|285745|82411|19514
698|438|3533486|404149
698|438|3533586|404149
698|438|65857|11201
698|438|397325|12631
698|438|63159|
698|438|57032|12631
698|698|2136400|
698|698|51449|11141
698|1057|1273371|16866
698|438|513533|13881
698|438|2136445|11727
698|322517|344547|1552
698|698|180669|37787
698|438|368326|
698|438|342163|11727
698|438|455391|11201
698|736|51501|11163
698|698|121571|29024
698|438|419358|11201
698|698|132114|29024
698|698|567341|
698|698|65936|
698|339|3647448|419484
698|698|127856|29024
698|9477|444495|267685
698|438|3533506|404149
698|151729|3017948|
698|438|3533527|404149
698|698|304934|11141
698|698|2504669|
698|698|408825|96030
698|698|2056768|96030
698|698|2042214|
698|35639|197925|
698|698|745577|
698|698|1848650|
698|19233|2045475|325792
698|698|134389|
698|698|3004944|
698|9477|2952288|148049
698|438|2016240|12631
698|1057|1412751|16866
698|8545|2297813|130286
698|14650|735918|112603
698|698|304910|29024
698|438|3005933|
698|37289|2167144|127165
698|1057|1842277|16866
698|1066210|3025990|328114
698|698|62670|14102
698|698|1846944|29024
698|698|1846289|
698|698|2462166|
698|1631|3100825|
698|698|181421|
698|698|181420|
698|698|2296327|11141
698|25889|3712758|428470
698|698|2797812|
698|698|2829107|
698|37233|2325979|
698|698|304901|
698|698|2829037|
698|1146369|3103828|
698|698|3100817|
698|698|2771112|
698|698|2771117|
698|698|2797818|
698|698|522747|11141
698|698|2797859|
698|9477|2952301|148049
698|698|2818248|
698|12387|1251589|385396
698|67936|210278|
698|698|393577|
698|698|2797827|
698|698|3007098|37263
698|698|2797866|
698|698|2828300|
698|698|2852015|
698|698|62929|
698|698|2172206|
698|698|2797872|
698|698|2852675|
698|698|2832834|
698|12164|2472217|22737
698|698|2852014|
698|698|2832970|
698|698|3541358|
698|698|1780857|
698|9477|2458541|148049
698|698|2852001|
698|698|2592997|
698|698|2836964|
698|1496250|3772645|
698|698|2831677|
698|698|2880412|242913
698|698|2851962|
698|698|2771107|
698|698|3100819|
698|698|2771127|
698|698|2465499|
698|698|2082721|
698|330649|2911819|303843
698|736|3985044|
698|988236|3074576|
698|698|2771137|
698|504390|2472218|
7570|162|190|8966
7570|820|4759|11886
7570|1022|56704|12144
7570|14148|2910138|302231
7570|14148|3236424|366368
7570|14148|2909282|302231
7570|14148|83944|19521
7570|14148|3236376|366368
7570|367|30536|5445
7570|820|57169|
7570|1130|28810|5050
7570|388|2323745|132580
7570|14148|3236380|366368
7570|1022|3322903|381594
7570|820|55379|12181
7570|14148|61077|13671
7570|1130|28816|5050
7570|176|3755241|433913
7570|14148|524662|112316
7570|14148|2905665|302231
7570|5980|20108|3146
7570|14148|2910234|302231
7570|1021|57547|12107
7570|1022|19430|3001
7570|388|287997|52401
7570|14148|83941|19521
7570|162|41187|8964
7570|1130|28885|5057
7570|14148|205913|31943
7570|1022|2131|3000
7570|3961|22444|3614
7570|14148|4046066|473107
7570|221|72730|148964
7570|388|2347549|132580
7570|221|5959|4012
7570|162|101282|21155
7570|1381491|3512013|401568
7570|5980|20111|3146
7570|162|41192|8964
7570|1117382|3058072|339648
7570|1130|28808|5050
7570|15635|274935|59053
7570|162|41194|8964
7570|1381491|3512014|401568
7570|162|41217|8966
7570|388|2336964|132580
7570|2194|65831|13229
7570|14148|205917|31943
7570|1130|28850|5053
7570|1130|5661|5050
7570|1381491|3512018|401568
7570|1130|28812|5050
7570|1022|19419|3000
7570|388|2370250|132580
7570|1381491|3512021|401568
7570|14148|3255099|366368
7570|388|44494|9727
7570|14148|87103|19521
7570|388|346251|80292
7570|1130|28768|5042
7570|14148|83948|19521
7570|1381491|3512022|401568
7570|1381491|3512017|401568
7570|15635|2286919|129399
7570|1381491|3512016|401568
7570|13555|3342420|383234
7570|14148|422436|
7570|1381491|3512020|401568
7570|1381491|3512015|401568
7570|1381491|3512008|401568
7570|1381491|3512019|401568
7570|70443|349927|
7570|388|2353252|132580
7570|645935|3293280|377238
7570|3961|22425|3614
7570|388|2350845|132580
7570|1617576|4046047|473107
7570|388|2317374|132580
7570|388|2368562|132580
7570|14148|140898|31943
7570|1130|28823|5050
7570|2902|9927|776
7570|14148|532871|112316
7570|1130|28841|5053
7570|14148|205918|31943
7570|51011|359272|108958
7570|1892|212314|4794
7570|605|34440|6934
7570|1617550|4046043|473107
7570|1130|28847|5053
7570|5980|20109|3146
