performer_id,performer_name,performer_img_url
459,Robin Thicke,https://images.genius.com/8da4bca82ee0b134b40480f87921716a.400x400x1.jpg
13585,Daft Punk,https://images.genius.com/a508888fd6a96cadcf835ecf95b1c1ae.1000x1000x1.jpg
609667,Camila Cabello,https://images.genius.com/09f01944ab4a4b2c64211c09ceee8bf0.400x400x1.jpg
1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg
2069,Calvin Harris,https://images.genius.com/bfab849da6a5a47fc8cc31a7f3f7fe4c.722x722x1.jpg
1408735,THE CARTERS,https://images.genius.com/9e017c01e5739d478251525459ec1035.400x400x1.jpg
110,Pharrell Williams,https://images.genius.com/aa964e94a21e7b893801ed3a2bd389b8.1000x1000x1.jpg
85,T.I.,https://images.genius.com/68262ccdcbffb87427d31b0d6085c2e3.400x400x1.jpg
685,Tyler, The Creator,https://images.genius.com/e6a6e6183c7a5a6de8316be42a2b63ee.1000x1000x1.jpg
1254058,N.E.R.D & Rihanna,https://images.genius.com/f4ad5ee0cfb044f26ba35da4c72f4904.667x667x1.jpg
44080,Migos,https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg
652275,JAY-Z & Kanye West,https://images.genius.com/95670c035dd4dcfbe539f6d83f0fb020.768x768x1.jpg
1985,Frank Ocean,https://images.genius.com/78a9a1403027e5778b473c71204b1ac0.728x728x1.jpg
2,JAY-Z,https://images.genius.com/bf0f68ee56f29c8542ad805c6419682b.676x676x1.jpg
26507,Ariana Grande,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg
72,Kanye West,https://images.genius.com/3a5e35c68e9ed7bf9a2a63bfa51b261e.675x675x1.jpg
498,Beyoncé,https://images.genius.com/831f3296553e9e82930daeb16ae68d3c.750x750x1.jpg
26507,Ariana Grande,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg
2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg
