performer_id|performer_name|performer_img_url
320|R.A. The Rugged Man|https://images.genius.com/8fff7f98b3275b4fa6a6a43f01159e31.899x899x1.jpg
684|Pharoahe Monch|https://images.genius.com/4c25d91d2559c6f7b2476ec5c1c16437.384x384x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
394461|Mundo Segundo & Sam the Kid|https://images.genius.com/7c7b263690ff109bba4294c5796b4638.590x590x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
684|Pharoahe Monch|https://images.genius.com/4c25d91d2559c6f7b2476ec5c1c16437.384x384x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
1021|Phonte|https://s3.amazonaws.com/rapgenius/phonte.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
684|Pharoahe Monch|https://images.genius.com/4c25d91d2559c6f7b2476ec5c1c16437.384x384x1.jpg
684|Pharoahe Monch|https://images.genius.com/4c25d91d2559c6f7b2476ec5c1c16437.384x384x1.jpg
319|Vinnie Paz|https://images.genius.com/76e7ec281e4b7d297edf6b9a4d230233.600x600x1.jpg
1117382|Styles P & Talib Kweli|https://images.genius.com/6ca216235a43b304c8f8533bdd604426.462x462x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
5144|Demigodz|https://images.genius.com/7b471b7ebf793493cb1e3982b61ea306.500x333x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
189044|Your Old Droog|https://images.genius.com/56c9da49c415957b18820130ae9890d4.300x300x1.jpg
11346|La Coka Nostra|https://images.genius.com/611b588213a56fdd41e2f6e7239cc671.865x752x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
388|Talib Kweli|https://s3.amazonaws.com/rapgenius/talib-pic.png
162|Sean Price|https://s3.amazonaws.com/rapgenius/SeanPrice2.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
319|Vinnie Paz|https://images.genius.com/76e7ec281e4b7d297edf6b9a4d230233.600x600x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
12266|Snak The Ripper|https://images.genius.com/c7ef2336cfd1f8ec88a111679789f08a.769x769x1.jpg
12266|Snak The Ripper|https://images.genius.com/c7ef2336cfd1f8ec88a111679789f08a.769x769x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
48878|Mistaman|https://images.genius.com/abd5206ce915c105d021df80ed9fa2fa.873x873x1.jpg
367|Masta Ace|https://images.genius.com/7136dfec1e03cbcb285e610ca3c6e6a9.334x334x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
189044|Your Old Droog|https://images.genius.com/56c9da49c415957b18820130ae9890d4.300x300x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
44785|Kiave|https://images.genius.com/24ed21f2548f72b35b39967d34ebef85.682x682x1.jpg
3961|Heltah Skeltah|https://s3.amazonaws.com/rapgenius/heltah.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
189044|Your Old Droog|https://images.genius.com/56c9da49c415957b18820130ae9890d4.300x300x1.jpg
44785|Kiave|https://images.genius.com/24ed21f2548f72b35b39967d34ebef85.682x682x1.jpg
367|Masta Ace|https://images.genius.com/7136dfec1e03cbcb285e610ca3c6e6a9.334x334x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
2794|4th Pyramid|https://images.genius.com/c4d8e4374f0ea1348056bd80bc71c7db.480x320x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
2051|Braille|https://images.genius.com/0727e032a1db7eb34f11f50570263796.869x869x1.jpg
8065|MHz Legacy|https://images.genius.com/013b6dd27ebf46956522b0fd66f8bc50.304x304x1.jpg
3955|Boot Camp Clik|https://images.genius.com/0d39144d7fcfad1bebb007ecae6c6256.500x332x1.jpg
984923|Marco Polo, Bassi Maestro & Ghemon|https://images.genius.com/de59358b120f630640b2c12439b18256.737x737x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
594276|KRS-ONE & Buckshot|https://images.genius.com/1af6a9db122bbe938dc5ee3e72de3ab9.550x450x1.jpg
5317|Supastition|https://images.genius.com/1ae4j3fc41jmqt7ihwg2maq0c.400x266x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
3955|Boot Camp Clik|https://images.genius.com/0d39144d7fcfad1bebb007ecae6c6256.500x332x1.jpg
133188|A-F-R-O|https://images.genius.com/b1ea4bb9e1ad3dbe21ddda74c004c69f.1000x1000x1.jpg
3955|Boot Camp Clik|https://images.genius.com/0d39144d7fcfad1bebb007ecae6c6256.500x332x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
451539|Westside Gunn|https://images.genius.com/f18da02d43b7cb0b35392ac21e3952e6.720x720x1.jpg
3888|Pumpkinhead|https://images.genius.com/e289a74d46e46bc5c5015964f44b5c9d.500x285x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
996145|Marlon Craft|https://images.genius.com/a33d9f3e493719ea959df9aa39b044bc.651x651x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
3888|Pumpkinhead|https://images.genius.com/e289a74d46e46bc5c5015964f44b5c9d.500x285x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
542|Ruste Juxx|https://images.genius.com/0bc8c2e97f33b31b078cfcc594b83295.1000x563x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
3888|Pumpkinhead|https://images.genius.com/e289a74d46e46bc5c5015964f44b5c9d.500x285x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
44785|Kiave|https://images.genius.com/24ed21f2548f72b35b39967d34ebef85.682x682x1.jpg
3888|Pumpkinhead|https://images.genius.com/e289a74d46e46bc5c5015964f44b5c9d.500x285x1.jpg
984923|Marco Polo, Bassi Maestro & Ghemon|https://images.genius.com/de59358b120f630640b2c12439b18256.737x737x1.jpg
1595776|Masta Ace & Marco Polo|https://images.genius.com/41cccb01f00134c69ed6e8172a6f99ab.216x216x1.jpg
3888|Pumpkinhead|https://images.genius.com/e289a74d46e46bc5c5015964f44b5c9d.500x285x1.jpg
7856|Marco Polo|https://s3.amazonaws.com/rapgenius/up-marco_polo.jpg
124146|O.S.T.R & Marco Polo|https://images.genius.com/e338063cf2538521634783d7b5b5e003.435x300x1.jpg
