song_id,song_title,album_id,album_title,cover_art_url,performer_id,performer_name,performer_img_url,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url,producer_id
559003,Fuck Up Some Commas,113561,Monster,https://images.genius.com/adc81ddb71fc3b8fc301fb13d3cb2324.500x500x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2014-03-02,2014,3,2,https://genius.com/songs/559003/apple_music_player,27511
658724,Flex (Ooh, Ooh, Ooh),123757,If You Ever Think I Will Stop Going In, Ask Double R,https://images.genius.com/de2fdc28861bb7f4b83adb4771a85acc.412x412x1.jpg,24823,Rich Homie Quan,https://images.genius.com/334dc3565e640f1df6f809a163903cad.1000x1000x1.jpg,2015-02-09,2015,2,9,https://genius.com/songs/658724/apple_music_player,27511
2152746,Blasé,115038,Free TC,https://images.genius.com/ea76698c9f161eb60f5466ddbfe0369e.1000x1000x1.jpg,25005,Ty Dolla $ign,https://images.genius.com/d07735e0ce367e88926fd0bb120fb90d.1000x1000x1.jpg,2015-06-16,2015,6,16,https://genius.com/songs/2152746/apple_music_player,27511
66225,Cashin Out,17250,It's My Time,https://images.genius.com/3021f0ce18eee766d03f7970999196be.500x500x1.jpg,17560,Ca$h Out,https://images.genius.com/04f054dc158d9b7e91f3bfcc49ec29e4.362x362x1.jpg,2012-04-25,2012,4,25,https://genius.com/songs/66225/apple_music_player,27511
201881,Honest,41797,Honest,https://images.genius.com/954d4bfb2f1a939623e43520199dcb34.500x500x1.png,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2013-08-19,2013,8,19,https://genius.com/songs/201881/apple_music_player,27511
2989255,Draco,330482,FUTURE,https://images.genius.com/017aebcbc814b4a237d11e0bf31c7395.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2017-02-17,2017,2,17,https://genius.com/songs/2989255/apple_music_player,27511
2339761,Order More,133170,When It's Dark Out,https://images.genius.com/d4ef9c5995a8ce0a118dd8381b4f1169.959x959x1.jpg,11395,G-Eazy,https://images.genius.com/fd7ed1a82cc621a07ef0ec67ae88b145.1000x1000x1.jpg,2015-11-13,2015,11,13,https://genius.com/songs/2339761/apple_music_player,27511
2304247,Bake Sale,140822,KHALIFA,https://images.genius.com/329866c1bd0be13efe2300615c0293e5.1000x1000x1.jpg,310,Wiz Khalifa,https://images.genius.com/2ba15f623d81eda09cdc07f50dde02ad.400x400x1.jpg,2016-01-21,2016,1,21,https://genius.com/songs/2304247/apple_music_player,27511
105561,Nothin On Ya,27904,Trap God 2,https://images.genius.com/6f5bc65f6cb881521a8455261cd3fda9.475x475x1.jpg,13,Gucci Mane,https://images.genius.com/6f0a4980c8ef838036229e1d4dcd036c.408x408x1.jpg,2013-02-12,2013,2,12,https://genius.com/songs/105561/apple_music_player,27511
87067,Cashed Out,20748,Dedication 4,https://images.genius.com/1cca3a7cb35e2d8b6baa82593cc9844d.525x525x1.jpg,4,Lil Wayne,https://images.genius.com/f903dae2533e450c8d3cb233aa846020.745x745x1.jpg,2012-09-03,2012,9,3,https://genius.com/songs/87067/apple_music_player,27511
1787446,Moses,321222,Mac & Cheese 4 (Original),https://images.genius.com/8f2349ff38cc10de1c85b2f9c6cc471c.602x609x1.jpg,1583,French Montana,https://images.genius.com/99431503a5ae0bb0e46760c2efde9a19.581x581x1.jpg,2015-08-22,2015,8,22,https://genius.com/songs/1787446/apple_music_player,27511
2214964,Slave Master,127543,DS2,https://images.genius.com/6ddd131edb105578265c2473398a038a.1000x1000x1.png,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2015-07-17,2015,7,17,https://genius.com/songs/2214964/apple_music_player,27511
2417794,Fly Shit Only,143267,EVOL,https://images.genius.com/09f49d60cdf3bfb61017d515afe301c5.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2016-02-04,2016,2,4,https://genius.com/songs/2417794/apple_music_player,27511
403938,She Twerkin,108270,Let's Get It,https://images.genius.com/dab811b7ba2df49a863252db231361c6.700x700x1.jpg,17560,Ca$h Out,https://images.genius.com/04f054dc158d9b7e91f3bfcc49ec29e4.362x362x1.jpg,2014-02-14,2014,2,14,https://genius.com/songs/403938/apple_music_player,27511
2417555,Lie to Me,143267,EVOL,https://images.genius.com/09f49d60cdf3bfb61017d515afe301c5.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2016-02-12,2016,2,12,https://genius.com/songs/2417555/apple_music_player,27511
161710,Irie,38162,Beach House 2,https://images.genius.com/1ede42792b69f215975098aad4092774.960x960x1.jpg,25005,Ty Dolla $ign,https://images.genius.com/d07735e0ce367e88926fd0bb120fb90d.1000x1000x1.jpg,2013-01-01,2013,1,1,https://genius.com/songs/161710/apple_music_player,27511
404303,Porn Star,88076,Testimony,https://images.genius.com/537c88d6138729c03e24f84f9a05259f.1000x1000x1.jpg,25418,August Alsina,https://images.genius.com/5c9483089bd067709ebc51615a997d2b.1000x1000x1.jpg,2015-04-15,2015,4,15,https://genius.com/songs/404303/apple_music_player,27511
55161,Ayy Ladies,16476,From Day 1,https://images.genius.com/5dba37609154a4604deb7c6bddfcc86c.220x220x1.png,1355,Travis Porter,https://images.genius.com/64769eef5c067542dfb530a3e47f3819.797x797x1.jpg,,2012,None,None,https://genius.com/songs/55161/apple_music_player,27511
2291908,Bottom of the Bottle,134210,Canal Street Confidential,https://images.genius.com/af242eb3d0e542071f47d01a5aa067a8.1000x1000x1.jpg,1183,Curren$y,https://images.genius.com/085b4a92f3ca5e9e5049371e0206bc7a.624x624x1.jpg,2015-12-04,2015,12,4,https://genius.com/songs/2291908/apple_music_player,27511
75092,Rooster in My Rari,13715,Triple F Life: Friends, Fans and Family,https://images.genius.com/057e6f03f3f38c3d1d2dde953b224723.220x220x1.jpg,257,Waka Flocka Flame,https://images.genius.com/87dca6a6f8e3110568a007a8eb28116e.588x588x1.jpg,2012-06-08,2012,6,8,https://genius.com/songs/75092/apple_music_player,27511
490066,Let's Get It,,,,17560,Ca$h Out,https://images.genius.com/04f054dc158d9b7e91f3bfcc49ec29e4.362x362x1.jpg,2014-02-21,2014,2,21,https://genius.com/songs/490066/apple_music_player,27511
60643,Riot,12998,T.R.U. REALigion,https://images.genius.com/c09ed4b9190576260459880172143b0f.1000x1000x1.jpg,14325,2 Chainz,https://images.genius.com/f82a00deb2e816cc89005a9839eead69.1000x1000x1.jpg,2011-11-01,2011,11,1,https://genius.com/songs/60643/apple_music_player,27511
3103914,Love N Hennessy,343471,ON GAZ,https://images.genius.com/bb20ad313c52b280d7dd9ff5a9b0b339.1000x1000x1.jpg,574391,A.CHAL,https://images.genius.com/ab5fe3af4375a6204e7393a8e0abd0cd.471x471x1.png,2017-05-29,2017,5,29,https://genius.com/songs/3103914/apple_music_player,27511
2406801,Left, Right,,,,217208,Lil Uzi Vert,https://images.genius.com/651a11b30fa5fd21648e6cc22c5a4f62.1000x1000x1.jpg,2016-01-31,2016,1,31,https://genius.com/songs/2406801/apple_music_player,27511
2408591,Salute,141998,Purple Reign,https://images.genius.com/54f913ddddddbcdbc4de555f051c827a.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2016-01-17,2016,1,17,https://genius.com/songs/2408591/apple_music_player,27511
735642,I Don't Like It, I Love It,121321,My House,https://images.genius.com/f51a4ef54d56faafb96a7ff838f4ba81.1000x1000x1.png,1081,Flo Rida,https://images.genius.com/0c53aacbe8eb21d44f3a7faf98e26f45.658x658x1.jpg,2015-03-31,2015,3,31,https://genius.com/songs/735642/apple_music_player,27511
2803591,Bruxelles arrive,,,,75161,Roméo Elvis,https://images.genius.com/1b1a7dfa2f65405e5d61e7c58458f699.287x287x1.png,2016-07-03,2016,7,3,https://genius.com/songs/2803591/apple_music_player,27511
2408566,Run Up,141998,Purple Reign,https://images.genius.com/54f913ddddddbcdbc4de555f051c827a.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2016-01-17,2016,1,17,https://genius.com/songs/2408566/apple_music_player,27511
490063,Let's Get It (Remix),108270,Let's Get It,https://images.genius.com/dab811b7ba2df49a863252db231361c6.700x700x1.jpg,17560,Ca$h Out,https://images.genius.com/04f054dc158d9b7e91f3bfcc49ec29e4.362x362x1.jpg,2014-08-04,2014,8,4,https://genius.com/songs/490063/apple_music_player,27511
85653,Riot,16196,Well Done 3,https://images.genius.com/fc252d814fd82f6d8e960e38de163568.500x500x1.jpg,554,Tyga,https://images.genius.com/bf240156bf229b0d64755f527126e748.646x646x1.jpg,2012-08-19,2012,8,19,https://genius.com/songs/85653/apple_music_player,27511
2688262,My Blower,157471,Project E.T. (Esco Terrestrial),https://images.genius.com/8b7ed962aa9fa9d609b8f164c94be2f5.500x500x1.jpg,49470,DJ Esco,https://images.genius.com/7130fa2421767d64a74aacaee4592d4b.841x841x1.jpg,2016-06-24,2016,6,24,https://genius.com/songs/2688262/apple_music_player,27511
63113,Ring Ring,14167,Rich Forever,https://images.genius.com/5903bd99ee5e7d63a99dda93648f4272.1000x1000x1.jpg,88,Rick Ross,https://images.genius.com/3dce21029cdd8aab73eb473e015807d5.1000x1000x1.jpg,2012-01-06,2012,1,6,https://genius.com/songs/63113/apple_music_player,27511
163207,Get Ya Money,33470,The Product 2 ,https://images.genius.com/fc54f0ee7dd66bfda31eabfacb64560b.500x500x1.jpg,25418,August Alsina,https://images.genius.com/5c9483089bd067709ebc51615a997d2b.1000x1000x1.jpg,,2013,None,None,https://genius.com/songs/163207/apple_music_player,27511
194959,Don't Know What To Call It,104125,Behind Enemy Lines ,https://images.genius.com/eaa01b60d9c696f343464dff9e0ea1fb.500x500x1.jpg,30192,Kevin Gates,https://images.genius.com/24c5c29fe788fe669929c7cd90a09600.412x412x1.jpg,2013-07-16,2013,7,16,https://genius.com/songs/194959/apple_music_player,27511
3467578,Love N Hennessy (Remix),,,,574391,A.CHAL,https://images.genius.com/ab5fe3af4375a6204e7393a8e0abd0cd.471x471x1.png,2018-01-25,2018,1,25,https://genius.com/songs/3467578/apple_music_player,27511
248632,Maison Margiela,62214,No Sleep ,https://images.genius.com/a977a7360ae6031ae204635b7abe34b0.500x500x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2013-10-09,2013,10,9,https://genius.com/songs/248632/apple_music_player,27511
1914390,Fuck Up Some Commas (Remix),,,,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2015-05-25,2015,5,25,https://genius.com/songs/1914390/apple_music_player,27511
2368102,Know Ya,115038,Free TC,https://images.genius.com/ea76698c9f161eb60f5466ddbfe0369e.1000x1000x1.jpg,25005,Ty Dolla $ign,https://images.genius.com/d07735e0ce367e88926fd0bb120fb90d.1000x1000x1.jpg,2015-11-13,2015,11,13,https://genius.com/songs/2368102/apple_music_player,27511
3647088,Now,419349,Hear No Evil,https://images.genius.com/7f445adbdac6bc80b1c2a3899a695049.800x800x1.jpg,20503,Young Thug,https://images.genius.com/132dc1102a66006a89262588c38104ac.640x640x1.jpg,2018-04-13,2018,4,13,https://genius.com/songs/3647088/apple_music_player,27511
3082204,Mars,,,,20577,Maxo Kream,https://images.genius.com/ec449ebb99f7434609dd2b056bfa2def.1000x1000x1.jpg,2017-09-15,2017,9,15,https://genius.com/songs/3082204/apple_music_player,27511
2999461,Keep Quiet,332229,HNDRXX,https://images.genius.com/afbe3491636038318be7bfa343473fd1.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2017-02-24,2017,2,24,https://genius.com/songs/2999461/apple_music_player,27511
2989279,Flip,330482,FUTURE,https://images.genius.com/017aebcbc814b4a237d11e0bf31c7395.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2017-02-17,2017,2,17,https://genius.com/songs/2989279/apple_music_player,27511
90009,Trending Topic,22223,Welcome 2 Mollyworld ,https://images.genius.com/182b76d0fc8cac45876f3f00a9c02c87.500x500x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2012-07-28,2012,7,28,https://genius.com/songs/90009/apple_music_player,27511
405716,Grind & Pray/Get Ya Money,88076,Testimony,https://images.genius.com/537c88d6138729c03e24f84f9a05259f.1000x1000x1.jpg,25418,August Alsina,https://images.genius.com/5c9483089bd067709ebc51615a997d2b.1000x1000x1.jpg,2014-04-15,2014,4,15,https://genius.com/songs/405716/apple_music_player,27511
134240,No Love,452578,Notice Me,https://images.genius.com/4186d8fa93838787607b3dec3de66221.500x500x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2013-03-26,2013,3,26,https://genius.com/songs/134240/apple_music_player,27511
71650,You Deserve It,16305,Pluto,https://images.genius.com/14df23a17c7b6fc85a08177f858e5d64.1000x1000x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2012-04-13,2012,4,13,https://genius.com/songs/71650/apple_music_player,27511
2864354,??? (Where),159234,Campaign,https://images.genius.com/e8b2ae22fb34b093da5b0adabdb46f49.1000x1000x1.jpg,25005,Ty Dolla $ign,https://images.genius.com/d07735e0ce367e88926fd0bb120fb90d.1000x1000x1.jpg,2016-09-23,2016,9,23,https://genius.com/songs/2864354/apple_music_player,27511
2862138,Goin For Ten,221656,Dexter The Robot,https://images.genius.com/32530522e0941482a49381f99c61e40b.500x500x1.jpg,334508,Famous Dex,https://images.genius.com/376eb61974338992fbfcdadd810cccb6.549x549x1.png,2016-09-19,2016,9,19,https://genius.com/songs/2862138/apple_music_player,27511
81975,Hood Rich Anthem,322576,Long Live The Hustle,https://assets.genius.com/images/default_cover_art.png?1550179390,14047,DJ Scream,https://images.genius.com/6b5687752e21edf3f4997b3e1db5f6f1.195x195x1.png,2012-07-16,2012,7,16,https://genius.com/songs/81975/apple_music_player,27511
2329304,Violent,133026,Airplane Mode,https://images.genius.com/6634cd2de89e2ed2432b4534c4b32087.800x800x1.jpg,25005,Ty Dolla $ign,https://images.genius.com/d07735e0ce367e88926fd0bb120fb90d.1000x1000x1.jpg,2015-10-13,2015,10,13,https://genius.com/songs/2329304/apple_music_player,27511
514939,I Just Might,,,,20503,Young Thug,https://images.genius.com/132dc1102a66006a89262588c38104ac.640x640x1.jpg,2014-09-08,2014,9,8,https://genius.com/songs/514939/apple_music_player,27511
483053,She Twerkin (Remix),,,,17560,Ca$h Out,https://images.genius.com/04f054dc158d9b7e91f3bfcc49ec29e4.362x362x1.jpg,2014-07-22,2014,7,22,https://genius.com/songs/483053/apple_music_player,27511
3099482,Bucket List,327023,Droptopwop,https://images.genius.com/4f51d4ae02f3058fc756d5f1428a908a.1000x1000x1.jpg,13,Gucci Mane,https://images.genius.com/6f0a4980c8ef838036229e1d4dcd036c.408x408x1.jpg,2017-05-26,2017,5,26,https://genius.com/songs/3099482/apple_music_player,27511
218048,Kilo,35256,Self Made Volume 3,https://images.genius.com/a0e5d4137e24ca9bb8d23cbf6a051f80.500x500x1.jpg,1319,Meek Mill,https://images.genius.com/6929169de7116d41676151bdea5cc773.1000x1000x1.jpg,,,,,https://genius.com/songs/218048/apple_music_player,27511
2855390,Hold Up (Dough Up),,,,657908,Kodie Shane,https://images.genius.com/6ee38947dd2f2f8113a305b453dc1724.1000x1000x1.jpg,2016-09-13,2016,9,13,https://genius.com/songs/2855390/apple_music_player,27511
400990,Get Ya Money (Album Version),88076,Testimony,https://images.genius.com/537c88d6138729c03e24f84f9a05259f.1000x1000x1.jpg,25418,August Alsina,https://images.genius.com/5c9483089bd067709ebc51615a997d2b.1000x1000x1.jpg,,2015,None,None,https://genius.com/songs/400990/apple_music_player,27511
105098,GuWop Nigga,,,,13,Gucci Mane,https://images.genius.com/6f0a4980c8ef838036229e1d4dcd036c.408x408x1.jpg,2012-12-05,2012,12,5,https://genius.com/songs/105098/apple_music_player,27511
2402184,No English,223092,Rubba Band Business: The Album,https://images.genius.com/1a6f031822fbbc13dd88dde9274ae125.1000x1000x1.jpg,1073,Juicy J,https://images.genius.com/d42f50ada8df12cb647ff9de20e2a2ea.304x304x1.jpg,2016-06-17,2016,6,17,https://genius.com/songs/2402184/apple_music_player,27511
748608,Fuck Up Some Commas (Remix),,,,4,Lil Wayne,https://images.genius.com/f903dae2533e450c8d3cb233aa846020.745x745x1.jpg,2015-04-13,2015,4,13,https://genius.com/songs/748608/apple_music_player,27511
3081228,Zombamafoo,343967,HoodWolf,https://images.genius.com/419170ee6e18d20be9455474eddbd49f.500x500x1.jpg,234513,Hoodrich Pablo Juan,https://images.genius.com/b8d48718f35a353f25efcf76e4e1d3f0.1000x1000x1.jpg,2017-05-05,2017,5,5,https://genius.com/songs/3081228/apple_music_player,27511
1867872,Hard Times,124761,Intermission I & II,https://images.genius.com/99a7bfe92467bb069907dbdb00c620d1.400x400x1.jpg,326,Trey Songz,https://images.genius.com/784d9135e67da7eb9bab97646a1d8aef.674x674x1.png,2015-05-18,2015,5,18,https://genius.com/songs/1867872/apple_music_player,27511
2958879,I Can,329889,ChiLanta 3,https://images.genius.com/133a6381bc1a4247e99fe23f580a0f85.500x500x1.jpg,1424946,Migos & Hoodrich Pablo Juan,https://assets.genius.com/images/default_avatar_300.png?1550179390,2017-01-17,2017,1,17,https://genius.com/songs/2958879/apple_music_player,27511
72463,Motion Picture,324337,Think Like a Man (Music from and Inspired by the Film),https://images.genius.com/5eb7ea8244d5e34fcd0afd985efb54b3.600x600x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2012-04-03,2012,4,3,https://genius.com/songs/72463/apple_music_player,27511
119934,Pistol In The Party,27904,Trap God 2,https://images.genius.com/6f5bc65f6cb881521a8455261cd3fda9.475x475x1.jpg,13,Gucci Mane,https://images.genius.com/6f0a4980c8ef838036229e1d4dcd036c.408x408x1.jpg,2013-02-12,2013,2,12,https://genius.com/songs/119934/apple_music_player,27511
60217,Homicide,11204,Cabin Fever,https://images.genius.com/d237f9965c42bac000a231b8fb6b39a5.1000x1000x1.jpg,310,Wiz Khalifa,https://images.genius.com/2ba15f623d81eda09cdc07f50dde02ad.400x400x1.jpg,2011-02-05,2011,2,5,https://genius.com/songs/60217/apple_music_player,27511
560173,Showed Up,113561,Monster,https://images.genius.com/adc81ddb71fc3b8fc301fb13d3cb2324.500x500x1.jpg,2197,Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg,2014-10-28,2014,10,28,https://genius.com/songs/560173/apple_music_player,27511
3236305,Do What I Wanna Do,368022,Designer Drugz 3,https://images.genius.com/f9032b212f4935caeccb78b24f3cb7b7.600x600x1.jpg,234513,Hoodrich Pablo Juan,https://images.genius.com/b8d48718f35a353f25efcf76e4e1d3f0.1000x1000x1.jpg,2017-09-20,2017,9,20,https://genius.com/songs/3236305/apple_music_player,27511
94390,Disqualified,24160,CM7: The World Is Yours,https://images.genius.com/3041aa877a139f9d730d0b4645a09c77.1000x1000x1.jpg,118,Yo Gotti,https://images.genius.com/993fc023fd24aa29153af7b870237e2f.730x730x1.jpg,2012-10-18,2012,10,18,https://genius.com/songs/94390/apple_music_player,27511
