song_id,song_title,album_id,album_title,cover_art_url,performer_id,performer_name,performer_img_url,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url,producer_id
90478,​m.A.A.d city,491200,good kid, m.A.A.d city (Deluxe Version),https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2012-10-22,2012,10,22,https://genius.com/songs/90478/apple_music_player,27472
3047142,XXX.,337082,DAMN.,https://images.genius.com/d25e7043f51c2de6acaf6c39caa60da2.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2017-04-14,2017,4,14,https://genius.com/songs/3047142/apple_music_player,27472
90473,Bitch, Don't Kill My Vibe,491200,good kid, m.A.A.d city (Deluxe Version),https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2012-10-22,2012,10,22,https://genius.com/songs/90473/apple_music_player,27472
92856,Poetic Justice,491200,good kid, m.A.A.d city (Deluxe Version),https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2012-10-22,2012,10,22,https://genius.com/songs/92856/apple_music_player,27472
721659,King Kunta,120991,To Pimp a Butterfly,https://images.genius.com/f3e9dc7d6cadfd0202e37cde73e0022b.640x640x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2015-03-15,2015,3,15,https://genius.com/songs/721659/apple_music_player,27472
3047141,LOVE.,337082,DAMN.,https://images.genius.com/d25e7043f51c2de6acaf6c39caa60da2.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2017-04-14,2017,4,14,https://genius.com/songs/3047141/apple_music_player,27472
722278,Alright,120991,To Pimp a Butterfly,https://images.genius.com/f3e9dc7d6cadfd0202e37cde73e0022b.640x640x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2015-03-15,2015,3,15,https://genius.com/songs/722278/apple_music_player,27472
3047135,LOYALTY.,337082,DAMN.,https://images.genius.com/d25e7043f51c2de6acaf6c39caa60da2.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2017-04-14,2017,4,14,https://genius.com/songs/3047135/apple_music_player,27472
3047132,ELEMENT.,337082,DAMN.,https://images.genius.com/d25e7043f51c2de6acaf6c39caa60da2.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2017-04-14,2017,4,14,https://genius.com/songs/3047132/apple_music_player,27472
90479,Sing About Me, I'm Dying of Thirst,491200,good kid, m.A.A.d city (Deluxe Version),https://images.genius.com/1efc5de2af228d2e49d91bd0dac4dc49.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2012-10-22,2012,10,22,https://genius.com/songs/90479/apple_music_player,27472
51801,A.D.H.D,11160,Section.80,https://images.genius.com/1f3cde1d04f886d4d4eb88a2c26a4e4d.1000x1000x1.jpg,1421,Kendrick Lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2011-07-02,2011,7,2,https://genius.com/songs/51801/apple_music_player,27472
3429382,King's Dead,363114,Black Panther: The Album (Music from and Inspired By),https://images.genius.com/b0ef6cfffeb8c493ca2344f8358e741a.960x960x1.jpg,1403568,Jay Rock, Kendrick Lamar, Future & James Blake,https://images.genius.com/b5de44b4cd4074c83261950a18c866aa.1000x1000x1.jpg,2018-01-11,2018,1,11,https://genius.com/songs/3429382/apple_music_player,27472
3412272,All The Stars,363114,Black Panther: The Album (Music from and Inspired By),https://images.genius.com/b0ef6cfffeb8c493ca2344f8358e741a.960x960x1.jpg,1307337,Kendrick Lamar & SZA,https://images.genius.com/224c2150828825b2d1f39f8d9d8d4354.776x776x1.png,2018-01-04,2018,1,4,https://genius.com/songs/3412272/apple_music_player,27472
