producer_id,producer_name,producer_img_url
123,Dr. Dre,https://images.genius.com/bf3badae49c33b583126057638078bd8.576x576x1.jpg
7898,Drumma Boy,https://images.genius.com/fefaad430e14dcfa99a537dad167eec0.721x721x1.jpg
1035355,Dtb des,https://assets.genius.com/images/default_avatar_300.png?1550179390
577228,Dubba-AA,https://images.genius.com/fb4e09fd7f13da9ca8b74cdc947bd946.427x427x1.png
44079,Dun Deal,https://s3.amazonaws.com/rapgenius/1381449877_avatars-000050543007-r6a5gq-t500x500.jpg
4463,E-A-Ski,https://images.genius.com/bf9a70ee0b81faa0266b18e5750321d5.398x398x1.png
686,Earl Sweatshirt,https://images.genius.com/35cf52234fc34700d5c9bee71ee23922.1000x1000x1.jpg
991297,EarlThePearll,https://images.genius.com/40e6b14f29f25569f160674765818607.1000x1000x1.jpg
1070,El-P,https://images.genius.com/7b4d16e61a07d0ffa7ef424aabc05d50.1000x608x1.jpg
14777,Elite,https://images.genius.com/5fbda8ecf10964f411746a9e716b5e91.340x223x1.png
3608,Erick Sermon,https://s3.amazonaws.com/rapgenius/8692113.jpg
17102,Erick Arc Elliott,https://images.genius.com/72428869c092d6753b997639ac5b3517.400x400x1.jpg
680624,Fish Narc,https://images.genius.com/f3597a5983c68f58be9b7d8acf306227.778x778x1.jpg
681077,FKi 1st,https://images.genius.com/d155da1c2b4a28fd26fc02495d587d5c.750x750x1.jpg
681077,FKi 1st,https://images.genius.com/d155da1c2b4a28fd26fc02495d587d5c.750x750x1.jpg
100291,Sub Focus,https://images.genius.com/142ddc347600d956a893f0fb981d2d7b.496x372x1.jpg
24434,FreshThPharmacy,https://images.genius.com/788e999912f31563ad96b8bf0ee1338a.750x750x1.jpg
99899,GAWVI,https://images.genius.com/fc496a1c56a097629923c2dca2da54ac.761x761x1.jpg
1007524,Ginseng,https://images.genius.com/c7580c5866cc1f8e6e7bfbdb30f7cf55.400x400x1.jpg
984361,H. Money Bags,https://assets.genius.com/images/default_avatar_300.png?1550074849
1349738,Jay Critch & Harry Fraud,https://assets.genius.com/images/default_avatar_300.png?1550179390
1152755,Haven Beats,https://images.genius.com/63f78e60eade0f04740966134328f131.288x288x1.jpg
1555,Havoc,https://s3.amazonaws.com/rapgenius/2648754045_b7d3646560.jpg
560785,Hector Soundz,https://assets.genius.com/images/default_avatar_300.png?1550179390
2524,Hi-Tek,https://images.genius.com/cd24e0e32411bb5265766c1190465548.786x786x1.png
21188,Hit-Boy,https://s3.amazonaws.com/rapgenius/hit-boy.jpg
1324131,Hoodzone,https://images.genius.com/0a33af20a9ec15921fa7d674f06b7810.400x400x1.jpg
44685,HUMbeats,https://assets.genius.com/images/default_avatar_300.png?1550179390
1309939,IllaDaProducer,https://images.genius.com/e3e56b30f8c2ff9e0d4597b748b39eb8.1000x1000x1.jpg
18595,Iman Omari,https://images.genius.com/79ca10d14594716292f984b5411d658f.795x795x1.jpg
224,J Dilla,https://images.genius.com/5203dcbed195911f265d2f74faa01647.450x450x1.jpg
27626,J.R. Rotem,https://images.genius.com/e626b67e825493a4760771940dc8939c.353x353x1.jpg
572674,Cam O'bi,https://images.genius.com/4a69e4b0d7ab72f32a7c0adb9d002296.313x313x1.jpg
1364922,Jabz (Producer),https://assets.genius.com/images/default_avatar_300.png?1550179390
17746,Jahlil Beats,https://images.genius.com/39e3d4a9a208f9c1f0090316a74faec0.761x761x1.jpg
6021,Jake One,https://s3.amazonaws.com/rapgenius/jake_one_003.png
680273,AD & Sorry Jaynari,https://images.genius.com/22548ebd580a8b365df785239356aeee.599x599x1.jpg
3264,Jermaine Dupri,https://images.genius.com/5fbdd9050c73a61f7597865e67c645f2.464x464x1.jpg
27258,Johnny Juliano,https://s3.amazonaws.com/rapgenius/Johnny-Juliano.jpg
38886,JP Did This 1,https://images.genius.com/a7a01ac40bf402709e081ae7a30741e5.640x640x1.jpg
