song_id|song_title|album_id|album_title|cover_art_url|performer_id|performer_name|performer_img_url|release_date|release_year|release_month|release_day|apple_music_player_url|producer_id
3291049|MotorSport|369295|Culture II |https://images.genius.com/895c52591bf983ebe6e8821f23e4642e.999x999x1.jpg|1345224|Migos, Nicki Minaj & Cardi B|https://images.genius.com/0cf3278075d7d0baac8724e5776a2f71.785x785x1.png|2017-10-27|2017|10|27|https://genius.com/songs/3291049/apple_music_player|95489
3767821|FEFE|456145|DUMMY BOY|https://images.genius.com/16c572cee652b4b917b43149499f8731.640x640x1.jpg|1124097|6ix9ine|https://images.genius.com/fdff770a8e2f4dfd1695a99199665c29.805x805x1.png|2018-07-22|2018|7|22|https://genius.com/songs/3767821/apple_music_player|95489
3580132|Nice For What|420582|Scorpion|https://images.genius.com/5c677b7bfc2f696abf2e2d928301bb44.1000x1000x1.jpg|130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg|2018-04-06|2018|4|6|https://genius.com/songs/3580132/apple_music_player|95489
3028687|Portland|286515|More Life|https://images.genius.com/492890e920533797aa7eccf68e467b8a.1000x1000x1.jpg|130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg|2017-03-18|2017|3|18|https://genius.com/songs/3028687/apple_music_player|95489
3089187|BUTTERFLY EFFECT|152654|ASTROWORLD|https://images.genius.com/9c8508d3056b146aee2ad72d5f0606e7.926x926x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2017-05-15|2017|5|15|https://genius.com/songs/3089187/apple_music_player|95489
3017997|No Frauds|504297|No Frauds (Single)|https://assets.genius.com/images/default_cover_art.png?1550074849|1105909|Nicki Minaj, Drake & Lil Wayne|https://images.genius.com/1bbf56ec4a16bd5e1f5b71c056d8474d.1000x1000x1.jpg|2017-03-10|2017|3|10|https://genius.com/songs/3017997/apple_music_player|95489
2463399|With You|132506|Views|https://images.genius.com/6f4b9c41ccb18485cccd6aa364ccc3b8.1000x1000x1.jpg|130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg|2016-04-29|2016|4|29|https://genius.com/songs/2463399/apple_music_player|95489
2554175|No Shopping|158551|MC4|https://images.genius.com/3163f731bdd71aaf1c64f48b2354ec25.640x640x1.jpg|1583|French Montana|https://images.genius.com/99431503a5ae0bb0e46760c2efde9a19.581x581x1.jpg|2016-07-16|2016|7|16|https://genius.com/songs/2554175/apple_music_player|95489
3627217|I Do|384474|Invasion of Privacy|https://images.genius.com/a434f435ffae4d8ec74dfc4ead33431b.640x640x1.jpg|621678|Cardi B|https://images.genius.com/815886b61d08bf1b418e5c0b3b368275.1000x1000x1.jpg|2018-04-06|2018|4|6|https://genius.com/songs/3627217/apple_music_player|95489
2992774|No Long Talk|286515|More Life|https://images.genius.com/492890e920533797aa7eccf68e467b8a.1000x1000x1.jpg|130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg|2017-03-18|2017|3|18|https://genius.com/songs/2992774/apple_music_player|95489
2948950|Get Right Witcha|168545|Culture|https://images.genius.com/73bac66d60e3a2fad0135f4dd359d2ee.1000x1000x1.jpg|44080|Migos|https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg|2017-01-27|2017|1|27|https://genius.com/songs/2948950/apple_music_player|95489
4051409|MAMA|456145|DUMMY BOY|https://images.genius.com/16c572cee652b4b917b43149499f8731.640x640x1.jpg|1124097|6ix9ine|https://images.genius.com/fdff770a8e2f4dfd1695a99199665c29.805x805x1.png|2018-11-27|2018|11|27|https://genius.com/songs/4051409/apple_music_player|95489
2849772|​sweet sweet|151943|Birds in the Trap Sing McKnight|https://images.genius.com/5f66b21e0c69ff6c30080f2c6795f025.924x924x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2016-09-02|2016|9|2|https://genius.com/songs/2849772/apple_music_player|95489
3105427|4 AM|323664|Pretty Girls Like Trap Music|https://images.genius.com/09cea4ddc89b5b634ecb6601b645e7a2.966x966x1.jpg|14325|2 Chainz|https://images.genius.com/f82a00deb2e816cc89005a9839eead69.1000x1000x1.jpg|2017-05-30|2017|5|30|https://genius.com/songs/3105427/apple_music_player|95489
3016062|It's a Vibe|323664|Pretty Girls Like Trap Music|https://images.genius.com/09cea4ddc89b5b634ecb6601b645e7a2.966x966x1.jpg|14325|2 Chainz|https://images.genius.com/f82a00deb2e816cc89005a9839eead69.1000x1000x1.jpg|2017-03-09|2017|3|9|https://genius.com/songs/3016062/apple_music_player|95489
3188105|She For Keeps|347750|Quality Control: Control the Streets, Vol. 1|https://images.genius.com/da8bb7094a605c9e98855a50e51ad568.1000x1000x1.jpg|995189|Quality Control|https://images.genius.com/01c2668cb558306281d73ba43b9d6749.600x600x1.png|2017-12-08|2017|12|8|https://genius.com/songs/3188105/apple_music_player|95489
3430256|COOLEST MONKEY IN THE JUNGLE|351623|BEWARE THE BOOK OF ELI|https://images.genius.com/23c23b5f7587f9165e4acb1531892b04.630x630x1.jpg|396531|Ski Mask the Slump God|https://images.genius.com/8034f4ee72c13a2ca91b07cddc3674be.749x749x1.jpg|2018-05-11|2018|5|11|https://genius.com/songs/3430256/apple_music_player|95489
2849776|​outside|151943|Birds in the Trap Sing McKnight|https://images.genius.com/5f66b21e0c69ff6c30080f2c6795f025.924x924x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2016-09-02|2016|9|2|https://genius.com/songs/2849776/apple_music_player|95489
