song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
3291049|MotorSport|2017-10-27|2017|10|27|https://genius.com/songs/3291049/apple_music_player
3767821|FEFE|2018-07-22|2018|7|22|https://genius.com/songs/3767821/apple_music_player
3580132|Nice For What|2018-04-06|2018|4|6|https://genius.com/songs/3580132/apple_music_player
3028687|Portland|2017-03-18|2017|3|18|https://genius.com/songs/3028687/apple_music_player
3089187|BUTTERFLY EFFECT|2017-05-15|2017|5|15|https://genius.com/songs/3089187/apple_music_player
3017997|No Frauds|2017-03-10|2017|3|10|https://genius.com/songs/3017997/apple_music_player
2463399|With You|2016-04-29|2016|4|29|https://genius.com/songs/2463399/apple_music_player
2554175|No Shopping|2016-07-16|2016|7|16|https://genius.com/songs/2554175/apple_music_player
3627217|I Do|2018-04-06|2018|4|6|https://genius.com/songs/3627217/apple_music_player
2992774|No Long Talk|2017-03-18|2017|3|18|https://genius.com/songs/2992774/apple_music_player
2948950|Get Right Witcha|2017-01-27|2017|1|27|https://genius.com/songs/2948950/apple_music_player
4051409|MAMA|2018-11-27|2018|11|27|https://genius.com/songs/4051409/apple_music_player
2849772|​sweet sweet|2016-09-02|2016|9|2|https://genius.com/songs/2849772/apple_music_player
3105427|4 AM|2017-05-30|2017|5|30|https://genius.com/songs/3105427/apple_music_player
3016062|It's a Vibe|2017-03-09|2017|3|9|https://genius.com/songs/3016062/apple_music_player
3188105|She For Keeps|2017-12-08|2017|12|8|https://genius.com/songs/3188105/apple_music_player
3430256|COOLEST MONKEY IN THE JUNGLE|2018-05-11|2018|5|11|https://genius.com/songs/3430256/apple_music_player
2849776|​outside|2016-09-02|2016|9|2|https://genius.com/songs/2849776/apple_music_player
2961664|Go Off|2017-03-02|2017|3|2|https://genius.com/songs/2961664/apple_music_player
2893059|Offended|2016-10-27|2016|10|27|https://genius.com/songs/2893059/apple_music_player
3386843|Huncho Jack|2017-12-22|2017|12|22|https://genius.com/songs/3386843/apple_music_player
3030898|Still Got Time|2017-03-24|2017|3|24|https://genius.com/songs/3030898/apple_music_player
2168784|Pipe It Up|2015-07-31|2015|7|31|https://genius.com/songs/2168784/apple_music_player
3468918|Gang Gang|2018-01-26|2018|1|26|https://genius.com/songs/3468918/apple_music_player
3386847|Saint|2017-12-22|2017|12|22|https://genius.com/songs/3386847/apple_music_player
3533081|123|2018-03-01|2018|3|1|https://genius.com/songs/3533081/apple_music_player
3386845|Eye 2 Eye|2017-12-21|2017|12|21|https://genius.com/songs/3386845/apple_music_player
4014122|HUNCHO DREAMS|2018-10-11|2018|10|11|https://genius.com/songs/4014122/apple_music_player
371494|Antidope|2014-02-25|2014|2|25|https://genius.com/songs/371494/apple_music_player
3948198|KANGA|2018-11-27|2018|11|27|https://genius.com/songs/3948198/apple_music_player
3782528|Bigger Than You|2018-06-15|2018|6|15|https://genius.com/songs/3782528/apple_music_player
3733974|Forever Ever|2018-08-10|2018|8|10|https://genius.com/songs/3733974/apple_music_player
2489747|Back on Road|2016-06-04|2016|6|4|https://genius.com/songs/2489747/apple_music_player
3890518|WORKIN ME|2018-08-10|2018|8|10|https://genius.com/songs/3890518/apple_music_player
2489972|Why|2016-06-04|2016|6|4|https://genius.com/songs/2489972/apple_music_player
474197|Gas And Mud|2014-07-07|2014|7|7|https://genius.com/songs/474197/apple_music_player
3082387|Undefeated|2017-09-29|2017|9|29|https://genius.com/songs/3082387/apple_music_player
440921|New Atlanta|2014-05-29|2014|5|29|https://genius.com/songs/440921/apple_music_player
2929485|Growth|2016-12-10|2016|12|10|https://genius.com/songs/2929485/apple_music_player
269861|Emmitt Smith|2013-11-18|2013|11|18|https://genius.com/songs/269861/apple_music_player
2145913|Antidote|2015-06-23|2015|6|23|https://genius.com/songs/2145913/apple_music_player
703732|Company|2015-02-13|2015|2|13|https://genius.com/songs/703732/apple_music_player
2973484|No Favors|2017-02-03|2017|2|3|https://genius.com/songs/2973484/apple_music_player
685070|Used To|2015-02-13|2015|2|13|https://genius.com/songs/685070/apple_music_player
3876999|CAN'T SAY|2018-08-03|2018|8|3|https://genius.com/songs/3876999/apple_music_player
731783|Bitch Better Have My Money|2015-03-26|2015|3|26|https://genius.com/songs/731783/apple_music_player
2290813|90210|2015-09-02|2015|9|2|https://genius.com/songs/2290813/apple_music_player
703429|All Your Fault|2015-02-24|2015|2|24|https://genius.com/songs/703429/apple_music_player
3876996|NO BYSTANDERS|2018-08-03|2018|8|3|https://genius.com/songs/3876996/apple_music_player
2826952|​the ends|2016-09-02|2016|9|2|https://genius.com/songs/2826952/apple_music_player
182405|Crown|2013-07-04|2013|7|4|https://genius.com/songs/182405/apple_music_player
2849772|​sweet sweet|2016-09-02|2016|9|2|https://genius.com/songs/2849772/apple_music_player
499855|Days Before Rodeo: The Prayer|2014-08-18|2014|8|18|https://genius.com/songs/499855/apple_music_player
3209331|Feelings Mutual|2017-08-25|2017|8|25|https://genius.com/songs/3209331/apple_music_player
3209336|How to Talk|2017-08-25|2017|8|25|https://genius.com/songs/3209336/apple_music_player
153015|Uptown|2013-05-21|2013|5|21|https://genius.com/songs/153015/apple_music_player
2888831|Money Man|2016-10-21|2016|10|21|https://genius.com/songs/2888831/apple_music_player
2456827|Scott and Ramona|2016-04-15|2016|4|15|https://genius.com/songs/2456827/apple_music_player
2894281|RERUN|2018-10-11|2018|10|11|https://genius.com/songs/2894281/apple_music_player
206132|Teen Spirit|2013-08-15|2013|8|15|https://genius.com/songs/206132/apple_music_player
724284|Never Catch Me|2015-09-04|2015|9|4|https://genius.com/songs/724284/apple_music_player
3209338|Malfunction|2017-08-25|2017|8|25|https://genius.com/songs/3209338/apple_music_player
691607|High Fashion|2015-01-27|2015|1|27|https://genius.com/songs/691607/apple_music_player
3097951|Blowing Smoke|2017-05-26|2017|5|26|https://genius.com/songs/3097951/apple_music_player
2938694|I Decided. [Tracklist + Album Art]|2017-02-03|2017|2|3|https://genius.com/songs/2938694/apple_music_player
1862903|Freaky|2015-09-16|2015|9|16|https://genius.com/songs/1862903/apple_music_player
146977|Trouble|||||https://genius.com/songs/146977/apple_music_player
3097975|Money Problems / Benz Truck|2017-05-26|2017|5|26|https://genius.com/songs/3097975/apple_music_player
3138028|Hasta Luego|2017-06-29|2017|6|29|https://genius.com/songs/3138028/apple_music_player
2893569|Braille|2016-10-27|2016|10|27|https://genius.com/songs/2893569/apple_music_player
3563908|Doomsday|2018-03-06|2018|3|6|https://genius.com/songs/3563908/apple_music_player
2829210|Hot Sauce|2016-09-02|2016|9|2|https://genius.com/songs/2829210/apple_music_player
2297764|I'm Good|2015-09-05|2015|9|5|https://genius.com/songs/2297764/apple_music_player
148152|God Level|||||https://genius.com/songs/148152/apple_music_player
3553770|Too Gone|2018-03-30|2018|3|30|https://genius.com/songs/3553770/apple_music_player
3768792|Get Geeked|2018-11-30|2018|11|30|https://genius.com/songs/3768792/apple_music_player
3952657|ANTI EVERYBODY|2018-09-14|2018|9|14|https://genius.com/songs/3952657/apple_music_player
3060692|Lady in Yellow|2017-05-26|2017|5|26|https://genius.com/songs/3060692/apple_music_player
2360995|I Ain't Fukin Wit Cha|2015-12-14|2015|12|14|https://genius.com/songs/2360995/apple_music_player
3599119|Holding It Down|2018-03-23|2018|3|23|https://genius.com/songs/3599119/apple_music_player
3580132|Nice For What|2018-04-06|2018|4|6|https://genius.com/songs/3580132/apple_music_player
84380|The One|2012-09-14|2012|9|14|https://genius.com/songs/84380/apple_music_player
57|Back That Azz Up|1999-02-24|1999|2|24|https://genius.com/songs/57/apple_music_player
2483335|Drug Dealers Anonymous|2016-05-31|2016|5|31|https://genius.com/songs/2483335/apple_music_player
214342|Used 2|2013-09-09|2013|9|9|https://genius.com/songs/214342/apple_music_player
176606|Freak Hoe|2013-04-18|2013|4|18|https://genius.com/songs/176606/apple_music_player
1562|Still Fly||2008|None|None|https://genius.com/songs/1562/apple_music_player
3985373|Perfect Strangers|2018-09-28|2018|9|28|https://genius.com/songs/3985373/apple_music_player
250|Go DJ|2004-10-05|2004|10|5|https://genius.com/songs/250/apple_music_player
240|Still Fly|2002-03-12|2002|3|12|https://genius.com/songs/240/apple_music_player
1100|Ha|1998-11-03|1998|11|3|https://genius.com/songs/1100/apple_music_player
1196|I Need a Hot Girl|1999-07-27|1999|7|27|https://genius.com/songs/1196/apple_music_player
1047|BM J.R.|2004-06-29|2004|6|29|https://genius.com/songs/1047/apple_music_player
3985352|Start This Shit Off Right|2018-09-28|2018|9|28|https://genius.com/songs/3985352/apple_music_player
9643|Bling Bling|1999-03-30|1999|3|30|https://genius.com/songs/9643/apple_music_player
10089|#1 Stunna|2000-06-07|2000|6|7|https://genius.com/songs/10089/apple_music_player
2433137|Gotta Lotta|2016-03-03|2016|3|3|https://genius.com/songs/2433137/apple_music_player
3015|I Miss My Dawgs|2004-06-29|2004|6|29|https://genius.com/songs/3015/apple_music_player
999|And Then What|2005-06-07|2005|6|7|https://genius.com/songs/999/apple_music_player
3263323|Big Bank|2017-10-27|2017|10|27|https://genius.com/songs/3263323/apple_music_player
214297|Black Unicorn|2013-09-09|2013|9|9|https://genius.com/songs/214297/apple_music_player
3795808|Drop|2018-06-21|2018|6|21|https://genius.com/songs/3795808/apple_music_player
530307|Go DJ|2014-10-03|2014|10|3|https://genius.com/songs/530307/apple_music_player
28749|Tha Block is Hot|1999-10-23|1999|10|23|https://genius.com/songs/28749/apple_music_player
2916687|Blonde Brigitte|2016-11-23|2016|11|23|https://genius.com/songs/2916687/apple_music_player
540|Seat Down Low|2007-04-13|2007|4|13|https://genius.com/songs/540/apple_music_player
3263356|1999|2017-10-27|2017|10|27|https://genius.com/songs/3263356/apple_music_player
45495|Big Shit Poppin' (Do It)|2007-05-29|2007|5|29|https://genius.com/songs/45495/apple_music_player
164|This is the Carter|2004-06-29|2004|6|29|https://genius.com/songs/164/apple_music_player
3263343|Subenstein (My Sub IV)|2017-10-27|2017|10|27|https://genius.com/songs/3263343/apple_music_player
24993|400 Degreez|1998-06-03|1998|6|3|https://genius.com/songs/24993/apple_music_player
3781033|Believe Dat|2018-06-07|2018|6|7|https://genius.com/songs/3781033/apple_music_player
4841|Shine|2000-12-19|2000|12|19|https://genius.com/songs/4841/apple_music_player
3263362|Get Away|2017-10-27|2017|10|27|https://genius.com/songs/3263362/apple_music_player
