song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
3004837|I'm the One|2017-04-28|2017|4|28|https://genius.com/songs/3004837/apple_music_player
3114474|Wild Thoughts|2017-06-16|2017|6|16|https://genius.com/songs/3114474/apple_music_player
2153759|All Eyes on You|2015-06-26|2015|6|26|https://genius.com/songs/2153759/apple_music_player
2311139|Down in the DM|2015-09-11|2015|9|11|https://genius.com/songs/2311139/apple_music_player
2486863|For Free|2016-06-03|2016|6|3|https://genius.com/songs/2486863/apple_music_player
80557|Diced Pineapples|2012-08-21|2012|8|21|https://genius.com/songs/80557/apple_music_player
3258567|Freaky Friday|2018-03-15|2018|3|15|https://genius.com/songs/3258567/apple_music_player
140752|No New Friends|2013-04-19|2013|4|19|https://genius.com/songs/140752/apple_music_player
2332450|Don't Mind|2015-07-27|2015|7|27|https://genius.com/songs/2332450/apple_music_player
70202|Cold|2012-04-17|2012|4|17|https://genius.com/songs/70202/apple_music_player
50025|I'm On One|2011-05-20|2011|5|20|https://genius.com/songs/50025/apple_music_player
2489998|I Got the Keys|2016-06-26|2016|6|26|https://genius.com/songs/2489998/apple_music_player
2825347|Do You Mind|2016-07-28|2016|7|28|https://genius.com/songs/2825347/apple_music_player
2985067|Shining|2017-02-12|2017|2|12|https://genius.com/songs/2985067/apple_music_player
2417475|Down In the DM (Remix)|2016-02-19|2016|2|19|https://genius.com/songs/2417475/apple_music_player
3844672|No Brainer|2018-07-27|2018|7|27|https://genius.com/songs/3844672/apple_music_player
2426099|Lockjaw|2016-02-19|2016|2|19|https://genius.com/songs/2426099/apple_music_player
493169|Hold You Down|2014-08-03|2014|8|3|https://genius.com/songs/493169/apple_music_player
3309397|Wanted You|2017-11-03|2017|11|3|https://genius.com/songs/3309397/apple_music_player
3556750|Top Off|2018-03-02|2018|3|2|https://genius.com/songs/3556750/apple_music_player
2823876|Holy Key|2016-07-22|2016|7|22|https://genius.com/songs/2823876/apple_music_player
