song_id,song_title,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url
75817,Little People,2006-01-01,2006,1,1,https://genius.com/songs/75817/apple_music_player
67125,Vocab!,2007-10-01,2007,10,1,https://genius.com/songs/67125/apple_music_player
72739,Hip-Hop ?,,,,,https://genius.com/songs/72739/apple_music_player
2899353,Stay Alive (Interlude),2016-12-02,2016,12,2,https://genius.com/songs/2899353/apple_music_player
59181,Sending My Love,,,,,https://genius.com/songs/59181/apple_music_player
2478509,Virginia Wolf,2014-10-09,2014,10,9,https://genius.com/songs/2478509/apple_music_player
2478304,Track 10,,,,,https://genius.com/songs/2478304/apple_music_player
2826959,Waiting 4 Ya,2016-07-22,2016,7,22,https://genius.com/songs/2826959/apple_music_player
2402552,Miss January,2006-05-30,2006,5,30,https://genius.com/songs/2402552/apple_music_player
2477280,Weight,2016-01-01,2016,1,1,https://genius.com/songs/2477280/apple_music_player
2477257,Pale Blue Dot,2012-02-01,2012,2,1,https://genius.com/songs/2477257/apple_music_player
159328,Signes Des Temps,,,,,https://genius.com/songs/159328/apple_music_player
884950,The Storm,,,,,https://genius.com/songs/884950/apple_music_player
3059855,RISE UP!,2017-04-19,2017,4,19,https://genius.com/songs/3059855/apple_music_player
261189,Recyclé,2007-10-01,2007,10,1,https://genius.com/songs/261189/apple_music_player
175982,I Wanna Know,,,,,https://genius.com/songs/175982/apple_music_player
2478293,Insomnia,,,,,https://genius.com/songs/2478293/apple_music_player
2478284,On A Mountain,,,,,https://genius.com/songs/2478284/apple_music_player
83261,Life Of Brian,,,,,https://genius.com/songs/83261/apple_music_player
515939,The Drive,,,,,https://genius.com/songs/515939/apple_music_player
78950,American Fado,,,,,https://genius.com/songs/78950/apple_music_player
168428,Groundwork,,,,,https://genius.com/songs/168428/apple_music_player
2478322,Moon and Back,,,,,https://genius.com/songs/2478322/apple_music_player
2478308,Phantasm,,,,,https://genius.com/songs/2478308/apple_music_player
2474393,Strangers,,,,,https://genius.com/songs/2474393/apple_music_player
2479742,Carousel,,,,,https://genius.com/songs/2479742/apple_music_player
2481653,Shabach,,,,,https://genius.com/songs/2481653/apple_music_player
2478321,Fall to Fly,,,,,https://genius.com/songs/2478321/apple_music_player
2477196,Holding On,2009-05-01,2009,5,1,https://genius.com/songs/2477196/apple_music_player
2478510,The Fringe,,,,,https://genius.com/songs/2478510/apple_music_player
3453896,Message from You,2017-08-24,2017,8,24,https://genius.com/songs/3453896/apple_music_player
2481659,I'll Fly,,,,,https://genius.com/songs/2481659/apple_music_player
2479773,Jiminy Cricket,,,,,https://genius.com/songs/2479773/apple_music_player
35916,The Find,,,,,https://genius.com/songs/35916/apple_music_player
2478279,Today,,,,,https://genius.com/songs/2478279/apple_music_player
4315027,Close,2019-02-15,2019,2,15,https://genius.com/songs/4315027/apple_music_player
1799247,Simple Song,,,,,https://genius.com/songs/1799247/apple_music_player
2477235,Nothing Without Providence,2011-06-01,2011,6,1,https://genius.com/songs/2477235/apple_music_player
2477231,Fear and Safety,2011-06-01,2011,6,1,https://genius.com/songs/2477231/apple_music_player
251827,December,2013-09-24,2013,9,24,https://genius.com/songs/251827/apple_music_player
2477254,Shower Curtains,2011-06-01,2011,6,1,https://genius.com/songs/2477254/apple_music_player
2478317,The Drum,,,,,https://genius.com/songs/2478317/apple_music_player
251826,Modern Warfare,2013-09-24,2013,9,24,https://genius.com/songs/251826/apple_music_player
2481657,For The Camera,,,,,https://genius.com/songs/2481657/apple_music_player
1134862,Anybody,,,,,https://genius.com/songs/1134862/apple_music_player
2477250,Neon Signs,2011-06-01,2011,6,1,https://genius.com/songs/2477250/apple_music_player
2478319,DNA,,,,,https://genius.com/songs/2478319/apple_music_player
2477237,Depression is a Liar,2011-06-01,2011,6,1,https://genius.com/songs/2477237/apple_music_player
2478299,Iron Vox,,,,,https://genius.com/songs/2478299/apple_music_player
203789,High Powered,,,,,https://genius.com/songs/203789/apple_music_player
2477194,Target Market,2009-05-01,2009,5,1,https://genius.com/songs/2477194/apple_music_player
2477246,So,2011-06-01,2011,6,1,https://genius.com/songs/2477246/apple_music_player
2478320,EXPLOSIAAAN!,,,,,https://genius.com/songs/2478320/apple_music_player
2477287,Burning Beacon,2016-01-01,2016,1,1,https://genius.com/songs/2477287/apple_music_player
2481663,Fight Here,,,,,https://genius.com/songs/2481663/apple_music_player
3298243,Soul II Stro,2017-01-03,2017,1,3,https://genius.com/songs/3298243/apple_music_player
2477259,Old Man Perez,2012-02-01,2012,2,1,https://genius.com/songs/2477259/apple_music_player
2477200,Apples Apples,2009-05-01,2009,5,1,https://genius.com/songs/2477200/apple_music_player
2477304,Catch as Catch Can pt 2,2016-01-01,2016,1,1,https://genius.com/songs/2477304/apple_music_player
2478288,Badges,,,,,https://genius.com/songs/2478288/apple_music_player
2478507,LUSH,,,,,https://genius.com/songs/2478507/apple_music_player
2477266,The Rockies,2012-06-01,2012,6,1,https://genius.com/songs/2477266/apple_music_player
2477263,What of Love,2012-02-01,2012,2,1,https://genius.com/songs/2477263/apple_music_player
2478276,Foreword,,,,,https://genius.com/songs/2478276/apple_music_player
2477191,Last Stars,2009-05-01,2009,5,1,https://genius.com/songs/2477191/apple_music_player
