song_id,song_title,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url
3315890,God's Plan,2018-01-19,2018,1,19,https://genius.com/songs/3315890/apple_music_player
2398213,Work,2016-01-27,2016,1,27,https://genius.com/songs/2398213/apple_music_player
93539,Fuckin' Problems,2012-10-24,2012,10,24,https://genius.com/songs/93539/apple_music_player
3807759,In My Feelings,2018-06-29,2018,6,29,https://genius.com/songs/3807759/apple_music_player
2263723,Hotline Bling,2015-07-25,2015,7,25,https://genius.com/songs/2263723/apple_music_player
2450584,One Dance,2016-04-05,2016,4,5,https://genius.com/songs/2450584/apple_music_player
200546,Hold On, We're Going Home,2013-08-07,2013,8,7,https://genius.com/songs/200546/apple_music_player
2266961,Back to Back,2015-07-29,2015,7,29,https://genius.com/songs/2266961/apple_music_player
196551,All Me,2013-09-24,2013,9,24,https://genius.com/songs/196551/apple_music_player
156640,0 to 100 / The Catch Up,2014-06-01,2014,6,1,https://genius.com/songs/156640/apple_music_player
217270,From Time,2013-09-24,2013,9,24,https://genius.com/songs/217270/apple_music_player
113898,Started from the Bottom,2013-02-06,2013,2,6,https://genius.com/songs/113898/apple_music_player
58325,The Motto,2011-11-15,2011,11,15,https://genius.com/songs/58325/apple_music_player
218330,Pound Cake / Paris Morton Music 2,2013-09-24,2013,9,24,https://genius.com/songs/218330/apple_music_player
693878,Blessings,2015-01-29,2015,1,29,https://genius.com/songs/693878/apple_music_player
105686,Love Me,2013-01-18,2013,1,18,https://genius.com/songs/105686/apple_music_player
58343,HYFR,2012-04-24,2012,4,24,https://genius.com/songs/58343/apple_music_player
3580132,Nice For What,2018-04-06,2018,4,6,https://genius.com/songs/3580132/apple_music_player
703741,Energy,2015-02-13,2015,2,13,https://genius.com/songs/703741/apple_music_player
2463402,Too Good,2016-04-29,2016,4,29,https://genius.com/songs/2463402/apple_music_player
3028662,Passionfruit,2017-03-18,2017,3,18,https://genius.com/songs/3028662/apple_music_player
2463387,Child's Play,2016-04-29,2016,4,29,https://genius.com/songs/2463387/apple_music_player
217263,Furthest Thing,2013-09-24,2013,9,24,https://genius.com/songs/217263/apple_music_player
50895,Marvin's Room,2011-06-28,2011,6,28,https://genius.com/songs/50895/apple_music_player
58661,Over My Dead Body,2011-11-15,2011,11,15,https://genius.com/songs/58661/apple_music_player
703387,Jungle,2015-02-13,2015,2,13,https://genius.com/songs/703387/apple_music_player
217274,The Language,2013-09-24,2013,9,24,https://genius.com/songs/217274/apple_music_player
2415289,Summer Sixteen,2016-01-31,2016,1,31,https://genius.com/songs/2415289/apple_music_player
2442052,Come and See Me,2016-03-20,2016,3,20,https://genius.com/songs/2442052/apple_music_player
140797,Girls Love Beyoncé,2013-04-16,2013,4,16,https://genius.com/songs/140797/apple_music_player
72995,No Lie,2012-05-08,2012,5,8,https://genius.com/songs/72995/apple_music_player
3702977,Yes Indeed,2018-05-12,2018,5,12,https://genius.com/songs/3702977/apple_music_player
