song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
559003|Fuck Up Some Commas|2014-03-02|2014|3|2|https://genius.com/songs/559003/apple_music_player
658724|Flex (Ooh, Ooh, Ooh)|2015-02-09|2015|2|9|https://genius.com/songs/658724/apple_music_player
2152746|Blasé|2015-06-16|2015|6|16|https://genius.com/songs/2152746/apple_music_player
66225|Cashin Out|2012-04-25|2012|4|25|https://genius.com/songs/66225/apple_music_player
201881|Honest|2013-08-19|2013|8|19|https://genius.com/songs/201881/apple_music_player
2989255|Draco|2017-02-17|2017|2|17|https://genius.com/songs/2989255/apple_music_player
2339761|Order More|2015-11-13|2015|11|13|https://genius.com/songs/2339761/apple_music_player
2304247|Bake Sale|2016-01-21|2016|1|21|https://genius.com/songs/2304247/apple_music_player
105561|Nothin On Ya|2013-02-12|2013|2|12|https://genius.com/songs/105561/apple_music_player
87067|Cashed Out|2012-09-03|2012|9|3|https://genius.com/songs/87067/apple_music_player
1787446|Moses|2015-08-22|2015|8|22|https://genius.com/songs/1787446/apple_music_player
2214964|Slave Master|2015-07-17|2015|7|17|https://genius.com/songs/2214964/apple_music_player
2417794|Fly Shit Only|2016-02-04|2016|2|4|https://genius.com/songs/2417794/apple_music_player
403938|She Twerkin|2014-02-14|2014|2|14|https://genius.com/songs/403938/apple_music_player
2417555|Lie to Me|2016-02-12|2016|2|12|https://genius.com/songs/2417555/apple_music_player
161710|Irie|2013-01-01|2013|1|1|https://genius.com/songs/161710/apple_music_player
404303|Porn Star|2015-04-15|2015|4|15|https://genius.com/songs/404303/apple_music_player
55161|Ayy Ladies|||||https://genius.com/songs/55161/apple_music_player
2291908|Bottom of the Bottle|2015-12-04|2015|12|4|https://genius.com/songs/2291908/apple_music_player
75092|Rooster in My Rari|2012-06-08|2012|6|8|https://genius.com/songs/75092/apple_music_player
490066|Let's Get It|2014-02-21|2014|2|21|https://genius.com/songs/490066/apple_music_player
60643|Riot|2011-11-01|2011|11|1|https://genius.com/songs/60643/apple_music_player
3103914|Love N Hennessy|2017-05-29|2017|5|29|https://genius.com/songs/3103914/apple_music_player
