song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
3930546|The Ringer|2018-08-31|2018|8|31|https://genius.com/songs/3930546/apple_music_player
711649|ULTIMATE|2015-06-06|2015|6|6|https://genius.com/songs/711649/apple_music_player
3944360|I Love It|2018-09-06|2018|9|6|https://genius.com/songs/3944360/apple_music_player
3937522|RAP DEVIL|2018-09-03|2018|9|3|https://genius.com/songs/3937522/apple_music_player
3930563|Not Alike|2018-08-31|2018|8|31|https://genius.com/songs/3930563/apple_music_player
2475713|Take a Step Back|2016-05-16|2016|5|16|https://genius.com/songs/2475713/apple_music_player
2431237|#ImSippinTeaInYoHood|2016-02-26|2016|2|26|https://genius.com/songs/2431237/apple_music_player
3361009|A GHETTO CHRISTMAS CAROL|2017-12-10|2017|12|10|https://genius.com/songs/3361009/apple_music_player
3244970|Hi Bich|2017-09-21|2017|9|21|https://genius.com/songs/3244970/apple_music_player
3091079|Audi.|2017-05-17|2017|5|17|https://genius.com/songs/3091079/apple_music_player
3078863|Gospel|2017-05-11|2017|5|11|https://genius.com/songs/3078863/apple_music_player
3360875|UP LIKE AN INSOMNIAC (Freestyle)|2017-12-10|2017|12|10|https://genius.com/songs/3360875/apple_music_player
3887979|BEBE|2018-08-31|2018|8|31|https://genius.com/songs/3887979/apple_music_player
3023327|Flex Like Ouu|2017-03-14|2017|3|14|https://genius.com/songs/3023327/apple_music_player
3121471|Molly|2017-06-26|2017|6|26|https://genius.com/songs/3121471/apple_music_player
3249996|​hate will never win|2017-12-10|2017|12|10|https://genius.com/songs/3249996/apple_music_player
3394695|#PROUDCATOWNER #IHATERAPPERS #IEATPUSSY|2017-12-26|2017|12|26|https://genius.com/songs/3394695/apple_music_player
2416243|ULT|2016-02-01|2016|2|1|https://genius.com/songs/2416243/apple_music_player
2413809|SpaceGhostPussy|2016-01-24|2016|1|24|https://genius.com/songs/2413809/apple_music_player
3441937|Hi Bich (Remix)|2018-01-16|2018|1|16|https://genius.com/songs/3441937/apple_music_player
110341|Threatz|2013-09-03|2013|9|3|https://genius.com/songs/110341/apple_music_player
3798091|Kream|2018-07-06|2018|7|6|https://genius.com/songs/3798091/apple_music_player
2436592|Gook|2016-03-09|2016|3|9|https://genius.com/songs/2436592/apple_music_player
2436642|This Life|2016-03-09|2016|3|9|https://genius.com/songs/2436642/apple_music_player
3253905|Fingers Blue|2017-09-29|2017|9|29|https://genius.com/songs/3253905/apple_music_player
3299779|Red Light!|2017-12-10|2017|12|10|https://genius.com/songs/3299779/apple_music_player
2424612|Knotty Head|2016-02-17|2016|2|17|https://genius.com/songs/2424612/apple_music_player
2906194|Broke My Wrist|2016-11-11|2016|11|11|https://genius.com/songs/2906194/apple_music_player
3244973|Whachu Know|2017-09-21|2017|9|21|https://genius.com/songs/3244973/apple_music_player
4074631|LA LA|2018-11-30|2018|11|30|https://genius.com/songs/4074631/apple_music_player
3254308|Phantom|2017-09-28|2017|9|28|https://genius.com/songs/3254308/apple_music_player
213550|Zone 3|2013-09-03|2013|9|3|https://genius.com/songs/213550/apple_music_player
3600862|Let It Eat|2018-03-23|2018|3|23|https://genius.com/songs/3600862/apple_music_player
3285909|SWITCH IT UP | ZWITCH 1T UP|2018-07-26|2018|7|26|https://genius.com/songs/3285909/apple_music_player
3285921|BLACK METAL TERRORIST | 13 M T|2018-07-27|2018|7|27|https://genius.com/songs/3285921/apple_music_player
2436621|Sick & Tired|2016-03-09|2016|3|9|https://genius.com/songs/2436621/apple_music_player
3573702|Power|2018-03-16|2018|3|16|https://genius.com/songs/3573702/apple_music_player
2436600|Zenith|2016-03-09|2016|3|9|https://genius.com/songs/2436600/apple_music_player
3150289|OK|2017-07-09|2017|7|9|https://genius.com/songs/3150289/apple_music_player
3261781|Smoke My Dope|2017-10-06|2017|10|6|https://genius.com/songs/3261781/apple_music_player
2946868|Movin|2017-02-03|2017|2|3|https://genius.com/songs/2946868/apple_music_player
2483655|Dr. Eggman|2016-05-20|2016|5|20|https://genius.com/songs/2483655/apple_music_player
3969692|LATELY|2018-09-21|2018|9|21|https://genius.com/songs/3969692/apple_music_player
