song_id,song_title,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url
5803,John,2011-03-24,2011,3,24,https://genius.com/songs/5803/apple_music_player
765,Aston Martin Music,2010-10-05,2010,10,5,https://genius.com/songs/765/apple_music_player
365956,Thug Cry,2014-03-13,2014,3,13,https://genius.com/songs/365956/apple_music_player
80551,Sixteen,2012-07-30,2012,7,30,https://genius.com/songs/80551/apple_music_player
2468521,Tru,2016-05-06,2016,5,6,https://genius.com/songs/2468521/apple_music_player
83921,Hip Hop,2012-08-21,2012,8,21,https://genius.com/songs/83921/apple_music_player
52025,Hood Gone Love It,2011-06-21,2011,6,21,https://genius.com/songs/52025/apple_music_player
664599,Till I Die,2015-01-05,2015,1,5,https://genius.com/songs/664599/apple_music_player
213197,No Games,2013-09-06,2013,9,6,https://genius.com/songs/213197/apple_music_player
62989,Triple Beam Dreams,2012-01-01,2012,1,1,https://genius.com/songs/62989/apple_music_player
3295275,Lovin',2017-11-17,2017,11,17,https://genius.com/songs/3295275/apple_music_player
78860,No Introduction,2012-07-17,2012,7,17,https://genius.com/songs/78860/apple_music_player
69085,See My Tears,2012-03-20,2012,3,20,https://genius.com/songs/69085/apple_music_player
80558,Ten Jesus Pieces,2012-07-30,2012,7,30,https://genius.com/songs/80558/apple_music_player
56503,F.A.M.E.,2011-10-11,2011,10,11,https://genius.com/songs/56503/apple_music_player
2293385,Foreclosures,2015-09-03,2015,9,3,https://genius.com/songs/2293385/apple_music_player
166814,Roaming Around,2016-01-25,2016,1,25,https://genius.com/songs/166814/apple_music_player
720,Maybach Music II,2009-05-19,2009,5,19,https://genius.com/songs/720/apple_music_player
2025369,Till I Die: Part II,2013-04-13,2013,4,13,https://genius.com/songs/2025369/apple_music_player
719,Maybach Music,2008-03-11,2008,3,11,https://genius.com/songs/719/apple_music_player
1907,I'm Not a Star,2010-07-20,2010,7,20,https://genius.com/songs/1907/apple_music_player
161011,Oil Money Gang,2013-07-23,2013,7,23,https://genius.com/songs/161011/apple_music_player
2788,Knockout,2010-02-02,2010,2,2,https://genius.com/songs/2788/apple_music_player
59232,Write Your Name,2011-11-21,2011,11,21,https://genius.com/songs/59232/apple_music_player
80550,Maybach Music IV,2012-07-30,2012,7,30,https://genius.com/songs/80550/apple_music_player
217110,Substitute Everything,2013-09-11,2013,9,11,https://genius.com/songs/217110/apple_music_player
718416,Medley 2015,2015-03-06,2015,3,6,https://genius.com/songs/718416/apple_music_player
2379069,Trust Me,2015-11-26,2015,11,26,https://genius.com/songs/2379069/apple_music_player
285937,No Games (Remix),2013-12-03,2013,12,3,https://genius.com/songs/285937/apple_music_player
53473,Body 2 Body,2011-07-26,2011,7,26,https://genius.com/songs/53473/apple_music_player
40241,Mafia Music (Remix),,,,,https://genius.com/songs/40241/apple_music_player
2199,I Don't Deserve You,2010-11-22,2010,11,22,https://genius.com/songs/2199/apple_music_player
