song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
452|Ms. Jackson|2000-10-03|2000|10|3|https://genius.com/songs/452/apple_music_player
164344|LAnd of the Snakes|2013-06-18|2013|6|18|https://genius.com/songs/164344/apple_music_player
3459|Aquemini|1998-09-29|1998|9|29|https://genius.com/songs/3459/apple_music_player
450|B.O.B|2000-09-19|2000|9|19|https://genius.com/songs/450/apple_music_player
451|Rosa Parks|1998-07-15|1998|7|15|https://genius.com/songs/451/apple_music_player
3845|Da Art of Storytellin' (Pt. 1)|1999-05-25|1999|5|25|https://genius.com/songs/3845/apple_music_player
402714|Benz Friendz (Whatchutola)|2014-04-22|2014|4|22|https://genius.com/songs/402714/apple_music_player
1867|Jazzy Belle|1996-08-27|1996|8|27|https://genius.com/songs/1867/apple_music_player
4633|Da Art of Storytellin' (Pt. 2)|1998-09-29|1998|9|29|https://genius.com/songs/4633/apple_music_player
36234|Synthesizer|1998-09-29|1998|9|29|https://genius.com/songs/36234/apple_music_player
36224|Mamacita|1998-09-29|1998|9|29|https://genius.com/songs/36224/apple_music_player
36292|Gasoline Dreams|2000-10-31|2000|10|31|https://genius.com/songs/36292/apple_music_player
36240|Wheelz of Steel|1996-08-27|1996|8|27|https://genius.com/songs/36240/apple_music_player
36293|Humble Mumble|2000-10-31|2000|10|31|https://genius.com/songs/36293/apple_music_player
4717|Mainstream|1996-08-27|1996|8|27|https://genius.com/songs/4717/apple_music_player
2183|Daddy Fat Sax|2010-07-06|2010|7|6|https://genius.com/songs/2183/apple_music_player
36301|Slum Beautiful|2000-10-31|2000|10|31|https://genius.com/songs/36301/apple_music_player
36294|Gangsta Shit|2000-10-31|2000|10|31|https://genius.com/songs/36294/apple_music_player
36300|Snappin' and Trappin'|2001-10-31|2001|10|31|https://genius.com/songs/36300/apple_music_player
6063|Unhappy|2003-09-23|2003|9|23|https://genius.com/songs/6063/apple_music_player
36226|Y'All Scared|1998-09-29|1998|9|29|https://genius.com/songs/36226/apple_music_player
36297|Red Velvet|2000-10-31|2000|10|31|https://genius.com/songs/36297/apple_music_player
5666|Black Ice|1998-04-07|1998|4|7|https://genius.com/songs/5666/apple_music_player
36299|I'll Call B4 I Cum|2000-10-31|2000|10|31|https://genius.com/songs/36299/apple_music_player
36305|Toilet Tisha|2000-10-31|2000|10|31|https://genius.com/songs/36305/apple_music_player
36242|Ova da Wudz|1996-08-27|1996|8|27|https://genius.com/songs/36242/apple_music_player
36306|Xplosion|2000-10-31|2000|10|31|https://genius.com/songs/36306/apple_music_player
4755|Flip Flop Rock|2003-09-23|2003|9|23|https://genius.com/songs/4755/apple_music_player
101319|Apple of My Eye|2012-12-11|2012|12|11|https://genius.com/songs/101319/apple_music_player
36295|Stankonia (Stanklove)|2000-10-31|2000|10|31|https://genius.com/songs/36295/apple_music_player
36268|Da Art of Storytellin' Part 1 (Remix)|1999-05-25|1999|5|25|https://genius.com/songs/36268/apple_music_player
56911|?|2000-10-31|2000|10|31|https://genius.com/songs/56911/apple_music_player
26313|A.D.I.D.A.S.|2003-03-11|2003|3|11|https://genius.com/songs/26313/apple_music_player
325468|Intro|2000-10-31|2000|10|31|https://genius.com/songs/325468/apple_music_player
21531|Goodie Bag|1995-11-07|1995|11|7|https://genius.com/songs/21531/apple_music_player
345466|Kim & Cookie (Interlude)|2000-10-31|2000|10|31|https://genius.com/songs/345466/apple_music_player
18742|Throw Your Hands Up|1999-05-18|1999|5|18|https://genius.com/songs/18742/apple_music_player
36290|War|2003-09-23|2003|9|23|https://genius.com/songs/36290/apple_music_player
18744|Paid Dues|||||https://genius.com/songs/18744/apple_music_player
345479|Drinkin' Again (Interlude)|2000-10-31|2000|10|31|https://genius.com/songs/345479/apple_music_player
40181|And I Love You|||||https://genius.com/songs/40181/apple_music_player
34642|Neck Uv Da Woods|2000-09-26|2000|9|26|https://genius.com/songs/34642/apple_music_player
21513|Black Ice (Goodie Mob Version)|||||https://genius.com/songs/21513/apple_music_player
14422|Make My Day|2008-12-09|2008|12|9|https://genius.com/songs/14422/apple_music_player
36266|Phobia|1995-01-03|1995|1|3|https://genius.com/songs/36266/apple_music_player
4962|Still Standing|1998-04-07|1998|4|7|https://genius.com/songs/4962/apple_music_player
36302|Speedballin'|2001-06-05|2001|6|5|https://genius.com/songs/36302/apple_music_player
36267|So Fresh, So Clean (Stankonia Remix)|2001-10-09|2001|10|9|https://genius.com/songs/36267/apple_music_player
18284|Crooked Booty|2001-11-20|2001|11|20|https://genius.com/songs/18284/apple_music_player
36307|Sole Sunday|2000-01-04|2000|1|4|https://genius.com/songs/36307/apple_music_player
36248|BuggFace|2006-08-22|2006|8|22|https://genius.com/songs/36248/apple_music_player
36270|Tough Guy|2000-06-06|2000|6|6|https://genius.com/songs/36270/apple_music_player
201613|Changes|2008-11-06|2008|11|6|https://genius.com/songs/201613/apple_music_player
14428|Everywhere|2008-12-09|2008|12|9|https://genius.com/songs/14428/apple_music_player
34633|Ain't Gonna See Tomorrow|2000-06-06|2000|6|6|https://genius.com/songs/34633/apple_music_player
18294|On & On & On|2001-11-20|2001|11|20|https://genius.com/songs/18294/apple_music_player
36265|High Schoolin'|1999-11-09|1999|11|9|https://genius.com/songs/36265/apple_music_player
26319|Monster|2003-03-11|2003|3|11|https://genius.com/songs/26319/apple_music_player
21546|All A's|1999-12-21|1999|12|21|https://genius.com/songs/21546/apple_music_player
34634|The Braids|2000-09-26|2000|9|26|https://genius.com/songs/34634/apple_music_player
26307|My Chrome|||||https://genius.com/songs/26307/apple_music_player
