song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
3214267|Gucci Gang|2017-08-27|2017|8|27|https://genius.com/songs/3214267/apple_music_player
2977800|Witchblades|2017-02-06|2017|2|6|https://genius.com/songs/2977800/apple_music_player
3349567|Gucci Gang (Remix)|2017-12-04|2017|12|4|https://genius.com/songs/3349567/apple_music_player
3121471|Molly|2017-06-26|2017|6|26|https://genius.com/songs/3121471/apple_music_player
2977816|Your Favorite Dress|2017-02-06|2017|2|6|https://genius.com/songs/2977816/apple_music_player
3891788|FFM Freestyle: Big Baby Tape | Фристайл под треки Tay-K, BlocBoy JB, Madvillain, Lil Pump, Каспийский Груз (KG)|2018-08-10|2018|8|10|https://genius.com/songs/3891788/apple_music_player
3675703|Overdose|2018-04-27|2018|4|27|https://genius.com/songs/3675703/apple_music_player
2857718|Took Time|2016-09-13|2016|9|13|https://genius.com/songs/2857718/apple_music_player
3246992|Crazy|2017-10-06|2017|10|6|https://genius.com/songs/3246992/apple_music_player
3587995|Gucci Gang (Mega Remix)|2018-03-17|2018|3|17|https://genius.com/songs/3587995/apple_music_player
2820919|Ok Dexter|2016-07-11|2016|7|11|https://genius.com/songs/2820919/apple_music_player
3250288|Benz Truck, Pt. 2|2017-09-25|2017|9|25|https://genius.com/songs/3250288/apple_music_player
3298999|Gucci Gang|2017-10-13|2017|10|13|https://genius.com/songs/3298999/apple_music_player
2148901|Kyrie Irving|||||https://genius.com/songs/2148901/apple_music_player
3261776|Youngest Flexer|2017-10-06|2017|10|6|https://genius.com/songs/3261776/apple_music_player
3166893|Whitney|2017-10-06|2017|10|6|https://genius.com/songs/3166893/apple_music_player
2977787|Never Eat, Never Sleep|2017-02-06|2017|2|6|https://genius.com/songs/2977787/apple_music_player
3033496|Suicide|2017-03-22|2017|3|22|https://genius.com/songs/3033496/apple_music_player
3261777|At the Door|2017-10-06|2017|10|6|https://genius.com/songs/3261777/apple_music_player
2862056|New Glock|2016-09-19|2016|9|19|https://genius.com/songs/2862056/apple_music_player
2922676|Pictures|2016-12-01|2016|12|1|https://genius.com/songs/2922676/apple_music_player
3302735|Gucci Gang (Remix)|2017-11-03|2017|11|3|https://genius.com/songs/3302735/apple_music_player
3471075|Groupie Gang|2018-01-26|2018|1|26|https://genius.com/songs/3471075/apple_music_player
3001994|Oh|2017-02-23|2017|2|23|https://genius.com/songs/3001994/apple_music_player
2467983|Whoa|2016-05-05|2016|5|5|https://genius.com/songs/2467983/apple_music_player
3590357|You Ain't Livin' Life Like Me*|2019-02-22|2019|2|22|https://genius.com/songs/3590357/apple_music_player
3126616|Pictures 2|2017-06-17|2017|6|17|https://genius.com/songs/3126616/apple_music_player
3026544|This Year|2017-03-20|2017|3|20|https://genius.com/songs/3026544/apple_music_player
2862058|SammyDexMaxo|2016-09-19|2016|9|19|https://genius.com/songs/2862058/apple_music_player
3594338|Gucci Gang (Spanish Remix)|2018-03-20|2018|3|20|https://genius.com/songs/3594338/apple_music_player
3604098|Boogie Bomb (Fortnite Gucci Gang Parody)|2018-01-07|2018|1|7|https://genius.com/songs/3604098/apple_music_player
3009380|SAME SHIT|2017-02-02|2017|2|2|https://genius.com/songs/3009380/apple_music_player
