song_id,song_title,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url
1207,Devil in a New Dress,2010-11-22,2010,11,22,https://genius.com/songs/1207/apple_music_player
176774,Jodeci Freestyle,2013-06-22,2013,6,22,https://genius.com/songs/176774/apple_music_player
1287,Villematic,2010-11-12,2010,11,12,https://genius.com/songs/1287/apple_music_player
133475,Who Do We Think We Are,2013-03-25,2013,3,25,https://genius.com/songs/133475/apple_music_player
174,The Ruler's Back,2001-09-11,2001,9,11,https://genius.com/songs/174/apple_music_player
2270734,It's All on Me,2015-08-07,2015,8,7,https://genius.com/songs/2270734/apple_music_player
907,Blueprint (Momma Loves Me),2001-09-11,2001,9,11,https://genius.com/songs/907/apple_music_player
3220,All I Need,2001-09-11,2001,9,11,https://genius.com/songs/3220/apple_music_player
3019828,Santorini Greece,2017-03-17,2017,3,17,https://genius.com/songs/3019828/apple_music_player
365964,Mafia Music III,2014-03-04,2014,3,4,https://genius.com/songs/365964/apple_music_player
3934,Wolves In Sheeps Clothing,2011-01-01,2011,1,1,https://genius.com/songs/3934/apple_music_player
190198,Don't Leave Me,1997-02-23,1997,2,23,https://genius.com/songs/190198/apple_music_player
75260,Pride N Joy,2012-05-23,2012,5,23,https://genius.com/songs/75260/apple_music_player
70131,What It Look Like,2012-04-10,2012,4,10,https://genius.com/songs/70131/apple_music_player
40241,Mafia Music (Remix),,,,,https://genius.com/songs/40241/apple_music_player
24439,1-900-Hustler,2000-10-31,2000,10,31,https://genius.com/songs/24439/apple_music_player
34997,I Got Love,2001-12-04,2001,12,4,https://genius.com/songs/34997/apple_music_player
3019847,Scientology,2017-03-17,2017,3,17,https://genius.com/songs/3019847/apple_music_player
3019843,Game Ain't Based On Sympathy,2017-03-17,2017,3,17,https://genius.com/songs/3019843/apple_music_player
5808,You, Me, Him and Her,2000-10-31,2000,10,31,https://genius.com/songs/5808/apple_music_player
1579,Beasts from the East,1997-06-17,1997,6,17,https://genius.com/songs/1579/apple_music_player
77030,Jay-Z Interview,,,,,https://genius.com/songs/77030/apple_music_player
112956,I Am Forgiven,2013-01-28,2013,1,28,https://genius.com/songs/112956/apple_music_player
63556,Another You,2012-02-14,2012,2,14,https://genius.com/songs/63556/apple_music_player
40214,Cigar Music,2009-02-13,2009,2,13,https://genius.com/songs/40214/apple_music_player
4891,Soo Woo,2011-01-24,2011,1,24,https://genius.com/songs/4891/apple_music_player
215359,So Gone,,,,,https://genius.com/songs/215359/apple_music_player
3176473,LaVar Ball Diss Track,2017-07-28,2017,7,28,https://genius.com/songs/3176473/apple_music_player
128436,Face 2 Face (Intro),2010-11-16,2010,11,16,https://genius.com/songs/128436/apple_music_player
22015,Animal Planet,2002-12-10,2002,12,10,https://genius.com/songs/22015/apple_music_player
156967,Respect Ya Passion,2013-01-01,2013,1,1,https://genius.com/songs/156967/apple_music_player
34992,Backdoor,2001-12-04,2001,12,4,https://genius.com/songs/34992/apple_music_player
657707,2014,,,,,https://genius.com/songs/657707/apple_music_player
133594,Another You (Remix),,,,,https://genius.com/songs/133594/apple_music_player
2876266,Good Night,2016-10-07,2016,10,7,https://genius.com/songs/2876266/apple_music_player
33993,Lights, Camera, Action!,2001-08-12,2001,8,12,https://genius.com/songs/33993/apple_music_player
31263,Four Minutes to Lock Down,2009-05-19,2009,5,19,https://genius.com/songs/31263/apple_music_player
20325,All My Life,2003-02-25,2003,2,25,https://genius.com/songs/20325/apple_music_player
82984,40 Bars,,,,,https://genius.com/songs/82984/apple_music_player
3128188,Layers (The Bar Exam 4),2017-06-20,2017,6,20,https://genius.com/songs/3128188/apple_music_player
2938817,Stunt,2018-11-02,2018,11,2,https://genius.com/songs/2938817/apple_music_player
74951,Living Better Now,,,,,https://genius.com/songs/74951/apple_music_player
35010,I Got Love Remix,2001-12-04,2001,12,4,https://genius.com/songs/35010/apple_music_player
33997,Lights, Camera, Action (Remix),,,,,https://genius.com/songs/33997/apple_music_player
40258,We Shinin',2008-03-11,2008,3,11,https://genius.com/songs/40258/apple_music_player
340457,My Crib,2013-09-30,2013,9,30,https://genius.com/songs/340457/apple_music_player
37814,Rock Dat Shit,2000-11-14,2000,11,14,https://genius.com/songs/37814/apple_music_player
28511,Play Around,1999-06-08,1999,6,8,https://genius.com/songs/28511/apple_music_player
9339,Ride 4 My,2000-02-29,2000,2,29,https://genius.com/songs/9339/apple_music_player
23664,For You,2009-10-06,2009,10,6,https://genius.com/songs/23664/apple_music_player
27220,Girls All Pause,1999-11-16,1999,11,16,https://genius.com/songs/27220/apple_music_player
13041,Damn I Miss the Game,2007-11-06,2007,11,6,https://genius.com/songs/13041/apple_music_player
7278,Boyz 2 Men,,,,,https://genius.com/songs/7278/apple_music_player
22023,Silent,2002-12-10,2002,12,10,https://genius.com/songs/22023/apple_music_player
2981409,Mama Loves Me,2016-11-18,2016,11,18,https://genius.com/songs/2981409/apple_music_player
9300,One Shot Deal,2005-03-29,2005,3,29,https://genius.com/songs/9300/apple_music_player
218907,Homeboy,,,,,https://genius.com/songs/218907/apple_music_player
