song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
3807759|In My Feelings|2018-06-29|2018|6|29|https://genius.com/songs/3807759/apple_music_player
525021|Beetle Juice|2014-09-24|2014|9|24|https://genius.com/songs/525021/apple_music_player
178948|Black Tuxedos|2013-06-26|2013|6|26|https://genius.com/songs/178948/apple_music_player
439921|Serve On|2014-05-26|2014|5|26|https://genius.com/songs/439921/apple_music_player
3060715|Momma (Outro)|2017-05-26|2017|5|26|https://genius.com/songs/3060715/apple_music_player
3005025|Sleeping Wit My 9|||||https://genius.com/songs/3005025/apple_music_player
623097|Trappin' Benny|||||https://genius.com/songs/623097/apple_music_player
2333870|Out the Bowl|2015-05-15|2015|5|15|https://genius.com/songs/2333870/apple_music_player
3890742|In My Feelings (Remix)|2018-08-09|2018|8|9|https://genius.com/songs/3890742/apple_music_player
1884328|Where Yo Trap At|2015-05-20|2015|5|20|https://genius.com/songs/1884328/apple_music_player
2329173|Plottin|||||https://genius.com/songs/2329173/apple_music_player
3097172|Watch Me|2017-05-19|2017|5|19|https://genius.com/songs/3097172/apple_music_player
2402946|Go Crazy|||||https://genius.com/songs/2402946/apple_music_player
2144716|I'm Going|2015-05-20|2015|5|20|https://genius.com/songs/2144716/apple_music_player
3453472|Tell Nobody|2017-01-27|2017|1|27|https://genius.com/songs/3453472/apple_music_player
3226519|Semi|2017-09-05|2017|9|5|https://genius.com/songs/3226519/apple_music_player
3828417|​in my chillin|2018-07-09|2018|7|9|https://genius.com/songs/3828417/apple_music_player
3917884|6AM Freestyle|2018-08-23|2018|8|23|https://genius.com/songs/3917884/apple_music_player
4053492|Pull Up|2018-10-30|2018|10|30|https://genius.com/songs/4053492/apple_music_player
3268975|Sugar Trap|2017-10-24|2017|10|24|https://genius.com/songs/3268975/apple_music_player
2844306|Battle of the Bands (I'm Back)|2016-08-23|2016|8|23|https://genius.com/songs/2844306/apple_music_player
1899985|Watch Out|2015-05-20|2015|5|20|https://genius.com/songs/1899985/apple_music_player
4012668|Never Heard of You|2018-10-12|2018|10|12|https://genius.com/songs/4012668/apple_music_player
3972660|FFM Freestyle: SALUKI | Фристайл под биты FrozenGangBeatz, Drake, Хаски (Husky)|2018-09-21|2018|9|21|https://genius.com/songs/3972660/apple_music_player
2269369|Sorry (Remix)|2014-11-12|2014|11|12|https://genius.com/songs/2269369/apple_music_player
2403741|Gold House|2013-08-02|2013|8|2|https://genius.com/songs/2403741/apple_music_player
2323339|Fini...|||||https://genius.com/songs/2323339/apple_music_player
2318031|Blood Thicker Than Water [Tracklist + Cover Art]|||||https://genius.com/songs/2318031/apple_music_player
2981558|Larry Hughes|2017-02-09|2017|2|9|https://genius.com/songs/2981558/apple_music_player
2108842|Starbaby|2015-06-11|2015|6|11|https://genius.com/songs/2108842/apple_music_player
3545313|Pop It|2018-02-23|2018|2|23|https://genius.com/songs/3545313/apple_music_player
3655552|True Love Interlude|2018-05-04|2018|5|4|https://genius.com/songs/3655552/apple_music_player
2031596|Ain't No Money Like Trap Money (Intro)|2015-05-20|2015|5|20|https://genius.com/songs/2031596/apple_music_player
2451906|Choze|2015-12-23|2015|12|23|https://genius.com/songs/2451906/apple_music_player
3429614|2 Door|2015-10-02|2015|10|2|https://genius.com/songs/3429614/apple_music_player
490311|Recoup|2013-03-18|2013|3|18|https://genius.com/songs/490311/apple_music_player
3841594|In My Feelings Parody|||||https://genius.com/songs/3841594/apple_music_player
3236403|Helped my semi|||||https://genius.com/songs/3236403/apple_music_player
346620|Don't Believe Me|||||https://genius.com/songs/346620/apple_music_player
2264234|Can't Stop Myself|||||https://genius.com/songs/2264234/apple_music_player
3367935|Freestyle|2017-12-15|2017|12|15|https://genius.com/songs/3367935/apple_music_player
3868384|"In My Feelings" Remix Freestyle|2018-07-24|2018|7|24|https://genius.com/songs/3868384/apple_music_player
2253297|Dance Til The Sun Up|||||https://genius.com/songs/2253297/apple_music_player
1865972|Sorry|||||https://genius.com/songs/1865972/apple_music_player
2800709|Dinner Date|2012-05-01|2012|5|1|https://genius.com/songs/2800709/apple_music_player
2397390|I Can't|||||https://genius.com/songs/2397390/apple_music_player
2255985|Million Dollar Questions|||||https://genius.com/songs/2255985/apple_music_player
2397385|Pay That Price|||||https://genius.com/songs/2397385/apple_music_player
708269|Too Much Pt. 2|2015-02-10|2015|2|10|https://genius.com/songs/708269/apple_music_player
2984660|Too Much|2013-10-16|2013|10|16|https://genius.com/songs/2984660/apple_music_player
2028596|"Thirty Seven Thirty Two" (37-32)|2013-01-01|2013|1|1|https://genius.com/songs/2028596/apple_music_player
2825978|Outta Control|||||https://genius.com/songs/2825978/apple_music_player
3217695|Nightmare|2017-07-30|2017|7|30|https://genius.com/songs/3217695/apple_music_player
2263180|STL Freestyle|||||https://genius.com/songs/2263180/apple_music_player
2928834|Benny's Motto|2014-03-04|2014|3|4|https://genius.com/songs/2928834/apple_music_player
4074074|Blue Tips|2018-11-09|2018|11|9|https://genius.com/songs/4074074/apple_music_player
3036430|Mobsters|2014-11-06|2014|11|6|https://genius.com/songs/3036430/apple_music_player
4132860|In My Feelings|2018-10-11|2018|10|11|https://genius.com/songs/4132860/apple_music_player
4162471|In my feelings but im not drake|||||https://genius.com/songs/4162471/apple_music_player
3581461|BigDicClique|2018-06-25|2018|6|25|https://genius.com/songs/3581461/apple_music_player
3574417|Flippin' and Trappin|||||https://genius.com/songs/3574417/apple_music_player
3415907|Aliens|2017-08-27|2017|8|27|https://genius.com/songs/3415907/apple_music_player
3560565|FRUITY|2018-04-14|2018|4|14|https://genius.com/songs/3560565/apple_music_player
3560566|Cactus|2018-03-31|2018|3|31|https://genius.com/songs/3560566/apple_music_player
3459070|#WhiteGuilt|2018-01-17|2018|1|17|https://genius.com/songs/3459070/apple_music_player
3621793|Danny Boy|2018-03-31|2018|3|31|https://genius.com/songs/3621793/apple_music_player
3621811|Accident Prone|2018-05-23|2018|5|23|https://genius.com/songs/3621811/apple_music_player
3875217|Don't Get Sucked Into the Night Shift|2018-08-03|2018|8|3|https://genius.com/songs/3875217/apple_music_player
3461435|Rugs|2017-12-13|2017|12|13|https://genius.com/songs/3461435/apple_music_player
3481058|Whippin' And Trappin'|2016-10-17|2016|10|17|https://genius.com/songs/3481058/apple_music_player
3594266|Snow|2018-01-06|2018|1|6|https://genius.com/songs/3594266/apple_music_player
3581466|GAY ACT II|2018-11-25|2018|11|25|https://genius.com/songs/3581466/apple_music_player
3574731|Really Long Freestyle|2018-11-23|2018|11|23|https://genius.com/songs/3574731/apple_music_player
3621808|The Drug Song, Pt. 1|2018-11-23|2018|11|23|https://genius.com/songs/3621808/apple_music_player
4087131|Acceptance|2018-11-23|2018|11|23|https://genius.com/songs/4087131/apple_music_player
4087128|Gamer Club|2018-11-23|2018|11|23|https://genius.com/songs/4087128/apple_music_player
3926583|Hottest Sickest Freestyle of This Year and Every Year After That|2018-11-23|2018|11|23|https://genius.com/songs/3926583/apple_music_player
3968009|DOCTOR - Skit|2018-11-25|2018|11|25|https://genius.com/songs/3968009/apple_music_player
3936264|PILOT|2018-11-25|2018|11|25|https://genius.com/songs/3936264/apple_music_player
3876592|I Gotta Pee|2018-08-27|2018|8|27|https://genius.com/songs/3876592/apple_music_player
3621815|Big Boy Season|2018-11-23|2018|11|23|https://genius.com/songs/3621815/apple_music_player
4087124|Scat Break|2018-11-23|2018|11|23|https://genius.com/songs/4087124/apple_music_player
3761711|Call you're Doctor|2018-06-02|2018|6|2|https://genius.com/songs/3761711/apple_music_player
4087125|Interlude, Pt. 2|2018-11-23|2018|11|23|https://genius.com/songs/4087125/apple_music_player
3621804|Intro|2018-11-23|2018|11|23|https://genius.com/songs/3621804/apple_music_player
3924583|Akai Bara|||||https://genius.com/songs/3924583/apple_music_player
4195145|Trash Manifest's Interlude|||||https://genius.com/songs/4195145/apple_music_player
3621807|Buff Scooby|2018-11-23|2018|11|23|https://genius.com/songs/3621807/apple_music_player
3651213|Baby Boy Season|2018-04-13|2018|4|13|https://genius.com/songs/3651213/apple_music_player
4087130|Denial|2018-11-23|2018|11|23|https://genius.com/songs/4087130/apple_music_player
3621812|Evertything Hurts :(|2018-11-23|2018|11|23|https://genius.com/songs/3621812/apple_music_player
3621816|Thanks|2018-11-23|2018|11|23|https://genius.com/songs/3621816/apple_music_player
4087129|Adultery|2018-11-23|2018|11|23|https://genius.com/songs/4087129/apple_music_player
4087123|Interlude, Pt. 1|2018-11-23|2018|11|23|https://genius.com/songs/4087123/apple_music_player
3621809|Grrr Angre|2018-11-23|2018|11|23|https://genius.com/songs/3621809/apple_music_player
4087126|Everything Hurts|2018-11-23|2018|11|23|https://genius.com/songs/4087126/apple_music_player
3926547|The Drug Song, Pt. 2|2018-11-23|2018|11|23|https://genius.com/songs/3926547/apple_music_player
3876994|SICKO MODE|2018-08-03|2018|8|3|https://genius.com/songs/3876994/apple_music_player
2849767|​goosebumps|2016-09-02|2016|9|2|https://genius.com/songs/2849767/apple_music_player
2920194|Love Galore|2017-04-27|2017|4|27|https://genius.com/songs/2920194/apple_music_player
152640|New Slaves|2013-06-18|2013|6|18|https://genius.com/songs/152640/apple_music_player
3028687|Portland|2017-03-18|2017|3|18|https://genius.com/songs/3028687/apple_music_player
2145913|Antidote|2015-06-23|2015|6|23|https://genius.com/songs/2145913/apple_music_player
3089187|BUTTERFLY EFFECT|2017-05-15|2017|5|15|https://genius.com/songs/3089187/apple_music_player
2849762|​beibs in the trap|2016-09-02|2016|9|2|https://genius.com/songs/2849762/apple_music_player
2449376|Pick Up the Phone|2016-06-03|2016|6|3|https://genius.com/songs/2449376/apple_music_player
482233|All Day|2015-03-02|2015|3|2|https://genius.com/songs/482233/apple_music_player
2421661|FML|2016-02-14|2016|2|14|https://genius.com/songs/2421661/apple_music_player
167267|I Am a God|2013-06-18|2013|6|18|https://genius.com/songs/167267/apple_music_player
703732|Company|2015-02-13|2015|2|13|https://genius.com/songs/703732/apple_music_player
3648112|STARGAZING|2018-08-03|2018|8|3|https://genius.com/songs/3648112/apple_music_player
3876940|YOSEMITE|2018-08-03|2018|8|3|https://genius.com/songs/3876940/apple_music_player
2849757|​through the late night|2016-09-02|2016|9|2|https://genius.com/songs/2849757/apple_music_player
499870|Drugs You Should Try It|2014-08-18|2014|8|18|https://genius.com/songs/499870/apple_music_player
3876999|CAN'T SAY|2018-08-03|2018|8|3|https://genius.com/songs/3876999/apple_music_player
2948961|Kelly Price|2017-01-27|2017|1|27|https://genius.com/songs/2948961/apple_music_player
731783|Bitch Better Have My Money|2015-03-26|2015|3|26|https://genius.com/songs/731783/apple_music_player
3995573|ZEZE|2018-10-12|2018|10|12|https://genius.com/songs/3995573/apple_music_player
3296791|Ghostface Killers|2017-10-31|2017|10|31|https://genius.com/songs/3296791/apple_music_player
3209510|Sky Walker|2017-08-25|2017|8|25|https://genius.com/songs/3209510/apple_music_player
2290813|90210|2015-09-02|2015|9|2|https://genius.com/songs/2290813/apple_music_player
3876990|STOP TRYING TO BE GOD|2018-08-03|2018|8|3|https://genius.com/songs/3876990/apple_music_player
2027385|3500|2015-06-08|2015|6|8|https://genius.com/songs/2027385/apple_music_player
714719|Maria I'm Drunk|2015-09-04|2015|9|4|https://genius.com/songs/714719/apple_music_player
171407|Guilt Trip|2013-06-18|2013|6|18|https://genius.com/songs/171407/apple_music_player
2488417|Champions|2016-06-12|2016|6|12|https://genius.com/songs/2488417/apple_music_player
703429|All Your Fault|2015-02-24|2015|2|24|https://genius.com/songs/703429/apple_music_player
3676117|Watch|2018-05-04|2018|5|4|https://genius.com/songs/3676117/apple_music_player
3323370|Dark Knight Dummo|2017-12-05|2017|12|5|https://genius.com/songs/3323370/apple_music_player
3876996|NO BYSTANDERS|2018-08-03|2018|8|3|https://genius.com/songs/3876996/apple_music_player
499835|Mamacita|2014-08-18|2014|8|18|https://genius.com/songs/499835/apple_music_player
2826952|​the ends|2016-09-02|2016|9|2|https://genius.com/songs/2826952/apple_music_player
2399227|​wonderful|2015-12-31|2015|12|31|https://genius.com/songs/2399227/apple_music_player
2849775|​way back|2016-09-02|2016|9|2|https://genius.com/songs/2849775/apple_music_player
499824|Skyfall|2014-08-18|2014|8|18|https://genius.com/songs/499824/apple_music_player
3876992|CAROUSEL|2018-08-03|2018|8|3|https://genius.com/songs/3876992/apple_music_player
2829213|​coordinate|2016-09-02|2016|9|2|https://genius.com/songs/2829213/apple_music_player
3876997|WAKE UP|2018-08-03|2018|8|3|https://genius.com/songs/3876997/apple_music_player
3487555|Big Shot|2018-02-09|2018|2|9|https://genius.com/songs/3487555/apple_music_player
182405|Crown|2013-07-04|2013|7|4|https://genius.com/songs/182405/apple_music_player
87430|The Morning|2012-09-14|2012|9|14|https://genius.com/songs/87430/apple_music_player
2849774|​first take|2016-09-02|2016|9|2|https://genius.com/songs/2849774/apple_music_player
2849772|​sweet sweet|2016-09-02|2016|9|2|https://genius.com/songs/2849772/apple_music_player
2291102|Pray 4 Love|2015-09-04|2015|9|4|https://genius.com/songs/2291102/apple_music_player
3876942|NC-17|2018-08-03|2018|8|3|https://genius.com/songs/3876942/apple_music_player
3876995|R.I.P. SCREW|2018-08-03|2018|8|3|https://genius.com/songs/3876995/apple_music_player
2290802|Pornography|2015-09-04|2015|9|4|https://genius.com/songs/2290802/apple_music_player
2413931|Woo|2016-01-28|2016|1|28|https://genius.com/songs/2413931/apple_music_player
3105427|4 AM|2017-05-30|2017|5|30|https://genius.com/songs/3105427/apple_music_player
3876938|HOUSTONFORNICATION|2018-08-03|2018|8|3|https://genius.com/songs/3876938/apple_music_player
389895|Don't Play|2014-05-06|2014|5|6|https://genius.com/songs/389895/apple_music_player
3876988|SKELETONS|2018-08-03|2018|8|3|https://genius.com/songs/3876988/apple_music_player
2470892|Birds in the Trap Sing McKnight [Tracklist + Album Art]|2016-09-02|2016|9|2|https://genius.com/songs/2470892/apple_music_player
3386839|Dubai Shit|2017-12-22|2017|12|22|https://genius.com/songs/3386839/apple_music_player
2290819|Oh My Dis Side|2015-09-04|2015|9|4|https://genius.com/songs/2290819/apple_music_player
3876998|WHO? WHAT!|2018-08-03|2018|8|3|https://genius.com/songs/3876998/apple_music_player
2712551|​lose|2016-09-02|2016|9|2|https://genius.com/songs/2712551/apple_music_player
3876941|ASTROTHUNDER|2018-08-03|2018|8|3|https://genius.com/songs/3876941/apple_music_player
2409380|Uber Everywhere (Remix)|2016-03-07|2016|3|7|https://genius.com/songs/2409380/apple_music_player
3985354|Let It Fly|2018-09-28|2018|9|28|https://genius.com/songs/3985354/apple_music_player
2290794|Nightcrawler|2015-09-04|2015|9|4|https://genius.com/songs/2290794/apple_music_player
3876986|5% TINT|2018-08-03|2018|8|3|https://genius.com/songs/3876986/apple_music_player
2290817|Apple Pie|2015-09-04|2015|9|4|https://genius.com/songs/2290817/apple_music_player
87429|To the World|2012-09-14|2012|9|14|https://genius.com/songs/87429/apple_music_player
2837942|Floyd Mayweather|2016-08-26|2016|8|26|https://genius.com/songs/2837942/apple_music_player
2290792|Impossible|2015-09-04|2015|9|4|https://genius.com/songs/2290792/apple_music_player
3386844|Modern Slavery|2017-12-22|2017|12|22|https://genius.com/songs/3386844/apple_music_player
2353400|No Sense|2015-11-13|2015|11|13|https://genius.com/songs/2353400/apple_music_player
3075614|Know No Better|2017-06-01|2017|6|1|https://genius.com/songs/3075614/apple_music_player
134772|Upper Echelon|2013-04-18|2013|4|18|https://genius.com/songs/134772/apple_music_player
3876936|COFFEE BEAN|2018-08-03|2018|8|3|https://genius.com/songs/3876936/apple_music_player
2849776|​outside|2016-09-02|2016|9|2|https://genius.com/songs/2849776/apple_music_player
3720672|Champion|2018-05-18|2018|5|18|https://genius.com/songs/3720672/apple_music_player
2961664|Go Off|2017-03-02|2017|3|2|https://genius.com/songs/2961664/apple_music_player
2304247|Bake Sale|2016-01-21|2016|1|21|https://genius.com/songs/2304247/apple_music_player
2856357|Baptized in Fire|2016-12-01|2016|12|1|https://genius.com/songs/2856357/apple_music_player
3386840|Black & Chinese|2017-12-22|2017|12|22|https://genius.com/songs/3386840/apple_music_player
101216|Blocka|2013-01-28|2013|1|28|https://genius.com/songs/101216/apple_music_player
3386843|Huncho Jack|2017-12-22|2017|12|22|https://genius.com/songs/3386843/apple_music_player
2849842|​guidance|2016-09-02|2016|9|2|https://genius.com/songs/2849842/apple_music_player
3187524|Go Legend|2017-12-08|2017|12|8|https://genius.com/songs/3187524/apple_music_player
499855|Days Before Rodeo: The Prayer|2014-08-18|2014|8|18|https://genius.com/songs/499855/apple_music_player
2849846|RaRa|2016-09-02|2016|9|2|https://genius.com/songs/2849846/apple_music_player
2263710|No Feelings|2015-07-25|2015|7|25|https://genius.com/songs/2263710/apple_music_player
2970630|Owe Me|2017-02-03|2017|2|3|https://genius.com/songs/2970630/apple_music_player
3386846|Motorcycle Patches|2017-12-22|2017|12|22|https://genius.com/songs/3386846/apple_music_player
499838|Sloppy Toppy|2014-08-18|2014|8|18|https://genius.com/songs/499838/apple_music_player
499828|Quintana Pt. 2|2014-08-18|2014|8|18|https://genius.com/songs/499828/apple_music_player
132660|Quintana|2013-03-22|2013|3|22|https://genius.com/songs/132660/apple_music_player
