producer_id,performer_id,song_id,album_id
10418,69,599451,115138
10418,7922,3542151,408226
10418,130,703755,119674
10418,1357232,3487546,455554
10418,72,87430,109923
10418,130,3807754,420582
10418,1408735,3786538,438392
10418,92,3643002,484805
10418,9932,2973338,328417
10418,1043518,3386843,338359
10418,1043518,3386847,338359
10418,14325,3782528,438741
10418,506800,2903023,289599
10418,56,2899246,288227
10418,11395,2175733,
10418,217208,3209335,347955
10418,14325,101276,
10418,14035,2275965,127762
10418,639521,3082387,342891
10418,2197,2989253,330482
10418,2057,118894,28538
10418,16690,3285909,363981
10418,2057,448558,
10418,2057,117402,28538
10418,264368,3097979,326050
10418,264368,3097975,326050
10418,26593,2468643,149730
10418,1319,3098398,338146
10418,14035,2275997,127762
10418,45,255983,339810
10418,14035,2213945,127762
10418,2057,519847,111213
10418,14035,2276001,127762
10418,14035,2275995,127762
10418,14035,2275998,127762
10418,244,2899370,288227
10418,14035,2276000,127762
10418,25561,278227,60329
10418,2057,519846,111213
10418,2197,3554731,438021
10418,14035,2276003,127762
10418,1172705,3197969,354414
10418,699,212566,26551
10418,14035,2276008,127762
10418,108,2384118,137591
10418,197704,3057589,375128
10418,108,76134,17270
10418,20314,109629,35314
10418,1143127,3141287,338504
10418,471,3598087,407759
10418,25561,278200,60329
10418,14717,3156703,329882
10418,2057,157557,415665
10418,14035,2276004,127762
10418,173,435072,103410
10418,14035,2275999,127762
10418,7388,2923049,289523
10418,13426,3468351,387518
10418,699,212568,26551
10418,13,3059870,
10418,640658,3885220,424649
10418,3,2850203,160369
10418,20142,81817,18933
10418,1339,112955,25090
10418,345077,745022,133826
10418,699,113149,26551
10418,10418,2899289,288227
10418,182906,2861089,221513
10418,326,4000492,483996
10418,14035,2276006,127762
10418,251,378893,79671
10418,108,60456,13691
10418,103654,3436218,394215
10418,5797,90509,20048
10418,262,453804,105762
10418,22264,684873,119449
10418,345077,2863769,133826
10418,593391,3290876,352944
10418,2035,714120,120302
10418,111,730424,17295
10418,487071,2105011,126028
10418,3961,22423,3614
10418,20142,86541,18933
10418,699,212571,26551
10418,111,730820,17295
10418,487071,2159421,126028
10418,56571,3433031,437593
10418,1634104,42505,9260
10418,631703,2473096,152328
10418,593391,3163286,352944
10418,5797,90513,20048
10418,699,2165062,125505
10418,1130,28818,5050
10418,2795,7778,292
10418,5797,42509,9262
10418,1130,5661,5050
10418,2074,240200,41532
10418,251,408324,79671
10418,487071,2249572,126028
10418,5797,89981,20048
10418,487071,2249616,126028
10418,487071,2249559,126028
10418,1130,28812,5050
10418,475365,3584260,
10418,5797,90516,20048
10418,262,3154009,
10418,5797,55095,14232
10418,487071,2249595,126028
10418,594276,27092,4660
10418,251,436966,79671
10418,162,41180,8964
10418,5797,3430693,393659
10418,5797,3430699,393659
10418,73414,353514,60964
10418,487071,2175696,
10418,5797,3430701,393659
10418,13426,2924593,133489
10418,5797,89441,20048
10418,1130,28778,5042
10418,5797,3165685,356711
10418,60345,3002596,130216
10418,10611,43864,9569
10418,487071,2249617,126028
10418,5856,204067,24260
10418,487071,2249588,126028
10418,20142,2882040,229704
10418,5797,3430695,393659
10418,10418,328285,74426
10418,108,96652,17270
10418,487071,2249609,126028
10418,20142,73454,18933
10418,631703,2940635,
10418,5797,1930105,125222
10418,1130,28794,5045
10418,10418,331038,74426
10418,5797,1930119,125222
10418,642601,3243354,369754
10418,262,519633,105762
10418,127,41514,9031
10418,3961,22429,3614
10418,5797,3430702,393659
10418,5797,76256,14232
10418,10418,331039,74426
10418,2041,154055,22975
10418,14035,2935208,
10418,102057,282591,61503
10418,251,406570,79671
10418,699,2165374,125505
10418,5797,1930141,125222
10418,61371,203018,39901
10418,18344,439702,113679
10418,26537,209029,42948
10418,594276,27098,4660
10418,20142,2439841,
10418,251,683465,79671
10418,487071,2249600,126028
10418,27446,203796,262450
10418,20142,103235,18933
10418,10611,2505520,9569
10418,2041,51307,13149
10418,1130,28817,5050
10418,5797,3165689,356711
10418,291,92015,20780
10418,10418,331040,74426
10418,5797,42515,9260
10418,631703,2958024,152328
10418,127,41515,9031
10418,1130,28801,5045
10418,594276,303259,4660
10418,7922,560083,
10418,5797,111713,9260
10418,22698,2949861,
10418,10418,331057,74426
10418,211611,491174,109446
10418,262,566548,105762
10418,487071,2249558,126028
10418,5797,96078,21011
10418,51881,173425,34508
10418,184933,3045174,
10418,24923,2387105,
10418,211611,581042,109446
10418,10418,331063,74426
10418,2041,113668,
10418,18344,182837,
10418,11771,2476250,152595
10418,5797,1930135,125222
10418,5797,42510,
10418,2041,695040,
10418,3955,11414,1095
10418,5316,134110,2385
10418,77998,3323022,412255
10418,3654,13568,1488
10418,2041,426364,101409
10418,977,3230517,367978
10418,7185,696343,
10418,2041,161542,22975
10418,1130,28779,5042
10418,2041,4024400,470343
10418,10418,331062,74426
10418,10418,331060,74426
10418,20572,428091,101714
10418,9028,2864538,222141
10418,10611,2127384,9569
10418,1135914,3083389,339810
10418,5317,44184,9634
10418,20142,526243,18933
10418,5763,3630478,400314
10418,2795,7746,291
10418,20029,2822876,
10418,5797,2285082,9260
10418,558077,2818903,
10418,211611,579782,109446
10418,631703,2414668,
10418,102057,378895,
10418,18344,491341,109931
10418,1240266,3659539,421141
10418,5797,100182,9260
10418,3159,404979,94116
10418,1068169,2974896,328564
10418,262,2853669,
10418,22698,3269956,373667
10418,154899,383022,
10418,5797,113643,
10418,61371,191698,39901
10418,6829,113026,20969
10418,2795,7755,291
10418,2041,4024405,470343
10418,21534,233255,
10418,2902,9931,776
10418,5797,100258,9260
10418,457,16629,2227
10418,10418,330909,74403
10418,3658,2410740,131658
10418,411948,682781,
10418,2902,9941,777
10418,2041,4024395,470343
10418,15589,2378355,128720
10418,2795,7757,291
10418,2374,104364,12903
10418,102057,343948,
10418,3654,13566,1488
