Sean Price,!llmind
Common,Scott Storch
DMX,Scott Storch
AFTRschool,Scott Storch
Yasiin Bey,Scott Storch
Masta Ace,Large Professor
Pete Rock,Large Professor
Ty Dolla $ign,Travis Scott
@theRossination,!llmind
Trinidad James,Travis Scott
Bryson Tiller,!llmind
Royce da 5'9'',!llmind
Fashawn,Large Professor
Diamond D,!llmind
French Montana & Chris Brown,Travis Scott
Gucci Mane,!llmind
Chuuwee,Large Professor
Quality Control,Travis Scott
Young Abdulleh,Travis Scott
Rihanna,Travis Scott
Ohana Bam,Scott Storch
Dice Raw,Scott Storch
Lil Wayne,Scott Storch
Supreme Patty,Scott Storch
2-20,!llmind
BrvndonP,!llmind
The Notorious B.I.G.,Scott Storch
The Neighbourhood,Scott Storch
Verah,Travis Scott
Rapper Big Pooh,!llmind
Jun!or,!llmind
Nick Buglione (Dey Bishop),!llmind
Kodie Shane,Travis Scott
Zaytoven,Travis Scott
50 Cent,!llmind
Torae,Large Professor
RizzyDizzy,!llmind
Alexanderdee,Travis Scott
Andy Mineo & Wordsplayed,!llmind
NanooKidd,Scott Storch
Denzel Curry,!llmind
Bishop Lamont,Scott Storch
Slow Caires,!llmind
Terror Squad,Scott Storch
Capone-N-Noreaga,Scott Storch
Silent Knight,!llmind
NAV,Travis Scott
Gentleman,Large Professor
Missy Elliott,Scott Storch
21 Savage, Offset & Metro Boomin,Travis Scott
Heltah Skeltah,!llmind
DJ Snake,Travis Scott
Ja Rule,Scott Storch
LouisYRN,Travis Scott
SZA,Travis Scott
Brooke Hogan,Scott Storch
Amill Darsell,Travis Scott
YAHZEE.,!llmind
Kid Cudi,Travis Scott
Andrea Pula,Scott Storch
Hit-Boy,Travis Scott
Stax,!llmind
Meek Mill,Travis Scott
Floetry,Scott Storch
Belly,Travis Scott
Je$$e G,Scott Storch
[MIZZZ],Scott Storch
Tyga,Travis Scott
Jimmy B,Travis Scott
KAMAU,!llmind
Copywrite,!llmind
A Tribe Called Quest,Large Professor
2Pac,Scott Storch
Scott Storch,Scott Storch
G-Mo Skee,Scott Storch
MC Evo1ve,Large Professor
Busta Rhymes,Large Professor
Cap D,!llmind
Chris Lowe (2),Large Professor
Cres & !llmind,!llmind
Wynter Gordon,Travis Scott
Marco Polo,Large Professor
Joyner Lucas,!llmind
Rohff,Scott Storch
Nicki Minaj,!llmind
Berner,Scott Storch
Futuristic,!llmind
ZAYN,Scott Storch
Xzibit,Scott Storch
Squeegie O,!llmind
Non Phixion,Large Professor
Ordrup,Scott Storch
AraabMUZIK,!llmind
DJ Unknown & DJ Mekalek,Large Professor
Boyz II Men,Scott Storch
Ram's 94,Scott Storch
Lovele$$,!llmind
Bubba Sparxxx,Scott Storch
Yung Lean,Travis Scott
Dr. Dre,Scott Storch
Sly Boogy,Scott Storch
Cres,!llmind
JAY-Z,Scott Storch
SaeMonae,!llmind
Russ,Scott Storch
Drake,!llmind
Main Source,Large Professor
Fabolous,!llmind
Mystikal,Scott Storch
Texas Drew,Travis Scott
DJ Stevie J,Travis Scott
Stik Figa,!llmind
KSic,Scott Storch
Big W,Scott Storch
DJ Khaled,Travis Scott
Krumb Snatcha,Large Professor
Pirouzi-BirFdayy,!llmind
Gensu Dean,Large Professor
Thutmose,Scott Storch
Aaron Keba,!llmind
R2DaEz,!llmind
Busta Rhymes,Scott Storch
Phil Ade,!llmind
Lil' Kim,Travis Scott
Lloyd Banks,Scott Storch
JAY-Z,Travis Scott
Common,Large Professor
Boot Camp Clik,!llmind
Kendrick Lamar & Travis Scott,Travis Scott
Darrell G Johnson,Travis Scott
Trey Songz,!llmind
