performer_id|performer_name|performer_img_url
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg
492|Big Sean|https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg
130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
89|Rihanna|https://images.genius.com/6c0a5c21157bafe0dcab934f107020a1.960x960x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
492|Big Sean|https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
2|JAY-Z|https://images.genius.com/bf0f68ee56f29c8542ad805c6419682b.676x676x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
217208|Lil Uzi Vert|https://images.genius.com/651a11b30fa5fd21648e6cc22c5a4f62.1000x1000x1.jpg
217208|Lil Uzi Vert|https://images.genius.com/651a11b30fa5fd21648e6cc22c5a4f62.1000x1000x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
21894|A$AP Mob|https://images.genius.com/46e736f7bfd968b40dc1d81e12c70576.1000x1000x1.jpg
217208|Lil Uzi Vert|https://images.genius.com/651a11b30fa5fd21648e6cc22c5a4f62.1000x1000x1.jpg
61600|Quavo|https://images.genius.com/f1ff6c1619a1b9e7adaa8b8789f23c68.563x563x1.jpg
41579|SZA|https://images.genius.com/d72d06a449b2ad3e48a84387e9c8dd4d.421x421x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
217208|Lil Uzi Vert|https://images.genius.com/651a11b30fa5fd21648e6cc22c5a4f62.1000x1000x1.jpg
20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
