performer_id,performer_name,performer_img_url
1024052,Sheck Wes,https://images.genius.com/e8a674613a98207954b4e8cd9c4d4c87.893x893x1.jpg
1237094,Juice WRLD,https://images.genius.com/1ff8ab8d3ae5bb47f0797a87d42ddf66.1000x1000x1.jpg
189848,6LACK,https://images.genius.com/103257aeaf421fb834abe9d35aa2fabf.640x640x1.jpg
1237094,Juice WRLD,https://images.genius.com/1ff8ab8d3ae5bb47f0797a87d42ddf66.1000x1000x1.jpg
1469896,YBN Cordae,https://images.genius.com/3b3626d28612f81e8f2b212bf9e188fe.1000x1000x1.jpg
149879,Raury,https://images.genius.com/4fcbad91ca7b7af0b0e78b0ff6d24e81.426x426x1.jpg
61137,​Jesse Rutherford,https://images.genius.com/8ad01da405836c262f78da4fafaa60f6.961x961x1.jpg
1124097,6ix9ine,https://images.genius.com/03dcb3fbc9e56d5f68afff7d93d95503.1000x1000x1.jpg
1000448,Higher Brothers,https://images.genius.com/9c441a13ff594db41c927760d69d6cc8.900x900x1.jpg
941,Vince Staples,https://images.genius.com/e2825ca7638ddd76e5e8aa1368927bd2.532x532x1.jpg
988514,Scarlxrd,https://images.genius.com/6d83e0394b283a0beb533fe8bf03f660.390x390x1.png
149879,Raury,https://images.genius.com/4fcbad91ca7b7af0b0e78b0ff6d24e81.426x426x1.jpg
334508,Famous Dex,https://images.genius.com/376eb61974338992fbfcdadd810cccb6.549x549x1.png
61137,​Jesse Rutherford,https://images.genius.com/8ad01da405836c262f78da4fafaa60f6.961x961x1.jpg
1469896,YBN Cordae,https://images.genius.com/3b3626d28612f81e8f2b212bf9e188fe.1000x1000x1.jpg
2906,A-Trak,https://images.genius.com/9ab9a883a8dfa70f173f0fbf39d8820c.686x918x1.png
1251094,88GLAM,https://images.genius.com/c0cb9ebf719d5aa49ca5871068d169e7.1000x1000x1.jpg
1085634,KILLY,https://images.genius.com/28426b0ee6c1039cd924830c7e3ade0d.1000x1000x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
149879,Raury,https://images.genius.com/4fcbad91ca7b7af0b0e78b0ff6d24e81.426x426x1.jpg
112955,Treez Lowkey,https://images.genius.com/57d77d80d015930e02ffe41ee80e4074.500x500x1.jpg
56991,C. Tangana,https://images.genius.com/e615869cbf9381474026cbef6cdc98ad.640x640x1.jpg
248458,PnB Rock,https://images.genius.com/d19431d27fee165ba71d702e3bb437c3.900x900x1.jpg
1280604,Take A Daytrip x Treez Lowkey,https://assets.genius.com/images/default_avatar_300.png?1549919799
1240266,Genius Translations,https://images.genius.com/d621467e52ec2b6fe5cb6d0a41846e69.1000x1000x1.png
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
149879,Raury,https://images.genius.com/4fcbad91ca7b7af0b0e78b0ff6d24e81.426x426x1.jpg
50588,The Skins,https://images.genius.com/2cbfaa65cca113e6e228e01351be1091.400x400x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
1251094,88GLAM,https://images.genius.com/c0cb9ebf719d5aa49ca5871068d169e7.1000x1000x1.jpg
149879,Raury,https://images.genius.com/4fcbad91ca7b7af0b0e78b0ff6d24e81.426x426x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
1295975,TNT Tez,https://images.genius.com/fd9039dfed7c90f2719c1be4d19c6145.554x554x1.jpg
1024052,Sheck Wes,https://images.genius.com/e8a674613a98207954b4e8cd9c4d4c87.893x893x1.jpg
1024052,Sheck Wes,https://images.genius.com/e8a674613a98207954b4e8cd9c4d4c87.893x893x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
1572510,Take A Daytrip & Skizzy Mars,https://assets.genius.com/images/default_avatar_300.png?1550179390
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
61495,Toni Romiti,https://images.genius.com/86ba69a3481a0e82e78a10bab0558b71.350x350x1.jpg
307000,TOBi,https://assets.genius.com/images/default_avatar_300.png?1549919799
1146836,TrifeDrew,https://images.genius.com/2209c8bc50922bf0249cf03fa77d11f5.708x708x1.jpg
182906,IshDARR,https://images.genius.com/b60f306a8593f544f7c9add20b9e860a.1000x1000x1.jpg
1184777,Take a Daytrip X Sam Austins,https://assets.genius.com/images/default_avatar_300.png?1550179390
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
16690,Denzel Curry,https://images.genius.com/6d54cb19cf034b6019bc85c287ec1475.720x720x1.jpg
182906,IshDARR,https://images.genius.com/b60f306a8593f544f7c9add20b9e860a.1000x1000x1.jpg
112955,Treez Lowkey,https://images.genius.com/57d77d80d015930e02ffe41ee80e4074.500x500x1.jpg
1635995,10k.Caash,https://images.genius.com/999159697f07efa358db18ffb6a03f00.481x481x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
41226,Dreezy,https://images.genius.com/04cdd6da2279a7f2246d924f2ad982b2.876x876x1.jpg
182906,IshDARR,https://images.genius.com/b60f306a8593f544f7c9add20b9e860a.1000x1000x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
50588,The Skins,https://images.genius.com/2cbfaa65cca113e6e228e01351be1091.400x400x1.jpg
182906,IshDARR,https://images.genius.com/b60f306a8593f544f7c9add20b9e860a.1000x1000x1.jpg
628933,Lil West,https://images.genius.com/7f1206506dd9728656b24ba8019b0c61.1000x1000x1.jpg
1699902,Take a Daytrip & Octavian,https://assets.genius.com/images/default_avatar_300.png?1550179390
173100,IDK,https://images.genius.com/af4d8494f10f9376ea62710dda632fb9.723x723x1.png
147167,Swaghollywood,https://images.genius.com/e9ba55f39d6cce7a9453f625d5797878.499x499x1.jpg
639277,Audri Nix,https://images.genius.com/365743ce39176b5e64aecf516c1ae819.438x438x1.jpg
1161172,JVKC,https://assets.genius.com/images/default_avatar_300.png?1550179390
643219,Take a Daytrip,https://images.genius.com/ba11d5d858e91c6986a796663b38409f.960x960x1.jpg
1264557,YBN Almighty Jay,https://images.genius.com/cd392c0c53a37f5c80c14952dc6082ce.633x633x1.jpg
1295975,TNT Tez,https://images.genius.com/fd9039dfed7c90f2719c1be4d19c6145.554x554x1.jpg
36015,Twelve'Len,https://images.genius.com/0d7097f8b62ebe2e8da4c0a95dac2108.372x372x1.jpg
22741,Nessly,https://images.genius.com/394a188aecd8f55f7c80059b58d28d61.682x682x1.jpg
1280604,Take A Daytrip x Treez Lowkey,https://assets.genius.com/images/default_avatar_300.png?1550179390
1146836,TrifeDrew,https://images.genius.com/2209c8bc50922bf0249cf03fa77d11f5.708x708x1.jpg
1266473,Kidepo,https://images.genius.com/57371ae4bfd18988d1871e3ca1e9f4ba.1000x1000x1.jpg
1182073,Yung Skii,https://images.genius.com/9e977f8a39a9f9cc521fcc303625baf6.500x500x1.jpg
1183,Curren$y,https://images.genius.com/085b4a92f3ca5e9e5049371e0206bc7a.624x624x1.jpg
628933,Lil West,https://images.genius.com/7f1206506dd9728656b24ba8019b0c61.1000x1000x1.jpg
23994,Sam Austins,https://images.genius.com/155636e49027c3b0df9957e3b3e474d7.1000x1000x1.jpg
1469896,YBN Cordae,https://images.genius.com/3b3626d28612f81e8f2b212bf9e188fe.1000x1000x1.jpg
881997,Rico Nasty,https://images.genius.com/d4fc7186314b3c644f4020a6b1d13992.317x317x1.png
61137,​Jesse Rutherford,https://images.genius.com/8ad01da405836c262f78da4fafaa60f6.961x961x1.jpg
1280604,Take A Daytrip x Treez Lowkey,https://assets.genius.com/images/default_avatar_300.png?1550179390
628933,Lil West,https://images.genius.com/7f1206506dd9728656b24ba8019b0c61.1000x1000x1.jpg
1287220,Paper Lovee,https://images.genius.com/11195e09f9bed1238ba48931c1848070.1000x1000x1.jpg
628933,Lil West,https://images.genius.com/7f1206506dd9728656b24ba8019b0c61.1000x1000x1.jpg
1266473,Kidepo,https://images.genius.com/57371ae4bfd18988d1871e3ca1e9f4ba.1000x1000x1.jpg
660075,AkinG Kalld Pedro,https://images.genius.com/b93e6bfc44f51ca4021472ed75186548.1000x1000x1.jpg
1264557,YBN Almighty Jay,https://images.genius.com/cd392c0c53a37f5c80c14952dc6082ce.633x633x1.jpg
1612359,The Rapping Dragons,https://assets.genius.com/images/default_avatar_300.png?1550179390
1264557,YBN Almighty Jay,https://images.genius.com/cd392c0c53a37f5c80c14952dc6082ce.633x633x1.jpg
1264557,YBN Almighty Jay,https://images.genius.com/cd392c0c53a37f5c80c14952dc6082ce.633x633x1.jpg
23994,Sam Austins,https://images.genius.com/155636e49027c3b0df9957e3b3e474d7.1000x1000x1.jpg
654932,Lil Pump,https://images.genius.com/a9cd77dba8680c71c90f15a7ee114f6a.1000x1000x1.jpg
16808,Chief Keef,https://images.genius.com/a5a87da65bfe74a13ff9df224890bc39.750x750x1.jpg
16808,Chief Keef,https://images.genius.com/a5a87da65bfe74a13ff9df224890bc39.750x750x1.jpg
44080,Migos,https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg
31180,Ballout,https://images.genius.com/d42023284231de675f4740494f3594b2.1000x1000x1.jpg
862,Dee Money,https://images.genius.com/7fe703b58fc6f92a6270345ea84b837f.439x439x1.jpg
125148,Kap G,https://images.genius.com/214f4cc51eadce650131efd872a18cae.1000x1000x1.jpg
26968,Money Man,https://images.genius.com/9acebbccd5f4ec9e4365a76d438c6f9d.1000x1000x1.png
20742,K Camp,https://images.genius.com/937899817bbca48d3fbf47a8d864ae81.807x807x1.jpg
58437,Fredo Santana & Gino Marley,https://images.genius.com/08ab736eba0307d43e61c8ebafd339f4.770x770x1.jpg
65109,Rich the Kid,https://images.genius.com/1f2a961273ed07fe474cf6454ea5e1f5.603x603x1.png
14724,Niro,https://images.genius.com/af44e6e14637b64eaf0eae12f28460e5.985x1000x1.png
264368,Bryson Tiller,https://images.genius.com/a0e91b5f06cdd8c7b3f1a87ad853a604.640x640x1.jpg
1184948,John Gabbana,https://images.genius.com/da1157a5d2c047d314712d871dc47d1a.900x900x1.jpg
26968,Money Man,https://images.genius.com/9acebbccd5f4ec9e4365a76d438c6f9d.1000x1000x1.png
26968,Money Man,https://images.genius.com/9acebbccd5f4ec9e4365a76d438c6f9d.1000x1000x1.png
1184948,John Gabbana,https://images.genius.com/da1157a5d2c047d314712d871dc47d1a.900x900x1.jpg
44080,Migos,https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg
323586,Lil Lonnie,https://images.genius.com/817687a8e18c01d98c19c190216b82fa.1000x1000x1.jpg
20755,SD,https://images.genius.com/987a11af7ecb5083f63dc83983cceffa.1000x750x1.jpg
585266,Lil Duke,https://images.genius.com/55ca970fb48223b43b02d7b5ec54001f.483x483x1.png
862,Dee Money,https://images.genius.com/7fe703b58fc6f92a6270345ea84b837f.439x439x1.jpg
91049,Gunna,https://images.genius.com/87fadb7710aef1c36c94ff2a8807c4fa.1000x1000x1.jpg
65109,Rich the Kid,https://images.genius.com/1f2a961273ed07fe474cf6454ea5e1f5.603x603x1.png
44080,Migos,https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg
44080,Migos,https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg
585266,Lil Duke,https://images.genius.com/55ca970fb48223b43b02d7b5ec54001f.483x483x1.png
149868,Zach Farlow,https://images.genius.com/ee2b3d9f43a9e3efa2a15188714b12be.505x505x1.jpg
334117,Mango Foo,https://images.genius.com/c45cfc22cc40c849865c88b31f23cc47.492x492x1.jpg
133455,Rayven Justice,https://images.genius.com/28929fbcf4b3338dec4b8607914a0fcb.1000x667x1.jpg
323586,Lil Lonnie,https://images.genius.com/817687a8e18c01d98c19c190216b82fa.1000x1000x1.jpg
520371,ThouxanbanFauni,https://images.genius.com/64ec6d4bf04c94a838e1fd2ff0b5c580.900x900x1.png
520371,ThouxanbanFauni,https://images.genius.com/64ec6d4bf04c94a838e1fd2ff0b5c580.900x900x1.png
20755,SD,https://images.genius.com/987a11af7ecb5083f63dc83983cceffa.1000x750x1.jpg
1530360,Wallway Pack,https://assets.genius.com/images/default_avatar_300.png?1550179390
149868,Zach Farlow,https://images.genius.com/ee2b3d9f43a9e3efa2a15188714b12be.505x505x1.jpg
862,Dee Money,https://images.genius.com/7fe703b58fc6f92a6270345ea84b837f.439x439x1.jpg
16808,Chief Keef,https://images.genius.com/a5a87da65bfe74a13ff9df224890bc39.750x750x1.jpg
585266,Lil Duke,https://images.genius.com/55ca970fb48223b43b02d7b5ec54001f.483x483x1.png
20755,SD,https://images.genius.com/987a11af7ecb5083f63dc83983cceffa.1000x750x1.jpg
20755,SD,https://images.genius.com/987a11af7ecb5083f63dc83983cceffa.1000x750x1.jpg
862,Dee Money,https://images.genius.com/7fe703b58fc6f92a6270345ea84b837f.439x439x1.jpg
862,Dee Money,https://images.genius.com/7fe703b58fc6f92a6270345ea84b837f.439x439x1.jpg
