Empire Cast,Timbaland
YOSHUA,Sango
Tamar Braxton,Diplo
Curtis Williams,Metro Boomin
Tre Capital,J Dilla
Ty Dolla $ign,Iman Omari
Mikail.,CashMoneyAP
Caz Cray,London on da Track
Anthony Hamilton,David Banner
SiR,Iman Omari
LION BABE,Pharrell Williams
Lil Peep,Southside
Mac Miller,Just Blaze
The Rapture,Timbaland
KAIZER,K. Swisha
The Internet,Pyramid Vritra
Terrence Spectacle,Cashmere Cat
TjDizzleSnoMan,CashMoneyAP
TREVON StANCE,Jahlil Beats
Slim_alex,DJ Khaled
Project Youngin,Louie Bandz
55Bagz,CashMoneyAP
Reference,Havoc
Smoke DZA,Lex Luger
DMX,Elite
Kenna,The Neptunes
Tank God,Swizz Beatz
AG The Gr8,Nard & B
NøtInVain,Havoc
Chasey The Illest,9th Wonder
55x55,BadComedian
Kelechi,Peter Cottontale
Rodney Crowell,John Paul White
Talib Kweli,9th Wonder
Fabolous,No I.D.
Rob Markman,J.U.S.T.I.C.E. League
Robin Thicke,Pharrell Williams
Bianca,BNYX®
TVETH,Southside
Dave East,Wheezy
Desiigner,Kanye West
Reggie Mills,IllaDaProducer
Tyler, The Creator & A$AP Rocky,Missy Elliott
Alex Bond,MF DOOM
Cal Chuchesta,40
KAS KATEE,Kurupt
Pinkblxxd,CuBeatz
Fredo Santana & Gino Marley,Dee Money
Jalique A3,Menace
Xzibit,DJ Quik
Evidence,Jake One
Demigodz,DJ Premier
Loaded Lux,DJ Premier
Cold Hart,Speaker Knockerz
Bizzy Montana,Stickle
Strictly DT,Stro Elliot
Ty Dolla $ign,Young Chop
L-JAM feat YOUSSEF,T-Pain
Meek Mill,Travis Scott
T.W.R.,DJ Spinz
GrindTime Tec,CashMoneyAP
Black Hippy,Sounwave
Jack Ü,Missy Elliott
H.E.R.,40
Warren G,Erick Sermon
Dice SoHo,Mike Dean
Jay Anfernee,Hi-Tek
Gamemast15r,Bongo
Big Noyd,Ayatollah
Attitudeeracera,MaxoKoolin
BeegBoi,P-Lo
Arkimedes aka THA ARK,MF DOOM
Sab Sista,Bassi Maestro
Robert Glasper,J Dilla
Da$h & Retch,Ski Beatz
DJ Khaled,Drumma Boy
M0ney.marc0,Southside
Kodak Black,Nard & B
PnB Rock,Jake One
J Dilla,Havoc
Chris Lowe (2),Large Professor
Ab-Soul,WondaGurl
William Matthews,Harmony Samuels
U-God,Powers Pleasant
JR Castro,Timbaland
The Notorious B.I.G.,Missy Elliott
Mary J. Blige,Cool & Dre
Rich the Kid,Young Chop
Cheryl,Kuk Harrell
Chingy,Cool & Dre
Granpa rapps,DJ Khaled
Zombie Juice,Erick Arc Elliott
Lloyd Banks,40
Zach Farlow,Dee Money
TPindell,Menace
Tamia,Salaam Remi
French Montana,Mally Mall
Hippy SOUL,Metro Boomin
Madonna,Missy Elliott
Dell The Rapper,MF DOOM
Casey Veggies & Rockie Fresh,Hit-Boy
Samir Madad,Mr. Carmack
6LACK,DJ Premier
Hellion,Ginseng
Andy Milonakis,CaptainCrunch
Honcho Da Savage,CashMoneyAP
Regg,Just Blaze
Chance the Rapper,BrassTracks
Espa,Erick Arc Elliott
TNT Tez,Take a Daytrip
Mariahlynn,Murda Beatz
_n & MF DOOM,MF DOOM
Yo Gotti,Zaytoven
CyHi The Prynce,Charlie Heat
Bluecompact,MaxoKoolin
Just Chase,WondaGurl
Smokepurpp,Sonny Digital
Talk Money Entertainment,Nick EBeats
Rick Ross,Young Chop
Little Brother,Oh No
Blackalicious,Lamar "Mars" Edwards
Jamie Foxx,Kanye West
Wizzy,40
Seth Hirsch,Nottz
Big Sean,Young Chop
Azteca,Turbo
AZ,Salaam Remi
Weird Al Yankovic,Puff Daddy
YBN Almighty Jay,Take a Daytrip
Kool G Rap,DJ Premier
Lil Yachty,TM88
Sean Paul,Rico Love
The Pussycat Dolls,Chase N. Cashe
Jay Electronica,J Dilla
Shaunta,Hi-Tek
Trey Songz,!llmind
Trinidad James,Sonny Digital
Rihanna,WondaGurl
Young Justice,MF DOOM
Lauren Jauregui,Murda Beatz
Sticky Fingaz,Scott Storch
Joe Jonas,Travis Scott
Exile,Southside
Chris Bands,MaxoKoolin
Orangou,MaxoKoolin
Young OG,Yung Shad
King Deco,Kuk Harrell
Ace Hood,30 Roc
Zay Gatsby,Jahlil Beats
Lil' Kim,Mike WiLL Made-It
Гарри Топор (Harry Topor),The Neptunes
Keytalife,Swizz Beatz
Trippie Redd,Tank God
Crystal Castles,Daft Punk
Scotty ATL,Big K.R.I.T.
Common,Ron "Amen-Ra" Lawrence
Kanye West,K-Def
Millyz & Statik Selektah,Statik Selektah
XXXTENTACION,Ricky Racks
Miley Cyrus,Mike WiLL Made-It
Rick Ross,Salaam Remi
Mobo,CuBeatz
Julian Marshall,Bangladesh
OG Maco,30 Roc
Tink,Missy Elliott
Pveek,No I.D.
Lil Pru,Hoodzone
Big Mike,Mike Dean
Charles Hamilton,Boi-1da
ENEMIE,Deko
ClxutXanny,TOOM
Dave East & Styles P,Chase N. Cashe
Yo Gotti,Dr. Dre
Nebu Kiniza,Pi'erre Bourne
Alicia Keys,Salaam Remi
Kid Cudi,T-Pain
Favored Nations,Oh No
Jamie Foxx,Mustard
Gunplay,Mustard
Alkebulan,Childish Major
Lildanny,CashMoneyAP
Girl Talk,Erick Arc Elliott
Usher & Zaytoven,Zaytoven
Evidence,Nottz
Delta,Lee Bannon
Trippie Redd,Zaytoven
Brandon Allen,Sounwave
EarlWolf,Earl Sweatshirt
Lil Lonnie,Bobby Kritical
Yelawolf,Dr. Dre
Audio Push,J Dilla
ThouxanbanFauni,Dee Money
Trev Mulàh,Turbo
Ludacris,David Banner
Suraj Modi,Mike WiLL Made-It
Stoneyyy Wright,Bink!
A$AP Mob,Harry Fraud
Bello Figo,Cardo
MC Wojtu$,Lex Luger
Verbal Threat,DJ Premier
DJ Burn One,DJ Burn One
Lil Twist,Hit-Boy
Denzel Curry,Ronny J
Mozzy,DJ Spinz
Iggy Azalea,Diplo
Power 106 FM,Mike WiLL Made-It
K Camp,DJ Spinz
Faith Evans,The Neptunes
Macy Gray,Chase N. Cashe
Only The Family,Dun Deal
DJ Class,Kanye West
E-Wes,Iman Omari
Bandingo,MaxoKoolin
Tyler, The Creator,Bangladesh
The FADER,Travis Scott
Krafty,Erick Sermon
Metro Boomin,Sonny Digital
Aston Veyron,Big K.R.I.T.
Turtle NoJoke,Hit-Boy
GoldLink,BADBADNOTGOOD
Kodak Black,Southside
