song_id,song_title,album_id,album_title,cover_art_url,performer_id,performer_name,performer_img_url,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url,producer_id
517618,I Don't Fuck With You,118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,492,Big Sean,https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg,2014-09-12,2014,9,12,https://genius.com/songs/517618/apple_music_player,29780
366931,Or Nah (Remix),74606,Beach House EP,https://images.genius.com/41775710ce877114d676a80aa7953524.600x600x1.jpg,25005,Ty Dolla $ign,https://images.genius.com/d07735e0ce367e88926fd0bb120fb90d.1000x1000x1.jpg,2014-02-20,2014,2,20,https://genius.com/songs/366931/apple_music_player,29780
2413890,Needed Me,132689,ANTI,https://images.genius.com/ef1a5c940d0835c32d8337fef93625ac.1000x1000x1.jpg,89,Rihanna,https://images.genius.com/6c0a5c21157bafe0dcab934f107020a1.960x960x1.jpg,2016-01-28,2016,1,28,https://genius.com/songs/2413890/apple_music_player,29780
82860,I'm Different,19604,Based on a T.R.U. Story,https://images.genius.com/0855f72cd21e5220ad89c1cc26c16d73.957x957x1.jpg,14325,2 Chainz,https://images.genius.com/f82a00deb2e816cc89005a9839eead69.1000x1000x1.jpg,2012-11-08,2012,11,8,https://genius.com/songs/82860/apple_music_player,29780
161090,My Nigga,61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,1450,YG,https://images.genius.com/f57b70a21f00871254b1e65b69389543.1000x1000x1.jpg,2013-09-17,2013,9,17,https://genius.com/songs/161090/apple_music_player,29780
3258567,Freaky Friday,410838,LD2,https://assets.genius.com/images/default_cover_art.png?1550179390,47589,Lil Dicky,https://images.genius.com/a3d25d0210e13494897cca2f0441ba4c.1000x1000x1.jpg,2018-03-15,2018,3,15,https://genius.com/songs/3258567/apple_music_player,29780
573451,Post to Be,82935,Sex Playlist,https://images.genius.com/87d4580417a4e1a8ae8b0b2b54422819.300x300x1.jpg,2052,Omarion,https://images.genius.com/1fa11439c1929c7ec50419d4baa4d3b0.794x794x1.jpg,2014-11-11,2014,11,11,https://genius.com/songs/573451/apple_music_player,29780
324980,Who Do You Love?,61292,My Krazy Life,https://images.genius.com/ba2a73211e21ff3e11eba91f3f156e9d.1000x1000x1.jpg,1450,YG,https://images.genius.com/f57b70a21f00871254b1e65b69389543.1000x1000x1.jpg,2014-03-18,2014,3,18,https://genius.com/songs/324980/apple_music_player,29780
701664,One Man Can Change the World,118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,492,Big Sean,https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg,2015-02-17,2015,2,17,https://genius.com/songs/701664/apple_music_player,29780
703531,I Know,118666,Dark Sky Paradise,https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg,492,Big Sean,https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg,2015-02-24,2015,2,24,https://genius.com/songs/703531/apple_music_player,29780
430538,Don't Tell 'Em,112264,Late Nights: The Album,https://images.genius.com/ab531eefeac355bc461c97ae50a92cde.600x600x1.jpg,278,Jeremih,https://images.genius.com/59567e4918671304d37eb021331d239d.550x550x1.jpg,2014-06-06,2014,6,6,https://genius.com/songs/430538/apple_music_player,29780
214058,Show Me,56768,My Own Lane,https://images.genius.com/7400209c296da0734e3e84e7cc488887.640x640x1.jpg,1631,Kid Ink,https://images.genius.com/21bdd915768bba8a4230188219c45f1d.630x630x1.jpg,2013-09-17,2013,9,17,https://genius.com/songs/214058/apple_music_player,29780
