producer_id,producer_name,producer_img_url
10418,!llmind,https://images.genius.com/9e8cc55c100f634e20c067e0962a92d3.1000x1000x1.jpg
33494,1500 or Nothin',https://s3.amazonaws.com/rapgenius/15grxi8.jpg
73934,Lamar "Mars" Edwards,https://images.genius.com/56c4b09a868468c3a5aa02bcc4cf46dd.320x320x1.jpg
215175,16yrold,https://images.genius.com/a1ecc23af6874651ff4a2e784eb04ca0.350x350x1.png
1706060,2tall the Prodigee,https://assets.genius.com/images/default_avatar_300.png?1549919799
1702507,Casanova & 30 Roc,https://assets.genius.com/images/default_avatar_300.png?1550179390
984904,808-Ray,https://images.genius.com/d0215f2ebf32919bcbf1a810885f3b24.884x884x1.jpg
2024,88-Keys,https://images.genius.com/360635cdfcf95f9046a45600abd5bb5c.570x427x1.jpg
267905,904TEZZO,https://images.genius.com/507de74618913b0c4da39fdc7bbca2c6.816x816x1.jpg
2194,9th Wonder,https://images.genius.com/3bac08dcd927e23d8d0e41d27f713b40.304x304x1.jpg
1268970,SEB P,https://images.genius.com/db47c518c2cd423055adda79289d4e83.1000x1000x1.jpg
74563,Andreao "Fanatic" Heard,https://images.genius.com/2db7c02ca0c9ff488c00b776f5cc4d52.392x392x1.jpg
513334,A$AP P on the Boards,https://images.genius.com/b754ae3e62a7aca55eafe4350572b354.600x300x1.jpg
27635,A$AP Ty Beats,https://images.genius.com/da470ae876fd241688c76e7180577a1b.600x600x1.jpg
22698,AraabMUZIK,https://s3.amazonaws.com/rapgenius/araabmuzik.png
27469,Ayatollah,https://images.genius.com/1bc073b947e04f4b6cf5a6794ea9450c.500x333x1.jpg
55967,Team Backpack,https://images.genius.com/8c93ca4d1ac394bca65aa6478153a24e.512x511x1.jpg
27665,Bangladesh,https://s3.amazonaws.com/rapgenius/preview-style-suite-bangladesh.jpg
1267249,Based1,https://images.genius.com/1dad4f5391ac0e8394f5d2ad2cb21c07.437x437x1.jpg
995172,Bass Santana,https://images.genius.com/f5ca5e9f1c375f854f02365742715f85.652x652x1.jpg
27611,Beat Billionaire,https://s3.amazonaws.com/rapgenius/1375688344_music_feature1-1.jpg
31947,Beat Butcha,https://s3.amazonaws.com/rapgenius/171.aspx.jpg
349123,Big Head Todd and The Monsters,https://images.genius.com/6bd739959646b12caa8368729226f3de.1000x1000x1.jpg
491,Big K.R.I.T.,https://images.genius.com/0e16b62076c990c85eee504deedb7985.393x393x1.jpg
575891,Bijan Amir,https://images.genius.com/ff710ec740535c85eeae6d12a0bd9f18.728x728x1.jpg
1047132,Bink Woods Dre,https://assets.genius.com/images/default_avatar_300.png?1550179390
1060785,BL$$D,https://images.genius.com/8477469b45ad52f5dda762e089cafeb0.959x959x1.jpg
27639,Black Metaphor,https://images.genius.com/1f565ba500d73eae302cb6256efa5e48.1000x1000x1.jpg
1134021,BNYX®,https://images.genius.com/0996d325e627638ed553e9426a7a0500.1000x1000x30.gif
45465,Bobby Johnson Beats,https://images.genius.com/dec172cc315efd1f0f98e29181f5fae3.320x320x1.jpg
63610,Bobby Kritical,https://images.genius.com/6dbbe27802cccffacd7f56eeaccde173.320x180x40.gif
662,Boi-1da,https://images.genius.com/f1b95b403a63c49b2248d0e5c153092a.858x858x1.jpg
283439,Bongo,https://images.genius.com/097ad71095739c04c69fd9d8691f8916.734x734x1.jpg
143593,BrassTracks,https://images.genius.com/c52a776fa9f1b7902f7cc6a24b926b23.400x400x1.jpg
649865,Yung Buda,https://images.genius.com/ea4c05f42a565c1d2c6875c0a6195c8b.1000x1000x1.jpg
577,Buddah Bless,https://images.genius.com/28a8bc7da6b468ceb3ea14331b285e42.1000x1000x1.jpg
986854,Burd & Keyz,https://assets.genius.com/images/default_avatar_300.png?1550160033
1013170,BYOU$ (Producer),https://images.genius.com/1f9d0d743a83d3f720c78be84798e7b9.1000x1000x1.png
34909,CaptainCrunch,https://images.genius.com/e787a4a8fa6fe8941c90f7fb3fffad6c.411x411x1.png
18379,Alex Cardiak,https://assets.genius.com/images/default_avatar_300.png?1550074849
1297752,Payroll Giovanni & Cardo,https://images.genius.com/be0554e77d2d91df223358e288b2f660.640x640x1.jpg
13046,Carnage,https://images.genius.com/7d6e5f01849867884f14b7ec1c5daa68.1000x1000x1.jpg
28455,CashMoneyAP,https://images.genius.com/3d77f1d53e8ebbadb4c77505462b0e07.633x633x1.jpg
552001,CBMIX,https://images.genius.com/4cd33d13c84b272fb2c75e600c4b0ac6.720x720x1.jpg
52203,Charlie Heat,https://images.genius.com/37a39f4f1e64fc3a82ebb98df7a50b6b.600x600x1.jpg
675937,Charlie Shuffler,https://images.genius.com/219530b6336fe48b83e94bb23951342d.1000x1000x1.jpg
19829,Chase N. Cashe,https://s3.amazonaws.com/rapgenius/chasen.jpg
1281878,Z Money & ChaseTheMoney,https://assets.genius.com/images/default_avatar_300.png?1550074849
366454,Cheeze Beatz,https://images.genius.com/7d2caeb3dae0551a264bd12b6691a5dc.300x300x1.jpg
33062,Childish Major,https://images.genius.com/7364d7796faf84122e52803b1de98e2b.398x398x1.png
1687278,Young Chop & Chopsquad DJ,https://assets.genius.com/images/default_avatar_300.png?1550074849
13585,Daft Punk,https://images.genius.com/a508888fd6a96cadcf835ecf95b1c1ae.1000x1000x1.jpg
11546,Chuck Inglish,https://s3.amazonaws.com/rapgenius/1355734859_Chuck-Inglish.jpg
21456,Chuck Strangers,https://s3.amazonaws.com/rapgenius/chuckstrangers.jpg
1083097,Ciscosquad,https://images.genius.com/c84e5b085d737170afc26f6f5e580907.598x598x1.jpg
848,LL Cool J,https://images.genius.com/9e00cf56336ec8915e2fa3b2b2e7502d.377x377x1.jpg
7462,Cory Mo,https://images.genius.com/em9xiqdki8vtwl1xomql8jflv.620x411x1.jpg
683137,Cris Dinero,https://images.genius.com/411a0d75f0ccc903c870c1dcc2b17d7b.500x500x1.jpg
32429,CuBeatz,https://images.genius.com/100abac48eecf513dad29bf17db16013.700x700x1.jpg
86919,DDot Omen,https://images.genius.com/eec4aa80cfa25ece7115c212b03cbef6.646x646x1.jpg
37215,D.A. Doman,https://images.genius.com/13e41c6e4dff19865290a051fde3b389.1000x1000x1.png
34340,Da Honorable C.N.O.T.E.,https://images.genius.com/53cb8c331baff691ea15d3e7d4b93265.440x440x1.jpg
1134250,Hoodrich Pablo Juan & Danny Wolf,https://images.genius.com/d6f25e184b061e134ad7d617e19f51f0.1000x1000x1.jpg
638688,Daringer,https://images.genius.com/64b9e8b11ba8b78db72db801e1417c4f.400x400x1.jpg
