song_id|song_title|album_id|performer_id|release_date|release_year|release_month|release_day|apple_music_player_url
2105011 | Latino Pt. 2 | 126028 | 487071 | 2015-06-09 | 2015 | 6 | 9 | https://genius.com/songs/2105011/apple_music_player
2159421 | Lil' Piggies | 126028 | 487071 | 2015-06-30 | 2015 | 6 | 30 | https://genius.com/songs/2159421/apple_music_player
2249572 | I Just Might | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249572/apple_music_player
2249616 | Bad Santa | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249616/apple_music_player
2249559 | New Era | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249559/apple_music_player
2249595 | Six Fo' | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249595/apple_music_player
2175696 | Hallelujah |  | 487071 | 2015-07-13 | 2015 | 7 | 13 | https://genius.com/songs/2175696/apple_music_player
2249617 | Human (Outro) | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249617/apple_music_player
2249588 | My Niggas | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249588/apple_music_player
2249609 | Who Woulda' Knew | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249609/apple_music_player
2249600 | Light a L | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249600/apple_music_player
2249558 | Human (Intro) | 126028 | 487071 | 2015-07-17 | 2015 | 7 | 17 | https://genius.com/songs/2249558/apple_music_player
525 | Stronger | 4345 | 72 | 2007-07-31 | 2007 | 7 | 31 | https://genius.com/songs/525/apple_music_player
54089 | Martians vs. Goblins | 9859 | 42 | 2011-08-19 | 2011 | 8 | 19 | https://genius.com/songs/54089/apple_music_player
133463 | For the Road | 29201 | 554 | 2013-04-04 | 2013 | 4 | 4 | https://genius.com/songs/133463/apple_music_player
92213 | White Dress | 38013 | 72 |  | 2012 |  |  | https://genius.com/songs/92213/apple_music_player
67334 | Take You Down | 1550 | 438 | 2008-04-06 | 2008 | 4 | 6 | https://genius.com/songs/67334/apple_music_player
200909 | Stop It | 24877 | 1073 | 2013-08-23 | 2013 | 8 | 23 | https://genius.com/songs/200909/apple_music_player
1102 | Go to Sleep | 33273 | 147 | 2012-07-02 | 2012 | 7 | 2 | https://genius.com/songs/1102/apple_music_player
5300 | The People | 1678 | 223 | 2007-05-22 | 2007 | 5 | 22 | https://genius.com/songs/5300/apple_music_player
919 | Show Me What You Got | 4069 | 2 | 2006-10-06 | 2006 | 10 | 6 | https://genius.com/songs/919/apple_music_player
14368 | I Want You | 1678 | 223 | 2007-10-09 | 2007 | 10 | 9 | https://genius.com/songs/14368/apple_music_player
294021 | Legs Shakin' | 16925 | 535 | 2013-12-06 | 2013 | 12 | 6 | https://genius.com/songs/294021/apple_music_player
51923 | Up to You | 19231 | 438 | 2011-03-18 | 2011 | 3 | 18 | https://genius.com/songs/51923/apple_music_player
44989 | Dope Boys | 9857 | 42 | 2008-06-24 | 2008 | 6 | 24 | https://genius.com/songs/44989/apple_music_player
2833095 | We Will Not | 320876 | 85 | 2016-08-05 | 2016 | 8 | 5 | https://genius.com/songs/2833095/apple_music_player
540305 | King | 108787 | 85 | 2014-10-21 | 2014 | 10 | 21 | https://genius.com/songs/540305/apple_music_player
54100 | Hello | 9859 | 42 | 2011-08-19 | 2011 | 8 | 19 | https://genius.com/songs/54100/apple_music_player
2486906 | She Wish She Was | 127819 | 1450 | 2016-06-14 | 2016 | 6 | 14 | https://genius.com/songs/2486906/apple_music_player
724551 | Project Steps | 130714 | 85 | 2015-03-11 | 2015 | 3 | 11 | https://genius.com/songs/724551/apple_music_player
82871 | I Feel Good | 19604 | 14325 | 2012-08-14 | 2012 | 8 | 14 | https://genius.com/songs/82871/apple_music_player
54103 | California Dream | 9859 | 42 | 2011-08-19 | 2011 | 8 | 19 | https://genius.com/songs/54103/apple_music_player
44975 | Why You Hate the Game | 9852 | 42 | 2006-11-14 | 2006 | 11 | 14 | https://genius.com/songs/44975/apple_music_player
6346 | Break You Off | 8806 | 244 | 2002-11-26 | 2002 | 11 | 26 | https://genius.com/songs/6346/apple_music_player
2848541 | Warzone | 320876 | 85 | 2016-09-08 | 2016 | 9 | 8 | https://genius.com/songs/2848541/apple_music_player
14367 | Misunderstood | 1678 | 223 | 2007-07-31 | 2007 | 7 | 31 | https://genius.com/songs/14367/apple_music_player
54098 | Speakers On Blast | 9859 | 42 | 2011-08-19 | 2011 | 8 | 19 | https://genius.com/songs/54098/apple_music_player
2777 | Drivin' Me Wild | 1678 | 223 | 2007-08-31 | 2007 | 8 | 31 | https://genius.com/songs/2777/apple_music_player
62669 | This Time Of Night | 14087 | 85 | 2012-01-01 | 2012 | 1 | 1 | https://genius.com/songs/62669/apple_music_player
2826766 | I Don't Stress (Stressed Out) | 163823 | 1263 | 2016-07-25 | 2016 | 7 | 25 | https://genius.com/songs/2826766/apple_music_player
3510806 | Million While You Young | 78280 | 1263 | 2018-02-16 | 2018 | 2 | 16 | https://genius.com/songs/3510806/apple_music_player
40520 | Web | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40520/apple_music_player
3911 | White Soft Porn | 10827 | 42 | 2011-01-31 | 2011 | 1 | 31 | https://genius.com/songs/3911/apple_music_player
54101 | All The Way Gone | 9859 | 42 | 2011-08-19 | 2011 | 8 | 19 | https://genius.com/songs/54101/apple_music_player
40512 | Guns Are Drawn | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40512/apple_music_player
3245790 | Ready for Whatever |  | 339 | 2017-09-22 | 2017 | 9 | 22 | https://genius.com/songs/3245790/apple_music_player
14364 | Forever Begins | 1678 | 223 | 2007-07-31 | 2007 | 7 | 31 | https://genius.com/songs/14364/apple_music_player
3892 | U, Black Maybe | 1678 | 223 | 2007-07-31 | 2007 | 7 | 31 | https://genius.com/songs/3892/apple_music_player
3510808 | Real Big | 78280 | 1263 | 2018-02-16 | 2018 | 2 | 16 | https://genius.com/songs/3510808/apple_music_player
2822845 | Clarity | 163823 | 1263 | 2016-07-18 | 2016 | 7 | 18 | https://genius.com/songs/2822845/apple_music_player
3510809 | Right Hand 2 God | 78280 | 1263 | 2018-02-16 | 2018 | 2 | 16 | https://genius.com/songs/3510809/apple_music_player
2506635 | Question #1 | 163823 | 1263 | 2016-06-13 | 2016 | 6 | 13 | https://genius.com/songs/2506635/apple_music_player
2083 | G.R.I.N.D |  | 453 | 2010-07-26 | 2010 | 7 | 26 | https://genius.com/songs/2083/apple_music_player
40511 | Boom! | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40511/apple_music_player
3074187 | 420 (Blaze Up) | 341712 | 46 | 2017-05-19 | 2017 | 5 | 19 | https://genius.com/songs/3074187/apple_music_player
14376 | Break My Heart | 1678 | 223 | 2007-07-31 | 2007 | 7 | 31 | https://genius.com/songs/14376/apple_music_player
74375 | Like That | 25420 | 85 | 2012-12-18 | 2012 | 12 | 18 | https://genius.com/songs/74375/apple_music_player
228019 | Come As You Are | 44683 | 1981 | 2013-01-01 | 2013 | 1 | 1 | https://genius.com/songs/228019/apple_music_player
45001 | Touchdown | 9857 | 42 | 2008-08-26 | 2008 | 8 | 26 | https://genius.com/songs/45001/apple_music_player
40513 | Star/Pointro | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40513/apple_music_player
70155 | Bills Is Paid | 15983 | 42 |  |  |  |  | https://genius.com/songs/70155/apple_music_player
53659 | Change Your Life | 11655 | 42 | 2011-07-29 | 2011 | 7 | 29 | https://genius.com/songs/53659/apple_music_player
2875490 | All to Myself | 229384 | 20850 | 2016-10-06 | 2016 | 10 | 6 | https://genius.com/songs/2875490/apple_music_player
540992 | At Ya Own Risk | 108787 | 85 | 2014-10-21 | 2014 | 10 | 21 | https://genius.com/songs/540992/apple_music_player
40516 | Stay Cool | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40516/apple_music_player
3208597 | Dis Finna Be A Breeze | 375264 | 46 | 2017-08-23 | 2017 | 8 | 23 | https://genius.com/songs/3208597/apple_music_player
2106719 | Mile High | 123716 | 998 |  | 2015 |  |  | https://genius.com/songs/2106719/apple_music_player
2460201 | Cash | 149918 | 344083 | 2016-04-22 | 2016 | 4 | 22 | https://genius.com/songs/2460201/apple_music_player
3961953 | What Can I Say | 152605 | 85 | 2018-10-05 | 2018 | 10 | 5 | https://genius.com/songs/3961953/apple_music_player
2955728 | Bouncin' | 325315 | 607646 | 2017-01-13 | 2017 | 1 | 13 | https://genius.com/songs/2955728/apple_music_player
2864427 | Us Or Else [Tracklist + Album Art] | 162530 | 85 | 2016-09-23 | 2016 | 9 | 23 | https://genius.com/songs/2864427/apple_music_player
3040568 | No Coffee | 229384 | 20850 | 2017-03-31 | 2017 | 3 | 31 | https://genius.com/songs/3040568/apple_music_player
40533 | Why (What's Goin On?) | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40533/apple_music_player
3025989 | Lovin You for Life | 328114 | 1066210 | 2017-05-19 | 2017 | 5 | 19 | https://genius.com/songs/3025989/apple_music_player
40514 | Somebody's Gotta Do It | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/40514/apple_music_player
14374 | Start the Show (Extended) | 1678 | 223 | 2007-07-31 | 2007 | 7 | 31 | https://genius.com/songs/14374/apple_music_player
54053 | 25 To Life | 11655 | 42 | 2011-07-29 | 2011 | 7 | 29 | https://genius.com/songs/54053/apple_music_player
3710942 | Black Woman | 429733 | 607646 | 2018-05-11 | 2018 | 5 | 11 | https://genius.com/songs/3710942/apple_music_player
2131298 | Kush Coversation | 123716 | 998 |  |  |  |  | https://genius.com/songs/2131298/apple_music_player
40427 | Long Time | 8795 | 244 | 2006-08-29 | 2006 | 8 | 29 | https://genius.com/songs/40427/apple_music_player
5869 | I Don't Care | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/5869/apple_music_player
40472 | Complexity | 8806 | 244 | 2002-11-26 | 2002 | 11 | 26 | https://genius.com/songs/40472/apple_music_player
53509 | Wow | 11655 | 42 | 2011-07-29 | 2011 | 7 | 29 | https://genius.com/songs/53509/apple_music_player
243548 | I Like It | 44683 | 1981 | 2013-09-01 | 2013 | 9 | 1 | https://genius.com/songs/243548/apple_music_player
2447979 | Can I Get A… (MTV Unplugged) | 4079 | 2 | 2001-11-18 | 2001 | 11 | 18 | https://genius.com/songs/2447979/apple_music_player
51248 | I'm On | 11655 | 42 | 2011-07-29 | 2011 | 7 | 29 | https://genius.com/songs/51248/apple_music_player
2441679 | Izzo (H.O.V.A.) [MTV Unplugged] | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2441679/apple_music_player
2411041 | Home | 128882 | 1955 | 2016-02-19 | 2016 | 2 | 19 | https://genius.com/songs/2411041/apple_music_player
107384 | Through My Eyes |  | 42 |  |  |  |  | https://genius.com/songs/107384/apple_music_player
53511 | Hoodmorning | 11655 | 42 | 2011-07-29 | 2011 | 7 | 29 | https://genius.com/songs/53511/apple_music_player
3014454 | Dope Game | 334389 | 85 | 2017-03-07 | 2017 | 3 | 7 | https://genius.com/songs/3014454/apple_music_player
32734 | Right For Me | 6424 | 334 | 2002-11-04 | 2002 | 11 | 4 | https://genius.com/songs/32734/apple_music_player
54229 | Fucked Up | 11655 | 42 | 2011-07-29 | 2011 | 7 | 29 | https://genius.com/songs/54229/apple_music_player
2949636 | Hustle Gang Business | 221639 | 50175 | 2016-09-19 | 2016 | 9 | 19 | https://genius.com/songs/2949636/apple_music_player
3724777 | Save the Trilldren | 429733 | 607646 | 2018-05-18 | 2018 | 5 | 18 | https://genius.com/songs/3724777/apple_music_player
2447419 | Big Pimpin' (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2447419/apple_music_player
2445888 | Heart of the City (Ain't No Love) (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2445888/apple_music_player
2454456 | Song Cry (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2454456/apple_music_player
548258 | In Love With The Mic | 8818 | 244 | 2004-07-13 | 2004 | 7 | 13 | https://genius.com/songs/548258/apple_music_player
2443044 | Takeover (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2443044/apple_music_player
2713258 | RD20 |  | 2 | 2016-06-25 | 2016 | 6 | 25 | https://genius.com/songs/2713258/apple_music_player
2456029 | I Just Wanna Love U (Give It 2 Me) (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2456029/apple_music_player
2445806 | Jigga What, Jigga Who (MTV Unplugged) | 4079 | 2 | 2001-12-18 | 2001 | 12 | 18 | https://genius.com/songs/2445806/apple_music_player
35263 | She's So Fly | 7130 | 148 | 2010-11-12 | 2010 | 11 | 12 | https://genius.com/songs/35263/apple_music_player
3100183 | City of No Reply | 229384 | 20850 | 2017-06-02 | 2017 | 6 | 2 | https://genius.com/songs/3100183/apple_music_player
2275932 | My Petition | 23812 | 1731 | 2004-08-31 | 2004 | 8 | 31 | https://genius.com/songs/2275932/apple_music_player
10594 | Nowhere Fast | 906 | 215 | 2002-04-30 | 2002 | 4 | 30 | https://genius.com/songs/10594/apple_music_player
