song_id, song_title, album_id, performer_id, release_date, release_year, release_month, release_day, apple_music_player_url
68922,Grown Up,,1422,2012-06-05,2012,6,5,https://genius.com/songs/68922/apple_music_player
484130,Easy Rider,108940,12404,2014-08-20,2014,8,20,https://genius.com/songs/484130/apple_music_player
69913,9-24-11,15469,12404,2012-03-12,2012,3,12,https://genius.com/songs/69913/apple_music_player
68129,Pouches of Tuna,15469,12404,2012-03-12,2012,3,12,https://genius.com/songs/68129/apple_music_player
250886,9.24.13,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/250886/apple_music_player
128013,Contemporary Man,50790,12404,2012-01-05,2012,1,5,https://genius.com/songs/128013/apple_music_player
535415,A Light in the Addict,108940,12404,2015-03-23,2015,3,23,https://genius.com/songs/535415/apple_music_player
250799,Rolling Thunder,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/250799/apple_music_player
251055,Through The Eyes of a G,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/251055/apple_music_player
68258,Thug Love Story 2012,15469,12404,,,,,https://genius.com/songs/68258/apple_music_player
68206,Steve Wynn,15469,12404,,,,,https://genius.com/songs/68206/apple_music_player
250782,Amadu Diablo,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/250782/apple_music_player
251002,Action Silverado,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/251002/apple_music_player
251581,Twin Peugots,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/251581/apple_music_player
68377,Hookers At The Point,15469,12404,,,,,https://genius.com/songs/68377/apple_music_player
71274,Tan Leather,15469,12404,2012-03-12,2012,3,12,https://genius.com/songs/71274/apple_music_player
247805,Practice,50790,12404,2013-10-28,2013,10,28,https://genius.com/songs/247805/apple_music_player
727338,Only In America,108940,12404,2015-03-23,2015,3,23,https://genius.com/songs/727338/apple_music_player
252371,It Concerns Me,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/252371/apple_music_player
250760,The Don's Cheek,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/250760/apple_music_player
68118,103 And Roosy,15469,12404,,,,,https://genius.com/songs/68118/apple_music_player
250751,Pepe Lopez,50790,12404,2015-04-06,2015,4,6,https://genius.com/songs/250751/apple_music_player
71379,5 Minute Beats 1 Take Raps,15469,12404,,,,,https://genius.com/songs/71379/apple_music_player
68193,Ron Simmons,15469,12404,,,,,https://genius.com/songs/68193/apple_music_player
251635,Flip Ya,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/251635/apple_music_player
68321,Tapas,15469,12404,,,,,https://genius.com/songs/68321/apple_music_player
727320,City Boy Blues,108940,12404,2015-03-23,2015,3,23,https://genius.com/songs/727320/apple_music_player
251037,Jackson & Travolta,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/251037/apple_music_player
68249,Arts & Leisure,15469,12404,,,,,https://genius.com/songs/68249/apple_music_player
193649,Blue Chips,15469,12404,,2012,,,https://genius.com/songs/193649/apple_music_player
72348,Nordic Wind,15469,12404,,,,,https://genius.com/songs/72348/apple_music_player
3206083,Wolfpack,149005,12404,2017-08-25,2017,8,25,https://genius.com/songs/3206083/apple_music_player
252416,In The City,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/252416/apple_music_player
250940,I Adore You,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/250940/apple_music_player
236155,Double Breasted,15469,12404,2015-04-06,2015,4,6,https://genius.com/songs/236155/apple_music_player
90566,Expensive Pens,15469,12404,,,,,https://genius.com/songs/90566/apple_music_player
727337,The Passage,108940,12404,2015-03-24,2015,3,24,https://genius.com/songs/727337/apple_music_player
68807,Intercontinental Champion,15469,12404,,,,,https://genius.com/songs/68807/apple_music_player
252703,Intro,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/252703/apple_music_player
252960,Man & The Mirror,50790,12404,2013-11-01,2013,11,1,https://genius.com/songs/252960/apple_music_player
3206087,Let It Rain,149005,12404,2017-08-25,2017,8,25,https://genius.com/songs/3206087/apple_music_player
350307,Humphrey,79390,1,2014-01-29,2014,1,29,https://genius.com/songs/350307/apple_music_player
3206088,My Right Lung,149005,12404,2017-08-25,2017,8,25,https://genius.com/songs/3206088/apple_music_player
68443,New Religion,62398,13077,,,,,https://genius.com/songs/68443/apple_music_player
4057233,Irishman Freestyle,461805,12404,2018-11-01,2018,11,1,https://genius.com/songs/4057233/apple_music_player
4057236,Brutal,461805,12404,2018-11-01,2018,11,1,https://genius.com/songs/4057236/apple_music_player
2276705,Sheet Music,127886,20285,2015-08-07,2015,8,7,https://genius.com/songs/2276705/apple_music_player
88937,Egyptian Art (Pouches Of Tuna Remix),,21031,,,,,https://genius.com/songs/88937/apple_music_player
249652,November Rain,342546,12404,2013-01-01,2013,1,1,https://genius.com/songs/249652/apple_music_player
87886,New York 2017,280538,18277,,,,,https://genius.com/songs/87886/apple_music_player
470746,Blue Chips 2 Album Art,50790,12404,,,,,https://genius.com/songs/470746/apple_music_player
1845579,Twin Peugeots,465513,12404,2012-12-18,2012,12,18,https://genius.com/songs/1845579/apple_music_player
131171,Fully Equipped,30106,23325,,,,,https://genius.com/songs/131171/apple_music_player
1206813,Beautiful Girl,280538,18277,,,,,https://genius.com/songs/1206813/apple_music_player
105619,Muchas Gracias,24945,20461,,,,,https://genius.com/songs/105619/apple_music_player
335609,Security,,18277,2014-01-07,2014,1,7,https://genius.com/songs/335609/apple_music_player
2846847,Action Bronson,,995273,2016-08-28,2016,8,28,https://genius.com/songs/2846847/apple_music_player
470744,Blue Chips Album Art,15469,12404,,,,,https://genius.com/songs/470744/apple_music_player
199315,Tough Shot,,18277,2013-08-10,2013,8,10,https://genius.com/songs/199315/apple_music_player
3544970,Japanese,,1401837,2017-04-20,2017,4,20,https://genius.com/songs/3544970/apple_music_player
2412192,Tag the Tongue,,550998,2015-12-31,2015,12,31,https://genius.com/songs/2412192/apple_music_player
176396,Pouches of Tuna Freestyle,337629,21463,,,,,https://genius.com/songs/176396/apple_music_player
3622692,Days of my Youth 2,413234,9028,2018-04-02,2018,4,2,https://genius.com/songs/3622692/apple_music_player
396837,4 More Months 2 Go,,18277,,,,,https://genius.com/songs/396837/apple_music_player
444217,"Fuck The Industry" (Through The Eyes of A G),104785,186667,2014-08-04,2014,8,4,https://genius.com/songs/444217/apple_music_player
2214193,Goal,,527451,,,,,https://genius.com/songs/2214193/apple_music_player
293023,Through The Eyes of A G,64029,106727,,,,,https://genius.com/songs/293023/apple_music_player
3281336,Gloria,,18277,2017-05-13,2017,5,13,https://genius.com/songs/3281336/apple_music_player
2019518,A Light in the Addict (SirGenti Remix),,462243,,,,,https://genius.com/songs/2019518/apple_music_player
62236,Safe & Sound,87979,1177,2012-03-16,2012,3,16,https://genius.com/songs/62236/apple_music_player
73161,Poison & Wine,16773,16026,2009-11-20,2009,11,20,https://genius.com/songs/73161/apple_music_player
3031286,Hate the Way You Love Me,162602,385318,2016-08-19,2016,8,19,https://genius.com/songs/3031286/apple_music_player
201343,Dust to Dust,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201343/apple_music_player
110316,Barton Hollow,16773,16026,2011-01-10,2011,1,10,https://genius.com/songs/110316/apple_music_player
201340,The One That Got Away,41688,16026,2013-06-11,2013,6,11,https://genius.com/songs/201340/apple_music_player
201406,Sacred Heart,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201406/apple_music_player
104012,I've Got This Friend,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/104012/apple_music_player
201361,Disarm,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201361/apple_music_player
201346,Devil's Backbone,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201346/apple_music_player
748250,C'est La Mort,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748250/apple_music_player
2842126,The Once and Future Queen,162602,385318,2016-08-16,2016,8,16,https://genius.com/songs/2842126/apple_music_player
2833971,What's So,162602,385318,2016-08-19,2016,8,19,https://genius.com/songs/2833971/apple_music_player
3128694,I Know,351256,1160134,2017-06-16,2017,6,16,https://genius.com/songs/3128694/apple_music_player
2414488,Simple Song,229566,385318,2016-03-18,2016,3,18,https://genius.com/songs/2414488/apple_music_player
748254,To Whom It May Concern,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748254/apple_music_player
2842123,Black Leaf,162602,385318,2016-08-19,2016,8,19,https://genius.com/songs/2842123/apple_music_player
526098,Falling,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/526098/apple_music_player
748247,20 Years,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748247/apple_music_player
1659408,Dance Me to the End of Love,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/1659408/apple_music_player
201341,I Had Me a Girl,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201341/apple_music_player
2835244,Bed Down,149574,405152,2016-03-11,2016,3,11,https://genius.com/songs/2835244/apple_music_player
1053017,Billie Jean,16773,16026,2012-03-01,2012,3,1,https://genius.com/songs/1053017/apple_music_player
201344,Eavesdrop,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201344/apple_music_player
1062136,You Are My Sunshine,16773,16026,2012-03-01,2012,3,1,https://genius.com/songs/1062136/apple_music_player
201347,From This Valley,41688,16026,2013-06-25,2013,6,25,https://genius.com/songs/201347/apple_music_player
2842131,Make You Cry,162602,385318,2016-08-14,2016,8,14,https://genius.com/songs/2842131/apple_music_player
2053563,Safe and Sound,,249592,2012-07-21,2012,7,21,https://genius.com/songs/2053563/apple_music_player
201342,Same Old Same Old,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201342/apple_music_player
748257,Girl with the Red Balloon,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748257/apple_music_player
2842152,I've Been over This Before,162602,385318,2016-08-14,2016,8,14,https://genius.com/songs/2842152/apple_music_player
534595,Tip of My Tongue,243819,16026,2009-06-30,2009,6,30,https://genius.com/songs/534595/apple_music_player
2842148,Hope I Die,162602,385318,2016-08-14,2016,8,14,https://genius.com/songs/2842148/apple_music_player
201349,Tell Mama,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201349/apple_music_player
2974599,What a Way to Go,328633,385318,,,,,https://genius.com/songs/2974599/apple_music_player
2842140,Fight For You,162602,385318,2016-08-14,2016,8,14,https://genius.com/songs/2842140/apple_music_player
201415,D’Arline,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201415/apple_music_player
2836179,The Martyr,162602,385318,2016-01-01,2016,1,1,https://genius.com/songs/2836179/apple_music_player
748264,Birds of a Feather,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748264/apple_music_player
1203913,Tracks in the Snow,243820,16026,2011-11-25,2011,11,25,https://genius.com/songs/1203913/apple_music_player
748255,My Father's Father,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748255/apple_music_player
748261,Forget Me Not,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/748261/apple_music_player
4000479,My Dreams Have All Come True,497240,385318,2018-10-05,2018,10,5,https://genius.com/songs/4000479/apple_music_player
2179488,The Violet Hour,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/2179488/apple_music_player
3194208,Each To Each,149574,405152,2016-03-11,2016,3,11,https://genius.com/songs/3194208/apple_music_player
201353,Oh Henry,41688,16026,2013-08-06,2013,8,6,https://genius.com/songs/201353/apple_music_player
1079447,I Want You Back,16773,16026,2011-02-01,2011,2,1,https://genius.com/songs/1079447/apple_music_player
3065004,I'll Get Even,162602,385318,,2016,,,https://genius.com/songs/3065004/apple_music_player
1462548,Go,243819,16026,2009-11-20,2009,11,20,https://genius.com/songs/1462548/apple_music_player
3128699,Was I The Only One,351256,1160134,2017-06-16,2017,6,16,https://genius.com/songs/3128699/apple_music_player
905306,Goodbye Girl,16773,16026,2012-03-01,2012,3,1,https://genius.com/songs/905306/apple_music_player
3192574,Bourbon,149574,405152,2016-03-11,2016,3,11,https://genius.com/songs/3192574/apple_music_player
3046688,It Ain't Over,338732,332504,2017-03-31,2017,3,31,https://genius.com/songs/3046688/apple_music_player
2100603,Losing Me,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2100603/apple_music_player
127993,Relentless,29711,17949,2008-05-05,2008,5,5,https://genius.com/songs/127993/apple_music_player
1091475,If I Didn't Know Better (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/1091475/apple_music_player
1034769,Pressing Flowers,243819,16026,2009-11-20,2009,11,20,https://genius.com/songs/1034769/apple_music_player
3132658,I Never Said,351256,1160134,2017-06-16,2017,6,16,https://genius.com/songs/3132658/apple_music_player
1320228,Can't Get It Out Of My Head,326417,385318,,,,,https://genius.com/songs/1320228/apple_music_player
2952662,Call It Love,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952662/apple_music_player
2952644,This Life,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952644/apple_music_player
2952628,Black Cloud,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952628/apple_music_player
2952684,September,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952684/apple_music_player
2952710,Home,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952710/apple_music_player
3194216,Until Tomorrow,149574,405152,2016-03-11,2016,3,11,https://genius.com/songs/3194216/apple_music_player
3132638,I'm Not Your Man,351256,1160134,2017-06-16,2017,6,16,https://genius.com/songs/3132638/apple_music_player
508278,Say Goodnight,19297,13741,2012-08-27,2012,8,27,https://genius.com/songs/508278/apple_music_player
2222480,Safe & Sound,,521237,2012-01-05,2012,1,5,https://genius.com/songs/2222480/apple_music_player
2952703,Neon,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952703/apple_music_player
1565068,Marionette (Demo),16773,16026,2012-03-01,2012,3,1,https://genius.com/songs/1565068/apple_music_player
4240624,The Long Way Home,497240,385318,2019-01-18,2019,1,18,https://genius.com/songs/4240624/apple_music_player
2952635,Alien,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952635/apple_music_player
3906618,Lose Myself,454429,454740,,,,,https://genius.com/songs/3906618/apple_music_player
2952698,Over My Head,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952698/apple_music_player
2952672,Come Over,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952672/apple_music_player
2952678,Holiday,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952678/apple_music_player
2952713,Sleepwalking,177497,385318,2008-08-19,2008,8,19,https://genius.com/songs/2952713/apple_music_player
1756257,Dust to Dust (Acoustic),227804,16026,2013-11-29,2013,11,29,https://genius.com/songs/1756257/apple_music_player
2903934,Poison & Wine (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/2903934/apple_music_player
1629284,Eavesdrop (Alternate Version),227804,16026,2013-11-29,2013,11,29,https://genius.com/songs/1629284/apple_music_player
2906638,Poison & Wine (Unplugged on VH1),289679,16026,2013-01-15,2013,1,15,https://genius.com/songs/2906638/apple_music_player
2884450,The One That Got Away (Acoustic),227804,16026,2013-11-29,2013,11,29,https://genius.com/songs/2884450/apple_music_player
931518,From This Valley (Acoustic),227804,16026,2013-11-29,2013,11,29,https://genius.com/songs/931518/apple_music_player
1100841,Oh Henry (Alternate Version),227804,16026,2013-11-29,2013,11,29,https://genius.com/songs/1100841/apple_music_player
2906594,Kingdom Come (Unplugged on VH1),289679,16026,2013-01-15,2013,1,15,https://genius.com/songs/2906594/apple_music_player
2905548,Poison & Wine (iTunes Live: SXSW),289329,16026,2011-03-19,2011,3,19,https://genius.com/songs/2905548/apple_music_player
724396,Change Your Mind,121558,52313,,2009,,,https://genius.com/songs/724396/apple_music_player
2903935,Tip of My Tongue (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/2903935/apple_music_player
3906623,Almost Persuaded,454429,454740,,,,,https://genius.com/songs/3906623/apple_music_player
2884451,I Had Me a Girl (Acoustic),227804,16026,2013-11-29,2013,11,29,https://genius.com/songs/2884451/apple_music_player
3230967,Butterfly,368042,184842,,,,,https://genius.com/songs/3230967/apple_music_player
3231024,Needy,368042,184842,,,,,https://genius.com/songs/3231024/apple_music_player
1988653,Falling (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/1988653/apple_music_player
2906232,I've Got This Friend (Live at Amoeba),289537,16026,2012-04-21,2012,4,21,https://genius.com/songs/2906232/apple_music_player
2905564,Barton Hollow (Live @ Sundance),289489,16026,2012-02-24,2012,2,24,https://genius.com/songs/2905564/apple_music_player
1532102,Falling (Demo),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/1532102/apple_music_player
2906654,Barton Hollow (Unplugged on VH1),289679,16026,2013-01-15,2013,1,15,https://genius.com/songs/2906654/apple_music_player
2905570,I've Got This Friend (Live @ Sundance),289489,16026,2012-02-24,2012,2,24,https://genius.com/songs/2905570/apple_music_player
2903938,Girl with the Red Balloon (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/2903938/apple_music_player
1954859,20 Years (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/1954859/apple_music_player
2906587,I've Got This Friend (Unplugged on VH1),289679,16026,2013-01-15,2013,1,15,https://genius.com/songs/2906587/apple_music_player
2905908,Tip of My Tongue (Live at Amoeba),289537,16026,2012-04-21,2012,4,21,https://genius.com/songs/2905908/apple_music_player
1983757,My Father's Father (Live at Eddie's Attic),289169,16026,2009-06-30,2009,6,30,https://genius.com/songs/1983757/apple_music_player
2905533,Barton Hollow (iTunes Live: SXSW),289329,16026,2011-03-19,2011,3,19,https://genius.com/songs/2905533/apple_music_player
2905526,From This Valley (iTunes Live: SXSW),289329,16026,2011-03-19,2011,3,19,https://genius.com/songs/2905526/apple_music_player
2905562,20 Years (Live @ Sundance),289489,16026,2012-02-24,2012,2,24,https://genius.com/songs/2905562/apple_music_player
2905565,Forget Me Not (Live @ Sundance),289489,16026,2012-02-24,2012,2,24,https://genius.com/songs/2905565/apple_music_player
2905572,Tip of My Tongue (Live @ Sundance),289489,16026,2012-02-24,2012,2,24,https://genius.com/songs/2905572/apple_music_player
2906656,20 Years (Unplugged on VH1),289679,16026,2013-01-15,2013,1,15,https://genius.com/songs/2906656/apple_music_player
4243940,The Hurting Kind,497240,385318,,,,,https://genius.com/songs/4243940/apple_music_player
2904795,Tip of My Tongue (iTunes Live: SXSW),289329,16026,2011-03-19,2011,3,19,https://genius.com/songs/2904795/apple_music_player
4243937,I Wish I Could Write You A Song,497240,385318,,,,,https://genius.com/songs/4243937/apple_music_player
2906231,20 Years (Live at Amoeba),289537,16026,2012-04-21,2012,4,21,https://genius.com/songs/2906231/apple_music_player
2906230,From This Valley (Live at Amoeba),289537,16026,2012-04-21,2012,4,21,https://genius.com/songs/2906230/apple_music_player
2905530,Oh Henry (iTunes Live: SXSW),289329,16026,2011-03-19,2011,3,19,https://genius.com/songs/2905530/apple_music_player
2905912,Forget Me Not (Live at Amoeba),289537,16026,2012-04-21,2012,4,21,https://genius.com/songs/2905912/apple_music_player
2905532,20 Years (iTunes Live: SXSW),289329,16026,2011-03-19,2011,3,19,https://genius.com/songs/2905532/apple_music_player
4243936,The Good Old Days,497240,385318,,,,,https://genius.com/songs/4243936/apple_music_player
4243941,This Isn’t Gonna End Well,497240,385318,,,,,https://genius.com/songs/4243941/apple_music_player
4243939,Yesterday’s Love,497240,385318,,,,,https://genius.com/songs/4243939/apple_music_player
4243938,Heart Like a Kite,497240,385318,,,,,https://genius.com/songs/4243938/apple_music_player
4243942,You Lost Me,497240,385318,,,,,https://genius.com/songs/4243942/apple_music_player
4243943,James,497240,385318,,,,,https://genius.com/songs/4243943/apple_music_player
131845,Blurred Lines,36312,459,2013-03-26,2013,3,26,https://genius.com/songs/131845/apple_music_player
139968,Get Lucky,31784,13585,2013-04-19,2013,4,19,https://genius.com/songs/139968/apple_music_player
2992529,Havana,380861,609667,2017-08-03,2017,8,3,https://genius.com/songs/2992529/apple_music_player
722278,Alright,120991,1421,2015-03-15,2015,3,15,https://genius.com/songs/722278/apple_music_player
3120234,Feels,344158,2069,2017-06-15,2017,6,15,https://genius.com/songs/3120234/apple_music_player
3786530,APESHIT,438392,1408735,2018-06-16,2018,6,16,https://genius.com/songs/3786530/apple_music_player
154031,Happy,84179,110,2013-11-21,2013,11,21,https://genius.com/songs/154031/apple_music_player
433098,About The Money,108787,85,2014-06-03,2014,6,3,https://genius.com/songs/433098/apple_music_player
133410,IFHY,18842,685,2013-03-29,2013,3,29,https://genius.com/songs/133410/apple_music_player
3298826,Lemon,378899,1254058,2017-11-01,2017,11,1,https://genius.com/songs/3298826/apple_music_player
3383633,Stir Fry,369295,44080,2017-12-20,2017,12,20,https://genius.com/songs/3383633/apple_music_player
52022,Gotta Have It,350432,652275,2011-12-06,2011,12,6,https://genius.com/songs/52022/apple_music_player
179701,Oceans,36559,2,2013-07-04,2013,7,4,https://genius.com/songs/179701/apple_music_player
2842078,Pink + White,164538,1985,2016-08-20,2016,8,20,https://genius.com/songs/2842078/apple_music_player
3681285,​sweetener,393916,26507,2018-08-17,2018,8,17,https://genius.com/songs/3681285/apple_music_player
2421955,30 Hours,120604,72,2016-02-12,2016,2,12,https://genius.com/songs/2421955/apple_music_player
299368,Blow,65407,498,2013-12-13,2013,12,13,https://genius.com/songs/299368/apple_music_player
356525,Move That Dope,41797,2197,2014-04-22,2014,4,22,https://genius.com/songs/356525/apple_music_player
3681276,​R.E.M,393916,26507,2018-08-17,2018,8,17,https://genius.com/songs/3681276/apple_music_player
90477,​good kid,491200,1421,2012-10-22,2012,10,22,https://genius.com/songs/90477/apple_music_player
3690801,​the light is coming,393916,26507,2018-06-20,2018,6,20,https://genius.com/songs/3690801/apple_music_player
78957,Sweet Life,17873,1985,2012-07-06,2012,7,6,https://genius.com/songs/78957/apple_music_player
2884343,Supermodel,325258,41579,2017-06-09,2017,6,9,https://genius.com/songs/2884343/apple_music_player
152925,Objects In The Mirror,30268,820,2013-06-18,2013,6,18,https://genius.com/songs/152925/apple_music_player
3279181,Havana (Remix),,1258177,2017-11-12,2017,11,12,https://genius.com/songs/3279181/apple_music_player
160321,Feds Watching,36890,14325,2013-07-22,2013,7,22,https://genius.com/songs/160321/apple_music_player
3892702,Mooo!,,139478,2018-08-10,2018,8,10,https://genius.com/songs/3892702/apple_music_player
