song_id|song_title|album_id|performer_id|release_date|release_year|release_month|release_day|apple_music_player_url
3291049|MotorSport|369295|1345224|2017-10-27|2017|10|27|https://genius.com/songs/3291049/apple_music_player
3767821|FEFE|456145|1124097|2018-07-22|2018|7|22|https://genius.com/songs/3767821/apple_music_player
3386843|Huncho Jack|338359|1043518|2017-12-22|2017|12|22|https://genius.com/songs/3386843/apple_music_player
3030898|Still Got Time|347254|339472|2017-03-24|2017|3|24|https://genius.com/songs/3030898/apple_music_player
2818778|Cold Shoulder|159148|159404|||||https://genius.com/songs/2818778/apple_music_player
2489754|Let You Know||80137|||||https://genius.com/songs/2489754/apple_music_player
3849622|Allegiance||1531675|2018-07-19|2018|7|19|https://genius.com/songs/3849622/apple_music_player
52022|Gotta Have It|350432|652275|2011-12-06|2011|12|6|https://genius.com/songs/52022/apple_music_player
1113|Drop It Like It's Hot|9351|46|2004-09-12|2004|9|12|https://genius.com/songs/1113/apple_music_player
530222|Dream / Southern Hospitality / Partna Dem|112997|1745|2014-10-03|2014|10|3|https://genius.com/songs/530222/apple_music_player
162|Got Your Money|7283|32|1999-09-14|1999|9|14|https://genius.com/songs/162/apple_music_player
