song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
599451|Love Yourz|2014-12-09|2014|12|9|https://genius.com/songs/599451/apple_music_player
3542151|44 More|2018-02-23|2018|2|23|https://genius.com/songs/3542151/apple_music_player
703755|You & The 6|2015-02-13|2015|2|13|https://genius.com/songs/703755/apple_music_player
3487546|X|2018-02-09|2018|2|9|https://genius.com/songs/3487546/apple_music_player
87430|The Morning|2012-09-14|2012|9|14|https://genius.com/songs/87430/apple_music_player
3807754|Blue Tint|2018-06-29|2018|6|29|https://genius.com/songs/3807754/apple_music_player
3786538|HEARD ABOUT US|2018-06-16|2018|6|16|https://genius.com/songs/3786538/apple_music_player
3643002|Hard White|2018-08-10|2018|8|10|https://genius.com/songs/3643002/apple_music_player
2973338|Shot Down|2017-02-03|2017|2|3|https://genius.com/songs/2973338/apple_music_player
3386843|Huncho Jack|2017-12-22|2017|12|22|https://genius.com/songs/3386843/apple_music_player
3386847|Saint|2017-12-22|2017|12|22|https://genius.com/songs/3386847/apple_music_player
3782528|Bigger Than You|2018-06-15|2018|6|15|https://genius.com/songs/3782528/apple_music_player
2903023|You're Welcome|2016-11-18|2016|11|18|https://genius.com/songs/2903023/apple_music_player
2899246|Wrote My Way Out|2016-11-17|2016|11|17|https://genius.com/songs/2899246/apple_music_player
2175733|Oh Well|2015-07-13|2015|7|13|https://genius.com/songs/2175733/apple_music_player
3209335|Pretty Mami|2017-08-25|2017|8|25|https://genius.com/songs/3209335/apple_music_player
101276|GOOD Morning|2012-12-04|2012|12|4|https://genius.com/songs/101276/apple_music_player
2275965|Uncomfortable|2015-09-18|2015|9|18|https://genius.com/songs/2275965/apple_music_player
3082387|Undefeated|2017-09-29|2017|9|29|https://genius.com/songs/3082387/apple_music_player
2989253|Zoom|2017-02-17|2017|2|17|https://genius.com/songs/2989253/apple_music_player
118894|Fame Is For Assholes|2013-01-01|2013|1|1|https://genius.com/songs/118894/apple_music_player
3285909|SWITCH IT UP | ZWITCH 1T UP|2018-07-26|2018|7|26|https://genius.com/songs/3285909/apple_music_player
448558|Nolan Ryan|2014-06-11|2014|6|11|https://genius.com/songs/448558/apple_music_player
117402|Cake Boy|2013-02-11|2013|2|11|https://genius.com/songs/117402/apple_music_player
3097979|Before You Judge|2017-05-26|2017|5|26|https://genius.com/songs/3097979/apple_music_player
3097975|Money Problems / Benz Truck|2017-05-26|2017|5|26|https://genius.com/songs/3097975/apple_music_player
2468643|Weight of the World|2016-06-10|2016|6|10|https://genius.com/songs/2468643/apple_music_player
3098398|Never Lose|2017-07-21|2017|7|21|https://genius.com/songs/3098398/apple_music_player
2275997|Desperados|2015-09-18|2015|9|18|https://genius.com/songs/2275997/apple_music_player
255983|Em360 Rapcity Backroom Freestyle|2013-11-06|2013|11|6|https://genius.com/songs/255983/apple_music_player
2213945|Know That's Right|2015-09-10|2015|9|10|https://genius.com/songs/2213945/apple_music_player
519847|People Keep Talking|2014-10-14|2014|10|14|https://genius.com/songs/519847/apple_music_player
2276001|Vendetta|2015-09-18|2015|9|18|https://genius.com/songs/2276001/apple_music_player
2275995|Uptown|2015-09-18|2015|9|18|https://genius.com/songs/2275995/apple_music_player
2275998|Hear My Heart|2015-08-21|2015|8|21|https://genius.com/songs/2275998/apple_music_player
