song_id,song_title,song_release_date,song_release_year,song_release_month,song_release_day,apple_music_player_url
517618,I Don't Fuck With You,2014-09-12,2014,9,12,https://genius.com/songs/517618/apple_music_player
366931,Or Nah (Remix),2014-02-20,2014,2,20,https://genius.com/songs/366931/apple_music_player
2413890,Needed Me,2016-01-28,2016,1,28,https://genius.com/songs/2413890/apple_music_player
82860,I'm Different,2012-11-08,2012,11,8,https://genius.com/songs/82860/apple_music_player
161090,My Nigga,2013-09-17,2013,9,17,https://genius.com/songs/161090/apple_music_player
3258567,Freaky Friday,2018-03-15,2018,3,15,https://genius.com/songs/3258567/apple_music_player
573451,Post to Be,2014-11-11,2014,11,11,https://genius.com/songs/573451/apple_music_player
324980,Who Do You Love?,2014-03-18,2014,3,18,https://genius.com/songs/324980/apple_music_player
701664,One Man Can Change the World,2015-02-17,2015,2,17,https://genius.com/songs/701664/apple_music_player
703531,I Know,2015-02-24,2015,2,24,https://genius.com/songs/703531/apple_music_player
430538,Don't Tell 'Em,2014-06-06,2014,6,6,https://genius.com/songs/430538/apple_music_player
214058,Show Me,2013-09-17,2013,9,17,https://genius.com/songs/214058/apple_music_player
338701,2 On,2014-01-21,2014,1,21,https://genius.com/songs/338701/apple_music_player
146407,Headband,2013-05-21,2013,5,21,https://genius.com/songs/146407/apple_music_player
3739219,BIG BANK,2018-05-25,2018,5,25,https://genius.com/songs/3739219/apple_music_player
4125712,Going Bad,2018-11-30,2018,11,30,https://genius.com/songs/4125712/apple_music_player
254745,Feeling Myself,2013-11-05,2013,11,5,https://genius.com/songs/254745/apple_music_player
52561,Rack City,2011-12-02,2011,12,2,https://genius.com/songs/52561/apple_music_player
2998098,Boo'd Up,2017-02-24,2017,2,24,https://genius.com/songs/2998098/apple_music_player
180657,Paranoid,2013-07-01,2013,7,1,https://genius.com/songs/180657/apple_music_player
3866574,Trip,2018-08-03,2018,8,3,https://genius.com/songs/3866574/apple_music_player
360742,Sanctified,2014-03-03,2014,3,3,https://genius.com/songs/360742/apple_music_player
345919,My Nigga (Remix),2014-01-22,2014,1,22,https://genius.com/songs/345919/apple_music_player
427679,2 On / Thotful,2014-05-12,2014,5,12,https://genius.com/songs/427679/apple_music_player
332635,Or Nah,2014-01-06,2014,1,6,https://genius.com/songs/332635/apple_music_player
2396122,Promise,2015-12-25,2015,12,25,https://genius.com/songs/2396122/apple_music_player
449654,No Mediocre,2014-06-17,2014,6,17,https://genius.com/songs/449654/apple_music_player
3627215,She Bad,2018-04-04,2018,4,4,https://genius.com/songs/3627215/apple_music_player
204096,Up Down (Do This All Day),2013-08-13,2013,8,13,https://genius.com/songs/204096/apple_music_player
2408721,She Don't,2016-01-16,2016,1,16,https://genius.com/songs/2408721/apple_music_player
2275742,The Fix,2015-08-14,2015,8,14,https://genius.com/songs/2275742/apple_music_player
379980,Bicken Back Being Bool,2014-03-18,2014,3,18,https://genius.com/songs/379980/apple_music_player
281507,Left, Right,2013-11-28,2013,11,28,https://genius.com/songs/281507/apple_music_player
370403,I Just Wanna Party,2014-03-18,2014,3,18,https://genius.com/songs/370403/apple_music_player
707727,Deep,2015-02-24,2015,2,24,https://genius.com/songs/707727/apple_music_player
322351,Na Na,2014-01-21,2014,1,21,https://genius.com/songs/322351/apple_music_player
1784270,Freak of the Week,2015-05-05,2015,5,5,https://genius.com/songs/1784270/apple_music_player
102343,R.I.P.,2012-12-12,2012,12,12,https://genius.com/songs/102343/apple_music_player
373989,BPT,2014-03-18,2014,3,18,https://genius.com/songs/373989/apple_music_player
1787143,Post To Be (Remix),2015-05-08,2015,5,8,https://genius.com/songs/1787143/apple_music_player
3213730,Lonely,2017-09-29,2017,9,29,https://genius.com/songs/3213730/apple_music_player
690295,Be Real,2015-03-31,2015,3,31,https://genius.com/songs/690295/apple_music_player
2408495,Wavy,2016-01-16,2016,1,16,https://genius.com/songs/2408495/apple_music_player
2970630,Owe Me,2017-02-03,2017,2,3,https://genius.com/songs/2970630/apple_music_player
3527844,SUU WHOOP,2018-02-16,2018,2,16,https://genius.com/songs/3527844/apple_music_player
2330692,Saved,2015-10-16,2015,10,16,https://genius.com/songs/2330692/apple_music_player
2531793,Don't Hurt Me,2016-06-15,2016,6,15,https://genius.com/songs/2531793/apple_music_player
110572,You Broke,2013-03-19,2013,3,19,https://genius.com/songs/110572/apple_music_player
2900234,Big Lie,2016-12-09,2016,12,9,https://genius.com/songs/2900234/apple_music_player
270723,Main Chick,2014-03-11,2014,3,11,https://genius.com/songs/270723/apple_music_player
2343636,Never Been,2015-11-13,2015,11,13,https://genius.com/songs/2343636/apple_music_player
492389,Face Down,2014-08-11,2014,8,11,https://genius.com/songs/492389/apple_music_player
3107534,Whatever You Need,2017-06-01,2017,6,1,https://genius.com/songs/3107534/apple_music_player
362137,Show Me (Remix),2014-02-13,2014,2,13,https://genius.com/songs/362137/apple_music_player
215841,Numb,2013-12-10,2013,12,10,https://genius.com/songs/215841/apple_music_player
134643,R.I.P. (Remix),2013-03-30,2013,3,30,https://genius.com/songs/134643/apple_music_player
116121,I'm A Real 1,2013-01-21,2013,1,21,https://genius.com/songs/116121/apple_music_player
